record	gene	role	gene_class	strand	exons	codon_start	transl_table	prot_len	cds_nt	mod3	internal_stops	excess_codons	roundtrip
Ascomycota/Eurotiales/746128_af293_MAT_MAT1-2	APN2	flanking_conserved	apn2_homolog	-	0	1	1	648	2189	2	21	81.7	FAIL
Ascomycota/Eurotiales/746128_af293_MAT_MAT1-2	COX13	flanking_conserved		+	0	1	1	136	741	0	11	111.0	FAIL
Ascomycota/Helotiales/28548_06cwm-g22_MAT_combined	APN2	flanking_conserved	apn2_homolog	+	0	1	1	505	1518	0	0	1.0	PASS
Ascomycota/Helotiales/28548_06cwm-g22_MAT_combined	MAT1-1-5	core_MAT		+	4	1	1	377	1134	0	0	1.0	PASS
Ascomycota/Helotiales/28548_06cwm-g22_MAT_combined	MAT1-2-1	core_MAT	HMG_box	-	3	1	1	366	1101	0	0	1.0	PASS
Ascomycota/Helotiales/28548_06cwm-g22_MAT_combined	MAT1-2-10	core_MAT		+	2	1	1	293	882	0	0	1.0	PASS
Ascomycota/Helotiales/28548_06cwm-g22_MAT_combined	SLA2	flanking_conserved	sla2_homolog	-	3	1	1	840	2523	0	0	1.0	PASS
Ascomycota/Helotiales/28548_6cwm-g27_MAT_MAT1-1	APN2	flanking_conserved	apn2_homolog	+	0	1	1	505	1518	0	0	1.0	PASS
Ascomycota/Helotiales/28548_6cwm-g27_MAT_MAT1-1	MAT1-1-5	core_MAT		+	4	1	1	377	1134	0	0	1.0	PASS
Ascomycota/Helotiales/28548_6cwm-g27_MAT_MAT1-1	MAT1-1-1	core_MAT	alpha_box	+	3	1	1	370	1113	0	0	1.0	PASS
Ascomycota/Helotiales/28548_6cwm-g27_MAT_MAT1-1	SLA2	flanking_conserved	sla2_homolog	-	3	1	1	840	2523	0	0	1.0	PASS
Ascomycota/Helotiales/40559_sas56_MAT_MAT1-1	MAT1-1-5	core_MAT		+	0	1	1	376	1301	2	17	57.7	FAIL
Ascomycota/Helotiales/40559_sas56_MAT_MAT1-1	MAT1-1-1	core_MAT	alpha_box	+	0	1	1	353	1161	0	11	34.0	FAIL
Ascomycota/Helotiales/5180_44ba1_MAT_combined	MAT1-1-5	core_MAT		+	4	1	1	376	1131	0	0	1.0	PASS
Ascomycota/Helotiales/5180_44ba1_MAT_combined	MAT1-1-1	core_MAT	alpha_box	+	3	1	1	335	1008	0	0	1.0	PASS
Ascomycota/Helotiales/5180_44ba1_MAT_combined	MAT1-2-10	core_MAT		-	3	1	1	281	846	0	0	1.0	PASS
Ascomycota/Helotiales/5180_44ba1_MAT_combined	MAT1-2-1	core_MAT	HMG_box	+	3	1	1	394	1185	0	0	1.0	PASS
Ascomycota/Hypocreales/5127_mo44_MAT_MAT1-1	MAT1-1-3	core_MAT		-	3	1	1	162	489	0	0	1.0	PASS
Ascomycota/Hypocreales/5127_mo44_MAT_MAT1-1	MAT1-1-2	core_MAT		+	0	1	1	408	1227	0	0	1.0	PASS
Ascomycota/Hypocreales/5127_mo44_MAT_MAT1-1	MAT1-1-1	core_MAT	alpha_box	+	2	1	1	382	1149	0	0	1.0	PASS
Ascomycota/Hypocreales/5127_mo45_MAT_MAT1-2	MAT1-2-1	core_MAT	HMG_box	-	0	1	1	223	775	1	5	35.3	FAIL
Ascomycota/Hypocreales/5518_3639_MAT_combined	MAT1-1-3	core_MAT		-	0	1	1	181	689	2	5	48.7	FAIL
Ascomycota/Hypocreales/5518_3639_MAT_combined	MAT1-1-2	core_MAT		+	0	1	1	463	1581	0	29	64.0	FAIL
Ascomycota/Hypocreales/5518_3639_MAT_combined	MAT1-1-1	core_MAT	alpha_box	+	0	1	1	345	1091	2	11	18.7	FAIL
Ascomycota/Hypocreales/5518_3639_MAT_combined	MAT1-2-1	core_MAT	HMG_box	-	0	1	1	253	865	1	14	35.3	FAIL
Ascomycota/Lecanorales/27339_unknown-1_MAT_MAT1-2	SLA2	flanking_conserved	sla2_homolog	+	1	2	1	97	294	0	0	1.0	PASS
Ascomycota/Lecanorales/27339_unknown-1_MAT_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	3	1	1	361	1086	0	0	1.0	PASS
Ascomycota/Lecanorales/27339_unknown-1_MAT_MAT1-2	APN2	flanking_conserved	apn2_homolog	-	1	2	1	52	159	0	0	1.0	PASS
Ascomycota/Onygenales/199306_rmscc1040_MAT_MAT1-1	COX13	flanking_conserved		-	5	1	1	140	423	0	0	1.0	PASS
Ascomycota/Onygenales/199306_rmscc1040_MAT_MAT1-1	APN2	flanking_conserved	apn2_homolog	+	6	1	1	606	1821	0	0	1.0	PASS
Ascomycota/Onygenales/199306_rmscc1040_MAT_MAT1-1	MAT1-1-4	core_MAT		+	6	1	1	246	741	0	0	1.0	PASS
Ascomycota/Onygenales/199306_rmscc1040_MAT_MAT1-1	MAT1-1-1	core_MAT	alpha_box	+	2	1	1	389	1170	0	0	1.0	PASS
Ascomycota/Onygenales/199306_silveira_MAT_MAT1-2	MAT1-2-1	core_MAT	HMG_box	-	0	1	1	338	1130	2	9	38.7	FAIL
Ascomycota/Onygenales/5501_h538-4_MAT_MAT1-1	COX13	flanking_conserved		-	0	1	1	135	522	0	3	39.0	FAIL
Ascomycota/Onygenales/5501_h538-4_MAT_MAT1-1	APN2	flanking_conserved	apn2_homolog	+	0	1	1	606	2114	2	34	98.7	FAIL
Ascomycota/Onygenales/5501_h538-4_MAT_MAT1-1	MAT1-1-1	core_MAT	alpha_box	+	0	1	1	389	1223	2	10	18.7	FAIL
Ascomycota/Onygenales/5501_rs_MAT_MAT1-2	SLA2	flanking_conserved	sla2_homolog	+	0	1	1	1056	3932	2	64	254.7	FAIL
Ascomycota/Onygenales/5501_rs_MAT_MAT1-2	CIMG_00407	core_MAT		-	0	1	1	263	897	0	4	36.0	FAIL
Ascomycota/Onygenales/5501_rs_MAT_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	0	1	1	338	1130	2	9	38.7	FAIL
Ascomycota/Onygenales/5501_rs_MAT_MAT1-2	APN2	flanking_conserved	apn2_homolog	-	0	1	1	600	2057	2	26	85.7	FAIL
Ascomycota/Onygenales/5501_rs_MAT_MAT1-2	COX13	flanking_conserved		+	0	1	1	135	669	0	5	88.0	FAIL
Ascomycota/Ophiostomatales/230073_uamh-11059_MAT_MAT1-2	SLA2	flanking_conserved	sla2_homolog	+	0	1	1	113	344	2	2	1.7	FAIL
Ascomycota/Ophiostomatales/230073_uamh-11059_MAT_MAT1-2	MAT1-1-1	core_MAT	alpha_box	-	0	1	1	224	675	0	0	1.0	PASS
Ascomycota/Ophiostomatales/230073_uamh-11059_MAT_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	0	1	1	263	969	0	3	60.0	FAIL
Ascomycota/Ophiostomatales/230073_uamh-1363_MAT_MAT1-1	SLA2	flanking_conserved	sla2_homolog	+	0	1	1	114	345	0	0	1.0	PASS
Ascomycota/Ophiostomatales/230073_uamh-1363_MAT_MAT1-1	MAT1-1-1	core_MAT	alpha_box	-	0	1	1	711	2194	1	21	20.3	FAIL
Ascomycota/Ophiostomatales/230073_uamh-1363_MAT_MAT1-1	MAT1-1-2	core_MAT		-	0	1	1	330	1209	0	6	73.0	FAIL
Ascomycota/Ophiostomatales/230073_uamh-1363_MAT_MAT1-1	MAT1-1-3	core_MAT		+	0	1	1	180	724	1	8	61.3	FAIL
Ascomycota/Pezizales/39416_mel206_MATtub_MAT1-1	Rsm22-like	flanking_conserved		+	0	1	1	778	2337	0	0	1.0	PASS
Ascomycota/Pezizales/39416_mel206_MATtub_MAT1-1	MAT1-1-1	core_MAT	alpha_box	-	0	1	1	319	1069	1	15	37.3	FAIL
Ascomycota/Pezizales/39416_mel206_MATtub_MAT1-1	unnamed_flanking_ORF	flanking_conserved		+	0	1	1	462	1646	2	5	86.7	FAIL
Ascomycota/Pezizales/55307_bsh1-11_MATtub_MAT1-1	MAT1-1-1	core_MAT	alpha_box	+	0	1	1	164	543	0	12	17.0	FAIL
Ascomycota/Pezizales/55307_ysh1-8_MATtub_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	0	1	1	161	652	1	4	56.3	FAIL
Ascomycota/Pezizales/57749_hp1-3_MATtub_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	0	1	1	180	711	0	9	57.0	FAIL
Ascomycota/Pezizales/57749_ym1-1_MATtub_MAT1-1	MAT1-1-1	core_MAT	alpha_box	+	0	1	1	171	564	0	12	17.0	FAIL
Ascomycota/Pezizales/752769_k204_MATtub_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	4	3	1	188	564	0	0	0.0	PASS
Ascomycota/Pezizales/752769_k467_MATtub_MAT1-1	MAT1-1-1	core_MAT	alpha_box	+	0	1	1	140	471	0	11	17.0	FAIL
Ascomycota/Pneumocystidales/42068_ru7_PM_combined	matPi	core_MAT		-	0	1	1	231	696	0	0	1.0	PASS
Ascomycota/Pneumocystidales/42068_ru7_PM_combined	matMc	core_MAT		-	0	1	1	251	756	0	0	1.0	PASS
Ascomycota/Pneumocystidales/42068_ru7_PM_combined	matMi	core_MAT		+	0	1	1	70	210	0	0	0.0	PASS
Ascomycota/Pneumocystidales/4754_b80_PM_combined	matPi	core_MAT		-	0	1	1	230	693	0	0	1.0	PASS
Ascomycota/Pneumocystidales/4754_b80_PM_combined	matMc	core_MAT		-	0	1	1	232	699	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4932_s288c_MATsc_MATalpha	MATALPHA2	core_MAT		-	0	1	1	210	633	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4932_s288c_MATsc_MATalpha	MATALPHA1	core_MAT		+	0	1	1	175	528	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4952_w29_MATyl_A	sla2	flanking_conserved	sla2_homolog	+	0	1	1	1054	3165	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4952_w29_MATyl_A	mata1	core_MAT		-	0	1	1	176	849	0	6	107.0	FAIL
Ascomycota/Saccharomycetales/4952_w29_MATyl_A	mata2	core_MAT		+	0	1	1	291	876	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4952_w29_MATyl_A	apn2	flanking_conserved	apn2_homolog	-	0	1	1	412	1239	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4956_da2_MATsc_MATalpha	cha1	flanking_variable		+	1	3	1	22	69	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4956_da2_MATsc_MATalpha	alpha2	core_MAT		-	0	1	1	225	678	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4956_da2_MATsc_MATalpha	alpha1	core_MAT		+	0	1	1	200	603	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4956_da2_MATsc_MATalpha	sla2	flanking_conserved	sla2_homolog	-	1	3	1	121	366	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4959_cbs767_MTL_A	MTLA1	core_MAT		-	3	1	12	173	522	0	0	1.0	PASS
Ascomycota/Saccharomycetales/4959_cbs767_MTL_A	MTLA2	core_MAT		-	2	1	12	251	756	0	0	1.0	PASS
Ascomycota/Schizosaccharomycetales/4896_972h_mat1_M	mat1-Mi	core_MAT		-	0	1	1	42	129	0	0	1.0	PASS
Ascomycota/Schizosaccharomycetales/4896_972h_mat1_M	mat1-Mc	core_MAT		+	0	1	1	181	546	0	0	1.0	PASS
Ascomycota/Schizosaccharomycetales/4896_h90_mat2_P	matPc	core_MAT		-	0	1	1	118	357	0	0	1.0	PASS
Ascomycota/Schizosaccharomycetales/4896_h90_mat2_P	matPi	core_MAT		+	0	1	1	159	480	0	0	1.0	PASS
Ascomycota/Schizosaccharomycetales/4899_yfs286_mat1_P	mat1-Pc	core_MAT		-	0	1	1	117	354	0	0	1.0	PASS
Ascomycota/Schizosaccharomycetales/4899_yfs286_mat1_P	mat1-Pi	core_MAT		+	0	1	1	158	477	0	0	1.0	PASS
Ascomycota/Sordariales/5141_74-ors-a_MAT_MAT1-1	matA-3	core_MAT		-	0	1	1	324	1138	1	10	55.3	FAIL
Ascomycota/Sordariales/5141_74-ors-a_MAT_MAT1-1	matA-2	core_MAT		+	0	1	1	373	1347	0	7	76.0	FAIL
Ascomycota/Sordariales/5141_74-ors-a_MAT_MAT1-1	matA-1	core_MAT	alpha_box	+	0	1	1	293	1001	2	9	40.7	FAIL
Ascomycota/Sordariales/5141_unknown-1_MAT_MAT1-2	mt a-1	core_MAT	HMG_box	+	0	1	1	382	1259	2	11	37.7	FAIL
Ascomycota/Taphrinales/5011_unknown-1_PM_combined	matPi	core_MAT		+	0	1	1	181	543	0	0	0.0	PASS
Ascomycota/Taphrinales/5011_unknown-1_PM_combined	matMc	core_MAT		+	0	1	1	231	693	0	0	0.0	PASS
Ascomycota/Teloschistales/107463_unknown-1_MAT_MAT1-2	SLA2	flanking_conserved	sla2_homolog	+	2	2	1	152	459	0	0	1.0	PASS
Ascomycota/Teloschistales/107463_unknown-1_MAT_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	2	1	1	104	315	0	0	1.0	PASS
Ascomycota/Teloschistales/107463_unknown-1_MAT_MAT1-2	APN2	flanking_conserved	apn2_homolog	-	0	1	1	298	897	0	0	1.0	PASS
Ascomycota/Teloschistales/115814_voucher-101_MAT_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	0	1	1	351	1158	0	1	35.0	FAIL
Ascomycota/Teloschistales/1301501_voucher-215_MAT_MAT1-1	SLA2	flanking_conserved	sla2_homolog	+	2	2	1	152	459	0	0	1.0	PASS
Ascomycota/Teloschistales/1301501_voucher-215_MAT_MAT1-1	MAT1-1-1	core_MAT	alpha_box	-	2	1	1	350	1053	0	0	1.0	PASS
Ascomycota/Teloschistales/1301501_voucher-215_MAT_MAT1-1	APN2	flanking_conserved	apn2_homolog	-	1	2	1	80	243	0	0	1.0	PASS
Ascomycota/Teloschistales/1301501_voucher-267_MAT_MAT1-2	SLA2	flanking_conserved	sla2_homolog	+	2	2	1	152	459	0	0	1.0	PASS
Ascomycota/Teloschistales/1301501_voucher-267_MAT_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	3	1	1	351	1056	0	0	1.0	PASS
Ascomycota/Teloschistales/1301501_voucher-267_MAT_MAT1-2	APN2	flanking_conserved	apn2_homolog	-	1	3	1	81	246	0	0	1.0	PASS
Ascomycota/Teloschistales/2903220_liq80xsp_MAT_combined	APN2	flanking_conserved	apn2_homolog	+	0	1	1	120	1994	2	21	544.7	FAIL
Ascomycota/Teloschistales/2903220_liq80xsp_MAT_combined	MAT1-2-1	core_MAT	HMG_box	-	0	1	1	384	1155	0	0	1.0	PASS
Ascomycota/Teloschistales/2903220_liq80xsp_MAT_combined	MAT1-1-1	core_MAT	alpha_box	+	2	1	1	352	1056	0	0	0.0	PASS
Ascomycota/Teloschistales/2903220_liq80xsp_MAT_combined	SLA2	flanking_conserved	sla2_homolog	+	0	1	1	3	3807	0	26	1266.0	FAIL
Ascomycota/Teloschistales/2903222_liq146xsp_MAT_combined	APN2	flanking_conserved	apn2_homolog	+	0	1	1	120	1994	2	20	544.7	FAIL
Ascomycota/Teloschistales/2903222_liq146xsp_MAT_combined	MAT1-2-1	core_MAT	HMG_box	-	0	1	1	384	1155	0	0	1.0	PASS
Ascomycota/Teloschistales/2903222_liq146xsp_MAT_combined	MAT1-1-1	core_MAT	alpha_box	+	2	1	1	352	1056	0	0	0.0	PASS
Ascomycota/Teloschistales/2903222_liq146xsp_MAT_combined	SLA2	flanking_conserved	sla2_homolog	-	0	1	1	3	3804	0	30	1265.0	FAIL
Basidiomycota/Agaricales/192523_h97_HD_A1	HD2	core_MAT	HD2	-	4	1	1	491	1476	0	0	1.0	PASS
Basidiomycota/Agaricales/192523_h97_HD_A1	HD1	core_MAT	HD1	+	4	1	1	627	1884	0	0	1.0	PASS
Basidiomycota/Agaricales/5334_h4-8_Aalpha_4	Z	core_MAT	HD1	-	0	1	1	930	3090	0	11	100.0	FAIL
Basidiomycota/Agaricales/5334_h4-8_Aalpha_4	Y	core_MAT	HD2	+	0	1	1	929	3089	2	16	100.7	FAIL
Basidiomycota/Agaricales/5334_h4-8_Balpha_3	bap3-3	core_MAT	pheromone_precursor	-	0	1	1	63	192	0	0	1.0	PASS
Basidiomycota/Agaricales/5334_h4-8_Balpha_3	bap3-1	core_MAT	pheromone_precursor	-	0	1	1	58	177	0	0	1.0	PASS
Basidiomycota/Agaricales/5334_h4-8_Balpha_3	bar3	core_MAT	pheromone_receptor	+	0	1	1	626	2083	1	5	68.3	FAIL
Basidiomycota/Agaricales/5334_h4-8_Bbeta_2	bbp2-2	core_MAT	pheromone_precursor	+	0	1	1	65	198	0	0	1.0	PASS
Basidiomycota/Agaricales/5334_h4-8_Bbeta_2	bbr2	core_MAT	pheromone_receptor	-	0	1	1	629	2308	1	17	140.3	FAIL
Basidiomycota/Agaricales/5334_h4-8_Bbeta_2	bbp2-1	core_MAT	pheromone_precursor	-	0	1	1	85	891	0	3	212.0	FAIL
Basidiomycota/Agaricales/5334_h4-8_Bbeta_2	bbp2_a	core_MAT	pheromone_precursor	-	0	1	1	83	252	0	0	1.0	PASS
Basidiomycota/Agaricales/5334_h4-8_Bbeta_2	bbp2_b	core_MAT	pheromone_precursor	+	0	1	1	96	291	0	0	1.0	PASS
Basidiomycota/Agaricales/5334_h4-8_Bbeta_2	bbp2-5	core_MAT	pheromone_precursor	+	0	1	1	92	279	0	0	1.0	PASS
Basidiomycota/Agaricales/5334_h4-8_Bbeta_2	bbp2-8	core_MAT	pheromone_precursor	-	0	1	1	93	282	0	0	1.0	PASS
Basidiomycota/Agaricales/5334_h4-8_Bbeta_2	bbp2-6	core_MAT	pheromone_precursor	+	0	1	1	85	258	0	0	1.0	PASS
Basidiomycota/Agaricales/5346_a43-b43-okayama-7_HD_A43	HD1	core_MAT	HD1	-	0	1	1	613	1972	1	29	44.3	FAIL
Basidiomycota/Agaricales/5346_a43-b43-okayama-7_HD_A43	HD2	core_MAT	HD2	+	0	1	1	987	3544	1	28	194.3	FAIL
Basidiomycota/Agaricales/5346_a43-b43-okayama-7_PR_B43	pheromone_receptor	core_MAT	pheromone_receptor	-	0	1	1	576	2612	2	24	294.7	FAIL
Basidiomycota/Agaricales/5346_a43-b43-okayama-7_PR_B43	pheromone_B44	core_MAT	pheromone_precursor	-	0	1	1	61	726	0	7	181.0	FAIL
Basidiomycota/Agaricales/5346_a43-b43-okayama-7_PR_B43	pheromone_B43	core_MAT	pheromone_precursor	+	0	1	1	64	195	0	0	1.0	PASS
Basidiomycota/Agaricales/5346_a43-b43-okayama-7_PR_B43	pheromone_receptor	core_MAT	pheromone_receptor	-	0	1	1	484	2114	2	16	220.7	FAIL
Basidiomycota/Agaricales/5346_a43-b43-okayama-7_PR_B43	pheromone_receptor	core_MAT	pheromone_receptor	-	0	1	1	397	1635	0	16	148.0	FAIL
Basidiomycota/Agaricales/5346_a43-b43-okayama-7_PR_B43	pheromone_receptor	core_MAT	pheromone_receptor	+	0	1	1	417	1993	1	16	247.3	FAIL
Basidiomycota/Agaricales/5346_a43-b43-okayama-7_PR_B43	fungal_mating_type_pheromone	core_MAT	pheromone_precursor	+	0	1	1	123	424	1	2	18.3	FAIL
Basidiomycota/Agaricales/5346_a43-b43-okayama-7_PR_B43	fungal_mating_type_pheromone	core_MAT	pheromone_precursor	+	0	1	1	69	674	2	6	155.7	FAIL
Basidiomycota/Tremellales/40410_jec20_MAT_a	SXI2	core_MAT	HD2	-	0	1	1	699	2525	2	18	142.7	FAIL
Basidiomycota/Tremellales/40410_jec20_MAT_a	MFa2	core_MAT	pheromone_precursor	-	0	1	1	42	129	0	0	1.0	PASS
Basidiomycota/Tremellales/40410_jec20_MAT_a	MFa3	core_MAT	pheromone_precursor	-	0	1	1	42	129	0	0	1.0	PASS
Basidiomycota/Tremellales/40410_jec20_MAT_a	MFa1	core_MAT	pheromone_precursor	+	0	1	1	42	129	0	0	1.0	PASS
Basidiomycota/Tremellales/40410_jec20_MAT_a	STE3	core_MAT	pheromone_receptor	+	0	1	1	385	1327	1	14	57.3	FAIL
Basidiomycota/Tremellales/40410_jec21_MAT_alpha	SXI1	core_MAT	HD1	+	0	1	1	405	1361	2	2	48.7	FAIL
Basidiomycota/Tremellales/40410_jec21_MAT_alpha	MFalpha3	core_MAT	pheromone_precursor	-	0	1	1	38	117	0	0	1.0	PASS
Basidiomycota/Tremellales/40410_jec21_MAT_alpha	MFalpha2	core_MAT	pheromone_precursor	+	0	1	1	38	117	0	0	1.0	PASS
Basidiomycota/Tremellales/40410_jec21_MAT_alpha	MFalpha1	core_MAT	pheromone_precursor	-	0	1	1	38	117	0	0	1.0	PASS
Basidiomycota/Tremellales/40410_jec21_MAT_alpha	STE3	core_MAT	pheromone_receptor	-	0	1	1	380	1321	1	19	60.3	FAIL
Basidiomycota/Ustilaginales/5270_521_aLocus_a1	mfa1	core_MAT	pheromone_precursor	-	0	1	1	40	123	0	0	1.0	PASS
Basidiomycota/Ustilaginales/5270_521_aLocus_a1	pra1	core_MAT	pheromone_receptor	-	4	1	1	357	1074	0	0	1.0	PASS
Basidiomycota/Ustilaginales/5270_521_aLocus_a1	rba1	flanking_variable		-	3	1	1	119	360	0	0	1.0	PASS
Basidiomycota/Ustilaginales/5270_521_bLocus_b1	bE	core_MAT	HD2	-	0	1	1	473	1496	2	1	25.7	FAIL
Basidiomycota/Ustilaginales/5270_521_bLocus_b1	bW	core_MAT	HD1	+	0	1	1	626	2152	1	23	91.3	FAIL
Mucoromycota/Mucorales/36080_nrrl-3631_MAT_Plus	tptA	flanking_conserved		-	0	1	1	276	1094	2	1	88.7	FAIL
Mucoromycota/Mucorales/36080_nrrl-3631_MAT_Plus	sexP	core_MAT		+	0	1	1	326	981	0	0	1.0	PASS
Mucoromycota/Mucorales/36080_nrrl-3631_MAT_Plus	rnhA	flanking_conserved		+	0	1	1	1231	4133	2	57	146.7	FAIL
Mucoromycota/Mucorales/36080_r7b_MAT_Minus	tptA	flanking_conserved		-	0	1	1	276	1094	2	1	88.7	FAIL
Mucoromycota/Mucorales/36080_r7b_MAT_Minus	sexM	core_MAT		+	0	1	1	249	750	0	0	1.0	PASS
Mucoromycota/Mucorales/36080_r7b_MAT_Minus	rnhA	flanking_conserved		+	0	1	1	1231	4134	0	44	147.0	FAIL
Mucoromycota/Mucorales/4837_nrrl1555_MAT_Minus	tptA	flanking_conserved		-	0	1	1	289	868	1	0	0.3	PASS
Mucoromycota/Mucorales/4837_nrrl1555_MAT_Minus	sexM	core_MAT		+	0	1	1	211	636	0	0	1.0	PASS
Mucoromycota/Mucorales/4837_nrrl1555_MAT_Minus	rnhA	flanking_conserved		+	0	1	1	649	2597	2	23	216.7	FAIL
Mucoromycota/Mucorales/4837_ubc21_MAT_Plus	tptA	flanking_conserved		-	0	1	1	289	868	1	0	0.3	PASS
Mucoromycota/Mucorales/4837_ubc21_MAT_Plus	sexP	core_MAT		-	2	1	1	297	894	0	0	1.0	PASS
Mucoromycota/Mucorales/4837_ubc21_MAT_Plus	rnhA	flanking_conserved		+	6	1	1	649	1949	2	0	0.7	PASS
Mucoromycota/Mucorales/64495_cbs110-17_MAT_Minus	tptA	flanking_conserved		+	2	1	1	374	1125	0	0	1.0	PASS
Mucoromycota/Mucorales/64495_cbs110-17_MAT_Minus	sexM	core_MAT		+	0	1	1	188	567	0	0	1.0	PASS
Mucoromycota/Mucorales/64495_cbs110-17_MAT_Minus	rnhA	flanking_conserved		+	9	1	1	1079	3237	0	0	0.0	PASS
Mucoromycota/Mucorales/64495_cbs346-36_MAT_Plus	tptA	flanking_conserved		+	2	1	1	359	1080	0	0	1.0	PASS
Mucoromycota/Mucorales/64495_cbs346-36_MAT_Plus	btbA	flanking_variable		+	8	1	1	970	2913	0	0	1.0	PASS
Mucoromycota/Mucorales/64495_cbs346-36_MAT_Plus	sexP	core_MAT		+	0	1	1	313	942	0	0	1.0	PASS
Mucoromycota/Mucorales/64495_cbs346-36_MAT_Plus	rnhA	flanking_conserved		+	9	1	1	1085	3255	0	0	0.0	PASS
