genome	group	family	species	orth_tptA	orth_rnhA	strict_tptA	strict_rnhA	pair	pair_hmg	near_hmg	n_loci	called	loci_hmg_between	loci_flank_conf
GCA_000787465.1_ASM78746v1	Mucoromycota	Lichtheimiaceae	Thermomucor indicae-seudaticae	True	True	True	True	False	False	False	12	False	0	0
GCA_000825725.1_Rmicro_CBS_344.29_Allpaths-LG	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	2	True	0	2
GCA_000938895.1_PP.v1	Mucoromycota	Mucoraceae	Parasitella parasitica	False	True	False	True	False	False	True	4	True	1	1
GCA_000945115.1_Lramosa_hybrid_454_Illumina	Mucoromycota	Lichtheimiaceae	Lichtheimia ramosa	True	True	True	True	False	False	False	3	False	0	0
GCA_000950595.1_ASM95059v1	Mucoromycota	Mucoraceae	Mucor ambiguus	True	True	True	True	True	True	True	2	True	1	1
GCA_001276145.1_ASM127614v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	3	True	1	1
GCA_001599575.1_JCM_22480_assembly_v001	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	2	True	1	1
GCA_001599635.1_JCM_22485_assembly_v001	Mucoromycota	Mucoraceae	Actinomucor elegans	True	True	True	True	True	True	True	2	True	1	1
GCA_001650995.1_ASM165099v1	Mucoromycota	Cunninghamellaceae	Gongronella sp. w5	True	True	True	True	True	True	True	4	True	1	1
GCA_001683725.1_ASM168372v1	Mucoromycota	Choanephoraceae	Choanephora cucurbitarum	True	True	True	True	True	True	True	1	True	1	1
GCA_002083735.1_Rhimi_ATCC11559_1	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	1	True	0	1
GCA_002083745.1_Rhimi_ATCC52814_1	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	2	True	0	2
GCA_002104935.1_Hesve2	Mucoromycota	Cunninghamellaceae	Hesseltinella vesiculosa	True	True	True	True	True	True	True	6	True	1	2
GCA_002105135.1_Synrac1	Mucoromycota	Syncephalastraceae	Syncephalastrum racemosum	True	True	True	True	False	False	True	6	True	0	2
GCA_002105175.1_Absrep1	Mucoromycota	Cunninghamellaceae	Absidia repens	False	True	False	True	False	False	True	1	True	1	1
GCA_002261195.1_ASM226119v1	Mucoromycota		Bifiguratus adelaidae	True	True	True	False	False	False	False	1	False	0	0
GCA_002749535.1_ASM274953v1	Mucoromycota	Mucoraceae	Apophysomyces variabilis	True	True	True	True	True	False	True	3	True	0	1
GCA_003325415.1_Rstol_CA	Mucoromycota	Rhizopodaceae	Rhizopus stolonifer	True	True	True	True	False	False	True	2	True	2	2
GCA_003325435.1_Razy_CA	Mucoromycota	Rhizopodaceae	Rhizopus azygosporus	True	True	True	True	False	False	True	2	True	0	2
GCA_003951145.1_OSU_Jimlac_1.0	Mucoromycota	Endogonaceae	Jimgerdemannia lactiflua	True	True	True	True	False	False	False	1	False	0	0
GCA_003990745.1_Jimfl_GMNB39_1	Mucoromycota	Endogonaceae	Jimgerdemannia flammicorona	True	True	True	True	False	False	False	0	False	0	0
GCA_003990765.1_Jimfl_AD_1	Mucoromycota	Endogonaceae	Jimgerdemannia flammicorona	True	True	True	True	False	False	False	1	False	0	0
GCA_003990785.1_Endsp1	Mucoromycota	Endogonaceae	Endogone sp. FLAS-F59071	True	True	True	True	False	False	False	1	False	0	0
GCA_006680115.1_ASM668011v1	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	2	True	0	1
GCA_008728235.1_ASM872823v1	Mucoromycota	Lichtheimiaceae	Lichtheimia ramosa	True	True	True	True	False	False	False	3	False	0	0
GCA_010203745.1_Muccir1_3	Mucoromycota	Mucoraceae	Mucor lusitanicus	True	True	True	True	True	True	True	2	True	1	1
GCA_011762625.1_ASM1176262v1	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	1	True	0	1
GCA_011762635.1_ASM1176263v1	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	2	True	0	1
GCA_011763475.1_ASM1176347v1	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	1	True	0	1
GCA_011763565.1_ASM1176356v1	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	1	True	0	1
GCA_011763585.1_ASM1176358v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763605.1_ASM1176360v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	False	False	True	1	True	0	1
GCA_011763645.1_ASM1176364v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011763695.1_ASM1176369v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763715.1_ASM1176371v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763735.1_ASM1176373v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763755.1_ASM1176375v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763775.1_ASM1176377v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011763795.1_ASM1176379v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763815.1_ASM1176381v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763835.1_ASM1176383v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763855.1_ASM1176385v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763875.1_ASM1176387v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011763895.1_ASM1176389v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763915.1_ASM1176391v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_011763935.1_ASM1176393v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	1	1
GCA_011763955.1_ASM1176395v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	1	1
GCA_011763975.1_ASM1176397v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	1	1
GCA_011763995.1_ASM1176399v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	1	True	1	1
GCA_011764025.1_ASM1176402v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011764045.1_ASM1176404v1	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	1	True	0	1
GCA_011764055.1_ASM1176405v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	1	False	0	0
GCA_011764125.1_ASM1176412v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011764145.1_ASM1176414v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	False	False	False	1	False	0	0
GCA_011764185.1_ASM1176418v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	1	1
GCA_011764225.1_ASM1176422v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	8	False	0	2
GCA_011764265.1_ASM1176426v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	5	False	0	1
GCA_011800955.2_ASM1180095v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	3	True	1	1
GCA_011800985.2_ASM1180098v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	1	False	0	0
GCA_011801035.2_ASM1180103v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011801055.2_ASM1180105v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	0	1
GCA_011801305.2_ASM1180130v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	1	1
GCA_011801335.2_ASM1180133v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011801385.2_ASM1180138v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	1	False	0	0
GCA_011801495.1_ASM1180149v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	1	False	0	0
GCA_011801505.2_ASM1180150v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	2	False	0	0
GCA_011801555.2_ASM1180155v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	0	1
GCA_011801575.2_ASM1180157v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	0	1
GCA_011801605.2_ASM1180160v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	1	1
GCA_011801645.2_ASM1180164v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	1	False	0	0
GCA_011801675.2_ASM1180167v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011801705.2_ASM1180170v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	1	False	0	0
GCA_011801725.2_ASM1180172v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	1	False	0	0
GCA_011801785.2_ASM1180178v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011801815.2_ASM1180181v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	0	1
GCA_011950945.2_ASM1195094v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	1	1
GCA_011950985.2_ASM1195098v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011951285.2_ASM1195128v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011951295.2_ASM1195129v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	1	1
GCA_011952045.2_ASM1195204v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_011952115.2_ASM1195211v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	2	True	0	1
GCA_011952145.2_ASM1195214v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	1	False	0	0
GCA_011952175.2_ASM1195217v2	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	False	1	False	0	0
GCA_013461545.1_ASM1346154v1	Mucoromycota	Syncephalastraceae	Syncephalastrum contaminatum	True	True	True	True	False	False	True	2	False	0	1
GCA_014839865.1_ASM1483986v1	Mucoromycota	Mucoraceae	Apophysomyces ossiformis	True	True	True	True	False	False	True	2	True	0	1
GCA_016097715.1_ASM1609771v1	Mucoromycota	Mucoraceae	Apophysomyces sp. BC1015	True	True	True	True	False	False	True	1	True	0	1
GCA_016097735.1_ASM1609773v1	Mucoromycota	Mucoraceae	Apophysomyces sp. BC1021	True	True	True	True	False	False	True	1	True	0	1
GCA_016097755.1_ASM1609775v1	Mucoromycota	Mucoraceae	Apophysomyces sp. BC1034	True	True	True	True	False	False	True	1	True	0	1
GCA_016758895.1_ASM1675889v1	Mucoromycota	Umbelopsidaceae	Umbelopsis vinacea	True	True	True	True	False	False	True	4	True	1	1
GCA_016758905.1_ASM1675890v1	Mucoromycota	Umbelopsidaceae	Umbelopsis isabellina	True	True	True	True	False	False	True	2	True	0	2
GCA_016758935.1_ASM1675893v1	Mucoromycota	Mucoraceae	Thamnidium elegans	True	True	True	True	True	True	True	1	True	1	1
GCA_016758945.1_ASM1675894v1	Mucoromycota	Mucoraceae	Mucor plumbeus	True	True	True	True	True	True	True	1	True	1	1
GCA_016758965.1_ASM1675896v1	Mucoromycota	Lichtheimiaceae	Circinella minor	True	True	True	True	False	False	True	1	False	0	0
GCA_016758985.1_ASM1675898v1	Mucoromycota	Mucoraceae	Mucor saturninus	False	True	False	True	False	False	True	2	True	1	1
GCA_017871115.1_ASM1787111v1	Mucoromycota	Cunninghamellaceae	Cunninghamella blakesleeana	True	True	True	True	True	True	True	1	True	1	1
GCA_019022795.1_ASM1902279v1	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_019022815.1_ASM1902281v1	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	1	True	0	1
GCA_019677225.1_ASM1967722v1	Mucoromycota	Cunninghamellaceae	Absidia healeyae	True	True	True	True	True	False	False	1	True	0	1
GCA_019677255.1_ASM1967725v1	Mucoromycota	Cunninghamellaceae	Absidia sp. UoMAU379	True	True	True	True	True	False	False	3	False	0	0
GCA_019828915.1_ASM1982891v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	6	False	0	1
GCA_021235465.1_Umbelo1	Mucoromycota	Umbelopsidaceae	Umbelopsis sp. PMI_123	True	True	True	True	False	False	True	1	True	0	1
GCA_022702545.1_SJTU-YXQ	Mucoromycota	Phycomycetaceae	Phycomyces nitens	True	True	True	True	True	True	True	5	True	1	2
GCA_023512895.1_ASM2351289v1	Mucoromycota	Lichtheimiaceae	Rhizomucor pusillus	False	True	False	True	False	False	False	3	False	0	0
GCA_023629755.1_ASM2362975v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	2	True	1	1
GCA_023629775.1_ASM2362977v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	1	True	1	1
GCA_023629815.1_ASM2362981v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	2	True	1	1
GCA_023629835.1_ASM2362983v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	2	True	1	1
GCA_023629855.1_ASM2362985v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	1	True	1	1
GCA_023629875.1_ASM2362987v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	False	False	True	1	True	0	1
GCA_023629895.1_ASM2362989v1	Mucoromycota	Lichtheimiaceae	Lichtheimia sp. PT1902	True	True	True	True	False	False	False	2	False	0	0
GCA_023629915.1_ASM2362991v1	Mucoromycota	Lichtheimiaceae	Lichtheimia ramosa	True	True	True	True	False	False	False	3	False	0	0
GCA_023629935.1_ASM2362993v1	Mucoromycota	Lichtheimiaceae	Lichtheimia corymbifera	True	True	True	True	False	False	False	1	False	0	0
GCA_023630295.1_ASM2363029v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	3	True	1	1
GCA_023630305.1_ASM2363030v1	Mucoromycota	Syncephalastraceae	Syncephalastrum monosporum	True	True	True	True	False	False	True	5	True	0	1
GCA_023630315.1_ASM2363031v1	Mucoromycota	Syncephalastraceae	Syncephalastrum sp. PYS2703	True	True	True	True	False	False	True	1	False	0	0
GCA_023630325.1_ASM2363032v1	Mucoromycota	Syncephalastraceae	Syncephalastrum sp. PYS2702	True	True	True	True	False	False	True	1	False	0	0
GCA_023630335.1_ASM2363033v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_023630435.1_ASM2363043v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	False	False	True	1	True	0	1
GCA_023630465.1_ASM2363046v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	1	True	1	1
GCA_023630475.1_ASM2363047v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	False	True	True	True	True	1	True	1	1
GCA_023630555.1_ASM2363055v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	2	True	1	1
GCA_024139275.1_ASM2413927v1	Mucoromycota	Backusellaceae	Backusella macrospora	True	True	True	True	False	False	True	5	False	0	1
GCA_024139395.1_ASM2413939v1	Mucoromycota	Backusellaceae	Backusella morwellensis	True	True	True	True	True	False	True	1	True	1	1
GCA_024139405.1_ASM2413940v1	Mucoromycota	Backusellaceae	Backusella mclennaniae	True	True	True	True	True	False	True	1	True	1	1
GCA_024139415.1_ASM2413941v1	Mucoromycota	Backusellaceae	Backusella tarrabulga	True	True	True	True	True	False	True	1	True	1	1
GCA_024139485.1_ASM2413948v1	Mucoromycota	Backusellaceae	Backusella psychrophila	True	True	True	True	True	False	True	1	True	1	1
GCA_024139495.1_ASM2413949v1	Mucoromycota	Backusellaceae	Backusella sp. ASU-2019c	True	True	True	True	True	False	True	1	True	1	1
GCA_024140155.1_ASM2414015v1	Mucoromycota	Backusellaceae	Backusella parvicylindrica	True	True	True	True	True	False	True	1	True	1	1
GCA_024140195.1_ASM2414019v1	Mucoromycota	Backusellaceae	Backusella luteola	True	True	True	True	True	False	True	1	True	1	1
GCA_024140245.1_ASM2414024v1	Mucoromycota	Backusellaceae	Backusella tuberculispora	True	True	True	True	True	False	True	1	True	1	1
GCA_024140265.1_ASM2414026v1	Mucoromycota	Backusellaceae	Backusella liffmaniae	True	True	True	True	True	False	True	1	True	1	1
GCA_024140275.1_ASM2414027v1	Mucoromycota	Backusellaceae	Backusella australiensis	True	True	True	True	True	False	True	1	True	1	1
GCA_024140375.1_ASM2414037v1	Mucoromycota	Backusellaceae	Backusella westeae	True	True	True	True	True	False	True	1	True	1	1
GCA_024140565.1_ASM2414056v1	Mucoromycota	Backusellaceae	Backusella australiensis	True	True	True	True	True	False	True	1	True	1	1
GCA_024220505.1_ASM2422050v1	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	3	True	1	1
GCA_024294565.1_ASM2429456v1	Mucoromycota	Choanephoraceae	Gilbertella persicaria	True	True	True	True	True	True	True	1	True	1	1
GCA_025093555.1_Cirumb1	Mucoromycota	Lichtheimiaceae	Circinella umbellata	True	True	True	True	False	False	True	0	False	0	0
GCA_025094145.1_Spifus1	Mucoromycota	Phycomycetaceae	Spinellus fusiger	True	True	True	True	True	False	False	8	False	0	0
GCA_025094155.1_Lichy1	Mucoromycota	Lichtheimiaceae	Lichtheimia hyalospora	True	True	True	True	False	False	False	1	False	0	0
GCA_025201345.1_Thaele1	Mucoromycota	Mucoraceae	Thamnidium elegans	True	True	True	True	True	True	True	1	True	1	1
GCA_025201375.1_Gonbut1	Mucoromycota	Cunninghamellaceae	Gongronella butleri	True	True	True	True	True	True	True	3	True	1	1
GCA_025201675.1_Cunech1	Mucoromycota	Cunninghamellaceae	Cunninghamella echinulata	True	True	True	True	True	True	True	1	True	1	1
GCA_025201805.1_Parpar1	Mucoromycota	Mucoraceae	Parasitella parasitica	True	True	False	True	True	True	True	3	True	1	1
GCA_025266875.1_Fenlin1	Mucoromycota	Lichtheimiaceae	Fennellomyces sp. T-0311	True	True	True	True	False	False	True	2	False	0	0
GCA_025330725.1_Chlpad1	Mucoromycota	Cunninghamellaceae	Chlamydoabsidia padenii	True	True	True	True	True	False	True	1	True	0	1
GCA_025331435.1_Chocucu1	Mucoromycota	Choanephoraceae	Choanephora cucurbitarum	True	True	True	True	True	True	True	3	True	1	1
GCA_025331445.1_Blatri1	Mucoromycota	Choanephoraceae	Blakeslea trispora	True	True	True	True	True	True	True	3	True	1	1
GCA_025399235.1_Bacci1	Mucoromycota	Backusellaceae	Backusella circina	True	True	True	True	True	False	True	1	True	1	1
GCA_025504485.1_ASM2550448v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	1	True	1	1
GCA_025504515.1_ASM2550451v1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	2	True	1	1
GCA_025528865.1_Pilumb1	Mucoromycota	Pilobolaceae	Pilobolus umbonatus	True	True	True	True	False	False	True	3	True	1	1
GCA_025529335.1_ASM2552933v1	Mucoromycota	Rhizopodaceae	Rhizopus sp. PT2906	True	True	True	True	False	False	True	4	True	0	2
GCA_025531835.1_PnitS608_1	Mucoromycota	Phycomycetaceae	Phycomyces nitens	True	True	True	True	True	True	True	4	True	1	1
GCA_025677805.1_Umbsp_AD052_1	Mucoromycota	Umbelopsidaceae	Umbelopsis sp. AD052	False	True	False	True	False	False	False	2	False	0	0
