genome	order	outcome	verdict	call	best_hit_locations
GCA_003708045.1_ASM370804v1	Dipodascales	low	best_hit_elsewhere	PPMY01000040.1:2767-10786	MAT1-1-3@PPMY01000057.1:350(31%)=withheld_by_bar;MAT1-2-1@PPMY01000057.1:287(45%)=withheld_by_bar;Rsm22-like@PPMY01000043.1:137209(31%)=no_locus;mat1-Mc@PPMY01000057.1:350(41%)=withheld_by_bar;matMc@PPMY01000057.1:356(40%)=withheld_by_bar;matPi@PPMY01000009.1:227824(54%)=withheld_by_bar
GCA_004919795.1_ASM491979v1	Saccharomycodales	low	best_hit_elsewhere	SRHF01000012.1:60204-103430	MAT1-1-3@SRHF01000067.1:7647(25%)=withheld_by_bar;MAT1-2-1@SRHF01000002.1:294826(42%)=withheld_by_bar;MATALPHA2@SRHF01000006.1:94432(37%)=withheld_by_bar;Rsm22-like@SRHF01000043.1:30319(24%)=no_locus;mat1-Mc@SRHF01000002.1:294835(31%)=withheld_by_bar;mat1-Pi@SRHF01000006.1:94438(52%)=withheld_by_bar;matMc@SRHF01000067.1:7854(31%)=withheld_by_bar;matPi@SRHF01000006.1:94393(37%)=withheld_by_bar
GCA_010015825.1_Lopnu1	Pleosporales	withheld	best_hit_elsewhere	ML977371.1:108801-128984	MAT1-1-1@ML977397.1:6150(34%)=no_locus;MAT1-1-3@ML977403.1:10300(35%)=no_locus;MAT1-2-1@ML977320.1:1100946(52%)=no_locus
GCA_011067015.1_ASM1106701v1	Orbiliales	withheld	best_hit_elsewhere	JAABLO010000001.1:878630-893700	MAT1-2-1@JAABLO010000085.1:70990(36%)=withheld_by_bar;MATA2@JAABLO010000002.1:772595(38%)=withheld_by_bar;MATALPHA2@JAABLO010000002.1:772586(38%)=withheld_by_bar;MTLalpha2@JAABLO010000002.1:772583(40%)=withheld_by_bar;Rsm22-like@JAABLO010000010.1:269712(31%)=no_locus;mat1-Mc@JAABLO010000016.1:142621(26%)=withheld_by_bar;matMc@JAABLO010000016.1:142621(31%)=withheld_by_bar;matPi@JAABLO010000002.1:772625(39%)=withheld_by_bar
GCA_011068445.1_ASM1106844v1	Orbiliales	withheld	best_hit_elsewhere	JAAGKP010000022.1:29726-50164	MAT1-2-1@JAAGKP010000101.1:10016(35%)=withheld_by_bar;MATA2@JAAGKP010000017.1:248973(39%)=withheld_by_bar;MATALPHA2@JAAGKP010000017.1:248994(42%)=withheld_by_bar;MTLalpha2@JAAGKP010000017.1:248964(38%)=withheld_by_bar;Rsm22-like@JAAGKP010000022.1:444862(31%)=no_locus;mat1-Mc@JAAGKP010000031.1:246603(37%)=withheld_by_bar;mat1-Pi@JAAGKP010000017.1:248931(32%)=withheld_by_bar;matMc@JAAGKP010000031.1:246603(46%)=withheld_by_bar;matPi@JAAGKP010000017.1:248943(39%)=withheld_by_bar
GCA_012184295.1_ASM1218429v1	Orbiliales	withheld	best_hit_elsewhere	LDUD01000016.1:314157-343862	MAT1-2-1@LDUD01000037.1:290824(43%)=withheld_by_bar;Rsm22-like@LDUD01000016.1:693195(31%)=no_locus;mat1-Mc@LDUD01000109.1:72846(43%)=withheld_by_bar;matMc@LDUD01000109.1:72846(46%)=withheld_by_bar;matPi@LDUD01000052.1:119563(46%)=withheld_by_bar
GCA_012184355.1_ASM1218435v1	Orbiliales	withheld	best_hit_elsewhere	LDUC01000161.1:295392-311206	MAT1-2-1@LDUC01000177.1:73620(39%)=withheld_by_bar;Rsm22-like@LDUC01000482.1:98288(32%)=no_locus;mat1-Mc@LDUC01000431.1:198275(43%)=withheld_by_bar;matMc@LDUC01000431.1:198275(47%)=withheld_by_bar;matPi@LDUC01000503.1:1753845(46%)=withheld_by_bar
GCA_016162255.1_ASM1616225v1	Dipodascales	withheld	best_hit_here	JACADK010000001.1:2159529-2205085	MAT1-1-3@JACADK010000001.1:3106262(35%)=withheld_by_bar;MAT1-2-1@JACADK010000001.1:3106238(49%)=withheld_by_bar;MATALPHA2@JACADK010000002.1:450987(41%)=withheld_by_bar;Rsm22-like@JACADK010000002.1:750783(32%)=withheld_by_bar;mat1-Mc@JACADK010000001.1:3106247(38%)=withheld_by_bar;mat1-Pi@JACADK010000002.1:451011(52%)=withheld_by_bar;matMc@JACADK010000001.1:4366945(37%)=withheld_by_bar;matPi@JACADK010000002.1:450990(50%)=withheld_by_bar
GCA_017635955.1_ASM1763595v1	Dipodascales	low	best_hit_here	JAAQQV010000003.1:2172378-2180704	MAT1-1-3@JAAQQV010000006.1:2095371(31%)=withheld_by_bar;MAT1-2-1@JAAQQV010000006.1:2095386(49%)=withheld_by_bar;MATALPHA2@JAAQQV010000001.1:1198115(37%)=withheld_by_bar;Rsm22-like@JAAQQV010000005.1:1477079(30%)=no_locus;mat1-Mc@JAAQQV010000006.1:2095374(41%)=withheld_by_bar;matMc@JAAQQV010000006.1:2095371(40%)=withheld_by_bar;matPi@JAAQQV010000001.1:1198154(54%)=withheld_by_bar
GCA_018804115.1_ASM1880411v1	Lipomycetales	low	best_hit_here	JAGJTG010000006.1:412571-441228	MATALPHA2@JAGJTG010000011.1:378740(42%)=withheld_by_bar;Rsm22-like@JAGJTG010000002.1:780820(35%)=no_locus;mat1-Pi@JAGJTG010000011.1:378743(52%)=withheld_by_bar;matPi@JAGJTG010000011.1:378740(46%)=withheld_by_bar
GCA_018804115.1_ASM1880411v1	Lipomycetales	low	best_hit_here	JAGJTG010000006.1:412571-441228	MATALPHA2@JAGJTG010000011.1:378740(42%)=withheld_by_bar;Rsm22-like@JAGJTG010000002.1:780820(35%)=no_locus;mat1-Pi@JAGJTG010000011.1:378743(52%)=withheld_by_bar;matPi@JAGJTG010000011.1:378740(46%)=withheld_by_bar
GCA_020064725.1_ASM2006472v1	Orbiliales	withheld	best_hit_elsewhere	JAGTWJ010000007.1:1520388-1535314	MAT1-2-1@JAGTWJ010000003.1:2545533(43%)=withheld_by_bar;Rsm22-like@JAGTWJ010000007.1:1120200(32%)=withheld_by_bar;mat1-Mc@JAGTWJ010000008.1:529363(41%)=withheld_by_bar;matMc@JAGTWJ010000008.1:529363(46%)=withheld_by_bar;matPi@JAGTWJ010000001.1:2239276(46%)=withheld_by_bar
GCA_022577695.1_ASM2257769v1	Dipodascales	withheld	best_hit_here	JAKIRT010000005.1:305568-481875	MAT1-1-3@JAKIRT010000014.1:23950(30%)=withheld_by_bar;MAT1-2-1@JAKIRT010000014.1:23938(30%)=withheld_by_bar;MATA1@JAKIRT010000013.1:37189(29%)=withheld_by_bar;MATA2@JAKIRT010000001.1:522808(38%)=withheld_by_bar;MATALPHA2@JAKIRT010000001.1:522808(41%)=withheld_by_bar;mat1-Mc@JAKIRT010000014.1:23935(27%)=withheld_by_bar;mat1-Pi@JAKIRT010000001.1:522811(52%)=withheld_by_bar;matMc@JAKIRT010000014.1:23899(32%)=withheld_by_bar;matPi@JAKIRT010000001.1:522808(43%)=withheld_by_bar
GCA_022813965.1_ASM2281396v1	Rhizocarpales	withheld	best_hit_elsewhere	JALDZS010000198.1:2-14009	MAT1-1-1@JALDZS010000421.1:5159(42%)=called_coremodelled;MAT1-2-1@JALDZS010000033.1:22041(53%)=no_locus
GCA_023628915.1_ASM2362891v1	Dipodascales	low	best_hit_here	JAMAJT010000002.1:199621-243754	MAT1-1-3@JAMAJT010000006.1:145439(35%)=withheld_by_bar;MAT1-2-1@JAMAJT010000006.1:145448(41%)=withheld_by_bar;MATALPHA2@JAMAJT010000010.1:60641(45%)=withheld_by_bar;Rsm22-like@JAMAJT010000004.1:154158(33%)=withheld_by_bar;mat1-Mc@JAMAJT010000006.1:145466(44%)=withheld_by_bar;mat1-Pi@JAMAJT010000010.1:60644(54%)=withheld_by_bar;matMc@JAMAJT010000008.1:262348(39%)=withheld_by_bar;matPi@JAMAJT010000010.1:60641(56%)=withheld_by_bar
GCA_028984885.1_ASM2898488v1	Orbiliales	withheld	best_hit_elsewhere	JAQGDS010000001.1:1320279-1335205	MAT1-2-1@JAQGDS010000006.1:111469(43%)=withheld_by_bar;Rsm22-like@JAQGDS010000001.1:919406(32%)=withheld_by_bar;mat1-Mc@JAQGDS010000005.1:1037846(41%)=withheld_by_bar;matMc@JAQGDS010000005.1:1037846(46%)=withheld_by_bar;matPi@JAQGDS010000002.1:2461173(46%)=withheld_by_bar
GCA_030407195.1_ASM3040719v1	Dipodascales	low	best_hit_here	JANJPH010000098.1:7586-32670	MAT1-1-3@JANJPH010000390.1:3441(33%)=withheld_by_bar;MAT1-2-1@JANJPH010000390.1:3417(41%)=withheld_by_bar;MATALPHA2@JANJPH010000062.1:23061(39%)=withheld_by_bar;Rsm22-like@JANJPH010000174.1:1657(32%)=no_locus;mat1-Mc@JANJPH010000390.1:3420(43%)=withheld_by_bar;mat1-Pi@JANJPH010000062.1:23097(52%)=withheld_by_bar;matMc@JANJPH010000023.1:21316(39%)=withheld_by_bar;matPi@JANJPH010000062.1:23076(42%)=withheld_by_bar
GCA_030407195.1_ASM3040719v1	Dipodascales	low	best_hit_here	JANJPH010000098.1:7586-32670	MAT1-1-3@JANJPH010000390.1:3441(33%)=withheld_by_bar;MAT1-2-1@JANJPH010000390.1:3417(41%)=withheld_by_bar;MATALPHA2@JANJPH010000062.1:23061(39%)=withheld_by_bar;Rsm22-like@JANJPH010000174.1:1657(32%)=no_locus;mat1-Mc@JANJPH010000390.1:3420(43%)=withheld_by_bar;mat1-Pi@JANJPH010000062.1:23097(52%)=withheld_by_bar;matMc@JANJPH010000023.1:21316(39%)=withheld_by_bar;matPi@JANJPH010000062.1:23076(42%)=withheld_by_bar
GCA_030407195.1_ASM3040719v1	Dipodascales	low	best_hit_here	JANJPH010000098.1:7586-32670	MAT1-1-3@JANJPH010000390.1:3441(33%)=withheld_by_bar;MAT1-2-1@JANJPH010000390.1:3417(41%)=withheld_by_bar;MATALPHA2@JANJPH010000062.1:23061(39%)=withheld_by_bar;Rsm22-like@JANJPH010000174.1:1657(32%)=no_locus;mat1-Mc@JANJPH010000390.1:3420(43%)=withheld_by_bar;mat1-Pi@JANJPH010000062.1:23097(52%)=withheld_by_bar;matMc@JANJPH010000023.1:21316(39%)=withheld_by_bar;matPi@JANJPH010000062.1:23076(42%)=withheld_by_bar
GCA_030407195.1_ASM3040719v1	Dipodascales	low	best_hit_elsewhere	JANJPH010000085.1:18359-33969	MAT1-1-3@JANJPH010000390.1:3441(33%)=withheld_by_bar;MAT1-2-1@JANJPH010000390.1:3417(41%)=withheld_by_bar;MATA1@JANJPH010000098.1:29173(43%)=called_coremodelled|called_flankcarried|withheld_by_bar;MATALPHA2@JANJPH010000062.1:23061(39%)=withheld_by_bar;MTLA1@JANJPH010000098.1:29176(43%)=called_coremodelled|called_flankcarried|withheld_by_bar;Rsm22-like@JANJPH010000174.1:1657(32%)=no_locus;mat1-Mc@JANJPH010000390.1:3420(43%)=withheld_by_bar;mat1-Pi@JANJPH010000062.1:23097(52%)=withheld_by_bar;matMc@JANJPH010000023.1:21316(39%)=withheld_by_bar;matPi@JANJPH010000062.1:23076(42%)=withheld_by_bar;mata1@JANJPH010000098.1:29209(45%)=called_coremodelled|called_flankcarried|withheld_by_bar
GCA_030412595.1_ASM3041259v1	Amphisphaeriales	withheld	best_hit_elsewhere	JAQJCZ010000002.1:1784030-1805718	MAT1-1-3@JAQJCZ010000007.1:4109391(36%)=no_locus;MAT1-2-1@JAQJCZ010000007.1:4109391(40%)=no_locus
GCA_030555625.1_ASM3055562v1	Dipodascales	low	best_hit_here	JANIWH010000001.1:578960-633908	MAT1-1-3@JANIWH010000018.1:41157(35%)=withheld_by_bar;MAT1-2-1@JANIWH010000018.1:41133(49%)=withheld_by_bar;MATALPHA2@JANIWH010000030.1:116866(41%)=withheld_by_bar;Rsm22-like@JANIWH010000005.1:175883(31%)=withheld_by_bar;mat1-Mc@JANIWH010000018.1:41142(38%)=withheld_by_bar;mat1-Pi@JANIWH010000030.1:116869(52%)=withheld_by_bar;matMc@JANIWH010000002.1:566863(37%)=withheld_by_bar;matPi@JANIWH010000030.1:116866(52%)=withheld_by_bar
GCA_030555625.1_ASM3055562v1	Dipodascales	low	best_hit_here	JANIWH010000001.1:578960-633908	MAT1-1-3@JANIWH010000018.1:41157(35%)=withheld_by_bar;MAT1-2-1@JANIWH010000018.1:41133(49%)=withheld_by_bar;MATALPHA2@JANIWH010000030.1:116866(41%)=withheld_by_bar;Rsm22-like@JANIWH010000005.1:175883(31%)=withheld_by_bar;mat1-Mc@JANIWH010000018.1:41142(38%)=withheld_by_bar;mat1-Pi@JANIWH010000030.1:116869(52%)=withheld_by_bar;matMc@JANIWH010000002.1:566863(37%)=withheld_by_bar;matPi@JANIWH010000030.1:116866(52%)=withheld_by_bar
GCA_030556875.1_ASM3055687v1	Dipodascales	low	best_hit_elsewhere	JAKTUV010000016.1:146587-180263	MAT1-1-3@JAKTUV010000010.1:434997(38%)=withheld_by_bar;MAT1-2-1@JAKTUV010000010.1:434958(45%)=withheld_by_bar;Rsm22-like@JAKTUV010000010.1:153453(28%)=withheld_by_bar;mat1-Mc@JAKTUV010000010.1:434988(38%)=withheld_by_bar;matMc@JAKTUV010000008.1:217691(38%)=withheld_by_bar
GCA_030556875.1_ASM3055687v1	Dipodascales	withheld	best_hit_elsewhere	JAKTUV010000016.1:146587-180263	MAT1-1-3@JAKTUV010000010.1:434997(38%)=withheld_by_bar;MAT1-2-1@JAKTUV010000010.1:434958(45%)=withheld_by_bar;Rsm22-like@JAKTUV010000010.1:153453(28%)=withheld_by_bar;mat1-Mc@JAKTUV010000010.1:434988(38%)=withheld_by_bar;matMc@JAKTUV010000008.1:217691(38%)=withheld_by_bar
GCA_030556875.1_ASM3055687v1	Dipodascales	low	best_hit_elsewhere	JAKTUV010000016.1:146587-180263	MAT1-1-3@JAKTUV010000010.1:434997(38%)=withheld_by_bar;MAT1-2-1@JAKTUV010000010.1:434958(45%)=withheld_by_bar;Rsm22-like@JAKTUV010000010.1:153453(28%)=withheld_by_bar;mat1-Mc@JAKTUV010000010.1:434988(38%)=withheld_by_bar;matMc@JAKTUV010000008.1:217691(38%)=withheld_by_bar
GCA_030558825.1_ASM3055882v1	Dipodascales	low	best_hit_elsewhere	JAKTQM010000007.1:4498-10793	MAT1-1-3@JAKTQM010001364.1:27338(35%)=withheld_by_bar;MAT1-2-1@JAKTQM010000185.1:4139(43%)=withheld_by_bar;MATALPHA2@JAKTQM010001433.1:17120(32%)=withheld_by_bar;MTLalpha2@JAKTQM010001433.1:17120(33%)=withheld_by_bar;Rsm22-like@JAKTQM010001389.1:16188(31%)=no_locus;mat1-Mc@JAKTQM010000185.1:4145(38%)=withheld_by_bar;mat1-Pi@JAKTQM010001433.1:17123(55%)=withheld_by_bar;matMc@JAKTQM010001364.1:27308(42%)=withheld_by_bar;matPi@JAKTQM010001433.1:17087(49%)=withheld_by_bar
GCA_030558825.1_ASM3055882v1	Dipodascales	low	best_hit_elsewhere	JAKTQM010000007.1:4498-10793	MAT1-1-3@JAKTQM010001364.1:27338(35%)=withheld_by_bar;MAT1-2-1@JAKTQM010000185.1:4139(43%)=withheld_by_bar;MATALPHA2@JAKTQM010001433.1:17120(32%)=withheld_by_bar;MTLalpha2@JAKTQM010001433.1:17120(33%)=withheld_by_bar;Rsm22-like@JAKTQM010001389.1:16188(31%)=no_locus;mat1-Mc@JAKTQM010000185.1:4145(38%)=withheld_by_bar;mat1-Pi@JAKTQM010001433.1:17123(55%)=withheld_by_bar;matMc@JAKTQM010001364.1:27308(42%)=withheld_by_bar;matPi@JAKTQM010001433.1:17087(49%)=withheld_by_bar
GCA_030560625.1_ASM3056062v1	Dipodascales	low	best_hit_elsewhere	JAKTVP010000079.1:15781-27922	MAT1-1-3@JAKTVP010000088.1:38091(31%)=withheld_by_bar;MAT1-2-1@JAKTVP010000088.1:38007(42%)=withheld_by_bar;Rsm22-like@JAKTVP010000015.1:76426(30%)=withheld_by_bar;mat1-Mc@JAKTVP010000088.1:38094(41%)=withheld_by_bar;mat1-Pi@JAKTVP010000001.1:401212(42%)=withheld_by_bar;matMc@JAKTVP010000088.1:38091(40%)=withheld_by_bar;matPi@JAKTVP010000001.1:401224(54%)=withheld_by_bar
GCA_030564325.1_ASM3056432v1	Dipodascales	low	best_hit_elsewhere	JAJLUL010000195.1:4418-14859	MAT1-1-3@JAJLUL010000039.1:101009(37%)=withheld_by_bar;MAT1-2-1@JAJLUL010000039.1:101003(52%)=withheld_by_bar;Rsm22-like@JAJLUL010000021.1:148143(27%)=no_locus;mat1-Mc@JAJLUL010000039.1:100994(37%)=withheld_by_bar;mat1-Pi@JAJLUL010000007.1:218916(43%)=withheld_by_bar;matMc@JAJLUL010000039.1:100958(35%)=withheld_by_bar;matPi@JAJLUL010000007.1:218874(43%)=withheld_by_bar
GCA_030564385.1_ASM3056438v1	Dipodascales	withheld	best_hit_here	JAJLUQ010000034.1:26340-36447	MAT1-1-3@JAJLUQ010000010.1:196585(38%)=withheld_by_bar;MAT1-2-1@JAJLUQ010000010.1:196579(49%)=withheld_by_bar;MATA1@JAJLUQ010000061.1:41778(30%)=withheld_by_bar;MATALPHA2@JAJLUQ010000042.1:72663(40%)=withheld_by_bar;Rsm22-like@JAJLUQ010000006.1:271799(31%)=withheld_by_bar;mat1-Mc@JAJLUQ010000010.1:196573(39%)=withheld_by_bar;mat1-Pi@JAJLUQ010000042.1:72666(57%)=withheld_by_bar;matMc@JAJLUQ010000017.1:171095(41%)=withheld_by_bar;matPi@JAJLUQ010000042.1:72627(41%)=withheld_by_bar
GCA_030564385.1_ASM3056438v1	Dipodascales	low	best_hit_here	JAJLUQ010000034.1:26340-36447	MAT1-1-3@JAJLUQ010000010.1:196585(38%)=withheld_by_bar;MAT1-2-1@JAJLUQ010000010.1:196579(49%)=withheld_by_bar;MATA1@JAJLUQ010000061.1:41778(30%)=withheld_by_bar;MATALPHA2@JAJLUQ010000042.1:72663(40%)=withheld_by_bar;Rsm22-like@JAJLUQ010000006.1:271799(31%)=withheld_by_bar;mat1-Mc@JAJLUQ010000010.1:196573(39%)=withheld_by_bar;mat1-Pi@JAJLUQ010000042.1:72666(57%)=withheld_by_bar;matMc@JAJLUQ010000017.1:171095(41%)=withheld_by_bar;matPi@JAJLUQ010000042.1:72627(41%)=withheld_by_bar
GCA_030568195.1_ASM3056819v1	Lipomycetales	low	best_hit_here	JAJLTO010000001.1:187875-245169	MAT1-1-3@JAJLTO010000004.1:6831(33%)=withheld_by_bar;MAT1-2-1@JAJLTO010000004.1:6771(37%)=withheld_by_bar;MATALPHA2@JAJLTO010000004.1:1220094(45%)=withheld_by_bar;MTLA1@JAJLTO010000009.1:120626(45%)=withheld_by_bar;MTLalpha2@JAJLTO010000004.1:1220094(30%)=withheld_by_bar;Rsm22-like@JAJLTO010000006.1:967046(27%)=no_locus;mat1-Mc@JAJLTO010000004.1:6831(37%)=withheld_by_bar;mat1-Pi@JAJLTO010000004.1:1220097(52%)=withheld_by_bar;matMc@JAJLTO010000004.1:6561(25%)=withheld_by_bar;matPi@JAJLTO010000004.1:1220094(50%)=withheld_by_bar
GCA_030568255.1_ASM3056825v1	Lipomycetales	low	best_hit_here	JAJLTQ010000008.1:248464-277238	MATALPHA2@JAJLTQ010000066.1:94027(41%)=withheld_by_bar;Rsm22-like@JAJLTQ010000004.1:73601(37%)=withheld_by_bar;mat1-Pi@JAJLTQ010000066.1:94030(52%)=withheld_by_bar;matPi@JAJLTQ010000066.1:94027(46%)=withheld_by_bar
GCA_030568335.1_ASM3056833v1	Lipomycetales	low	best_hit_here	JAJLTR010000025.1:53438-84440	MATALPHA2@JAJLTR010000244.1:1882(41%)=withheld_by_bar;Rsm22-like@JAJLTR010000014.1:82128(37%)=withheld_by_bar;mat1-Pi@JAJLTR010000244.1:1885(52%)=withheld_by_bar;matPi@JAJLTR010000244.1:1882(46%)=withheld_by_bar
GCA_030572735.1_ASM3057273v1	Dipodascales	withheld	best_hit_elsewhere	JAJMBN010000106.1:21004-46563	MAT1-1-3@JAJMBN010000014.1:59576(34%)=withheld_by_bar;MAT1-2-1@JAJMBN010000014.1:59576(47%)=withheld_by_bar;MATALPHA2@JAJMBN010000046.1:3270(35%)=withheld_by_bar;Rsm22-like@JAJMBN010000074.1:36577(31%)=no_locus;mat1-Mc@JAJMBN010000014.1:59564(36%)=withheld_by_bar;mat1-Pi@JAJMBN010000046.1:3357(52%)=withheld_by_bar;matMc@JAJMBN010000015.1:126431(39%)=withheld_by_bar;matPi@JAJMBN010000046.1:3348(42%)=withheld_by_bar
GCA_030573575.1_ASM3057357v1	Saccharomycodales	low	best_hit_elsewhere	JAJMDL010000012.1:60204-103430	MAT1-1-3@JAJMDL010000067.1:7647(25%)=withheld_by_bar;MAT1-2-1@JAJMDL010000002.1:294826(42%)=withheld_by_bar;MATALPHA2@JAJMDL010000006.1:94432(37%)=withheld_by_bar;Rsm22-like@JAJMDL010000043.1:30319(24%)=no_locus;mat1-Mc@JAJMDL010000002.1:294835(31%)=withheld_by_bar;mat1-Pi@JAJMDL010000006.1:94438(52%)=withheld_by_bar;matMc@JAJMDL010000067.1:7854(31%)=withheld_by_bar;matPi@JAJMDL010000006.1:94393(37%)=withheld_by_bar
GCA_030574475.1_ASM3057447v1	Trigonopsidales	low	best_hit_here	JAJMFC010000045.1:4430-34412	MAT1-1-3@JAJMFC010000057.1:53679(28%)=withheld_by_bar;MAT1-2-1@JAJMFC010000057.1:53700(37%)=withheld_by_bar;MTLalpha2@JAJMFC010000009.1:125578(30%)=withheld_by_bar;Rsm22-like@JAJMFC010000148.1:4105(30%)=no_locus;mat1-Mc@JAJMFC010000057.1:53700(39%)=withheld_by_bar;matMc@JAJMFC010000057.1:53700(34%)=withheld_by_bar;matPi@JAJMFC010000009.1:125677(46%)=withheld_by_bar
