panel	genome	phylum	class	order	family_tax	species	mat_family	contig	start	end	confidence	locus_class	idiomorph	outcome	why	flank_lo	flank_hi	n_flank_genes	flank_genes	core_genes	max_core_dist_bp	polish_capped_cluster	core_detail	flank_detail	genes_best_here	genes_best_elsewhere	best_here_detail	verdict
cap6	GCA_003708045.1_ASM370804v1	Ascomycota	Dipodascomycetes	Dipodascales		Yarrowia divulgata	Ascomycota:MAT	PPMY01000040.1	2767	10786	medium	mat_locus	MAT1-1	low	inside	2767	10777	2	APN2,SLA2	MAT1-1-1	0	False	MAT1-1-1:9830-9958:34.783:12.0:unpolished	APN2:2767-3072:50.98:None:polished_disagree;SLA2:9038-10777:55.3:None:polished_disagree		MAT1-1-3,MAT1-2-1,Rsm22-like,mat1-Mc,matMc,matPi		best_hit_elsewhere
cap6	GCA_004919795.1_ASM491979v1	Ascomycota	Saccharomycetes	Saccharomycodales	Saccharomycodaceae	Hanseniaspora sp. CRUB 1602	Ascomycota:MTL	SRHF01000012.1	60204	103430	medium	partial_locus	A	low	inside	60204	87150	3	OBP1,PAP1,PIK1	MTLA1	0	False	MTLA1:63362-63484:31.707:22.0:unpolished	PAP1:60204-61877:51.77:None:polished_single;OBP1:62883-64133:54.059999999999995:None:polished_single;PIK1:87004-87150:33.333:6.0:unpolished		MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
cap6	GCA_010015825.1_Lopnu1	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema nucula	Ascomycota:MAT	ML977371.1	108801	128984	medium	partial_locus	MAT1-1	withheld	core_outside_span	109539	111885	2	APN2,COX13	MAT1-1-4	13986	False	MAT1-1-4:128871-128984:37.778:18.0:unpolished	APN2:109539-110790:61.65:None:polished_disagree;COX13:111172-111885:56.06:None:polished_agree		MAT1-1-1,MAT1-1-3,MAT1-2-1		best_hit_elsewhere
cap6	GCA_011067015.1_ASM1106701v1	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia oligospora	Ascomycota:MAT	JAABLO010000001.1	878630	893700	medium	partial_locus	MAT1-1	withheld	core_outside_span	891533	893700	2	APN2,COX13	MAT1-1-2	9622	False	MAT1-1-2:878630-878911:27.523:22.0:unpolished	APN2:891533-892410:58.54:None:polished_disagree;COX13:893148-893700:73.91:None:polished_disagree		MAT1-2-1,MATA2,MATALPHA2,MTLalpha2,Rsm22-like,mat1-Mc,matMc,matPi		best_hit_elsewhere
cap6	GCA_011068445.1_ASM1106844v1	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia oligospora	Ascomycota:MAT	JAAGKP010000022.1	29726	50164	medium	mat_locus	MAT1-2	withheld	core_outside_span	46558	48752	2	APN2,COX13	MAT1-2-1	13692	False	MAT1-2-1:29726-29866:31.915:12.0:unpolished	COX13:46558-47110:73.91:None:polished_disagree;APN2:47871-48752:59.02:None:polished_disagree		MAT1-2-1,MATA2,MATALPHA2,MTLalpha2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
cap6	GCA_012184295.1_ASM1218429v1	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylella cylindrospora	Ascomycota:MAT	LDUD01000016.1	314157	343862	medium	mat_locus	MAT1-2	withheld	core_outside_span	332203	334454	2	APN2,COX13	MAT1-2-1	6241	False	MAT1-2-1:343695-343805:40.541:10.0:unpolished	COX13:332203-332740:74.73:None:polished_disagree;APN2:333625-334454:62.5:None:polished_disagree		MAT1-2-1,Rsm22-like,mat1-Mc,matMc,matPi		best_hit_elsewhere
cap6	GCA_012184355.1_ASM1218435v1	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylellina cionopaga	Ascomycota:MAT	LDUC01000161.1	295392	311206	medium	mat_locus	MAT1-1	withheld	core_outside_span	309238	311203	2	APN2,COX13	MAT1-1-1	2007	False	MAT1-1-1:304001-304231:33.766:15.0:unpolished	APN2:309238-310104:58.54:None:polished_disagree;COX13:310775-311203:75.0:None:polished_disagree		MAT1-2-1,Rsm22-like,mat1-Mc,matMc,matPi		best_hit_elsewhere
cap6	GCA_016162255.1_ASM1616225v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys adeninivorans	Ascomycota:MAT	JACADK010000001.1	2159529	2205085	medium	mat_locus	MAT1-1	withheld	core_outside_span	2177803	2182539	2	APN2,SLA2	MAT1-1-1,MAT1-1-2,MAT1-1-3	14993	False	MAT1-1-2:2159529-2159810:27.66:19.0:unpolished;MAT1-1-1:2179107-2179307:29.412:19.0:unpolished;MAT1-1-3:2181312-2181473:29.63:29.0:unpolished	APN2:2177803-2178426:46.6:None:polished_disagree;SLA2:2179789-2182539:57.41:None:polished_disagree	MATALPHA1,MTLalpha1	MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi	MATALPHA1:49:39%:2e-07;MTLalpha1:52:28%:4e-08	best_hit_here
cap6	GCA_017635955.1_ASM1763595v1	Ascomycota	Dipodascomycetes	Dipodascales		Yarrowia sp. B02	Ascomycota:MAT	JAAQQV010000003.1	2172378	2180704	medium	mat_locus	MAT1-2	low	inside	2173389	2180701	2	APN2,SLA2	MAT1-1-1,MAT1-2-1	0	False	MAT1-1-1:2174208-2174336:34.783:12.0:unpolished;MAT1-2-1:2178133-2178360:25.641:30.0:unpolished	SLA2:2173389-2175128:54.87:None:polished_disagree;APN2:2180396-2180701:48.04:None:polished_disagree	MTLA1,mata1,mata2	MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,matMc,matPi	MTLA1:56:47%:3e-09;mata1:155:70%:3e-44;mata2:360:67%:1e-113	best_hit_here
cap6	GCA_018804115.1_ASM1880411v1	Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Lipomyces starkeyi	Ascomycota:MAT	JAGJTG010000006.1	412571	441228	medium	mat_locus	MAT1-1	low	inside	412571	433187	2	APN2,SLA2	MAT1-1-1,MAT1-1-3,MAT1-2-1	0	False	MAT1-1-3:415400-415510:48.649:23.0:not_polish_candidate;MAT1-2-1:415575-415694:51.22:13.0:not_polish_candidate;MAT1-1-1:425519-425641:41.463:11.0:unpolished	APN2:412571-413206:45.02:None:polished_disagree;SLA2:429835-433187:63.05:None:polished_disagree	MAT1-1-1,MAT1-1-3,MAT1-2-1,MTLalpha1,mat1-Mc,matMc	MATALPHA2,Rsm22-like,mat1-Pi,matPi	MAT1-1-1:53:32%:4e-07;MAT1-1-3:47:49%:1e-11;MAT1-2-1:61:29%:2e-10;MTLalpha1:62:43%:3e-11;mat1-Mc:50:30%:8e-08;matMc:55:26%:1e-08	best_hit_here
cap6	GCA_018804115.1_ASM1880411v1	Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Lipomyces starkeyi	Ascomycota:MATyl	JAGJTG010000006.1	412571	441228	medium	mat_locus	A	low	inside	413285	430709	2	apn2,sla2	mata1	0	False	mata1:417420-417542:34.146:23.0:unpolished	apn2:413285-413559:57.97:None:polished_single;sla2:429850-430709:61.35:None:polished_disagree	MAT1-1-1,MAT1-1-3,MAT1-2-1,MTLalpha1,mat1-Mc,matMc	MATALPHA2,Rsm22-like,mat1-Pi,matPi	MAT1-1-1:53:32%:4e-07;MAT1-1-3:47:49%:1e-11;MAT1-2-1:61:29%:2e-10;MTLalpha1:62:43%:3e-11;mat1-Mc:50:30%:8e-08;matMc:55:26%:1e-08	best_hit_here
cap6	GCA_020064725.1_ASM2006472v1	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella dactyloides	Ascomycota:MAT	JAGTWJ010000007.1	1520388	1535314	medium	mat_locus	MAT1-2	withheld	core_outside_span	1532555	1535311	2	APN2,COX13	MAT1-1-1,MAT1-2-1	8991	False	MAT1-2-1:1520439-1520564:42.857:12.0:unpolished;MAT1-1-1:1524475-1524612:36.957:12.0:unpolished	APN2:1532555-1533483:62.5:None:polished_disagree;COX13:1534907-1535311:82.05:None:polished_disagree		MAT1-2-1,Rsm22-like,mat1-Mc,matMc,matPi		best_hit_elsewhere
cap6	GCA_022577695.1_ASM2257769v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella spandovensis	Ascomycota:MAT	JAKIRT010000005.1	305568	481875	medium	mat_locus	MAT1-1	withheld	core_outside_span	324696	424184	3	APN2,COX13,SLA2	MAT1-1-1,MAT1-1-4,MAT1-1-5	54599	False	MAT1-1-5:353688-353822:39.13:12.0:unpolished;MAT1-1-4:401801-401890:36.667:12.0:unpolished;MAT1-1-1:481783-481875:38.71:8.0:unpolished	COX13:324696-324953:25.581:64.0:unpolished;APN2:418873-419712:40.0:None:polished_disagree;SLA2:422439-424184:51.2:None:polished_disagree	Rsm22-like	MAT1-1-3,MAT1-2-1,MATA1,MATA2,MATALPHA2,mat1-Mc,mat1-Pi,matMc,matPi	Rsm22-like:139:34%:6e-34	best_hit_here
cap6	GCA_022813965.1_ASM2281396v1	Ascomycota	Lecanoromycetes	Rhizocarpales	Sporastatiaceae	Toensbergia leucococca	Ascomycota:MAT	JALDZS010000198.1	2	14009	medium	partial_locus	MAT1-1	withheld	core_outside_span	2	1501	2	APN2,COX13	MAT1-1-3	9314	False	MAT1-1-3:13815-14009:30.769:18.0:unpolished	APN2:2-807:71.78:None:polished_agree;COX13:1097-1501:76.34:None:polished_disagree		MAT1-1-1,MAT1-2-1		best_hit_elsewhere
cap6	GCA_023628915.1_ASM2362891v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Trichomonascaceae sp. Y4102	Ascomycota:MAT	JAMAJT010000002.1	199621	243754	medium	mat_locus	MAT1-2	low	inside	217269	225207	2	APN2,SLA2	MAT1-1-1,MAT1-2-1	0	False	MAT1-2-1:216706-216855:33.962:15.0:unpolished;MAT1-1-1:221336-221635:26.0:26.0:unpolished	APN2:217269-217937:43.52:None:polished_disagree;SLA2:223498-225207:55.48:None:polished_disagree	MTLalpha1	MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi	MTLalpha1:48:30%:3e-07	best_hit_here
cap6	GCA_028984885.1_ASM2898488v1	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella dactyloides	Ascomycota:MAT	JAQGDS010000001.1	1320279	1335205	medium	mat_locus	MAT1-2	withheld	core_outside_span	1332446	1335202	2	APN2,COX13	MAT1-1-1,MAT1-2-1	8991	False	MAT1-2-1:1320330-1320455:42.857:12.0:unpolished;MAT1-1-1:1324366-1324503:36.957:12.0:unpolished	APN2:1332446-1333374:62.5:None:polished_disagree;COX13:1334798-1335202:82.05:None:polished_disagree		MAT1-2-1,Rsm22-like,mat1-Mc,matMc,matPi		best_hit_elsewhere
cap6	GCA_030407195.1_ASM3040719v1	Ascomycota	Dipodascomycetes	Dipodascales		Candida tunisiensis	Ascomycota:MATyl	JANJPH010000098.1	7586	32670	medium	mat_locus	A	low	inside	25265	32670	2	apn2,sla2	mata1	0	False	mata1:29209-29328:45.0:23.0:unpolished	apn2:25265-25468:65.15:None:polished_disagree;sla2:29578-32670:56.21:None:polished_disagree	MATA1,MTLA1,mata1	MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi	MATA1:50:43%:2e-08;MTLA1:48:43%:7e-07;mata1:45:45%:3e-06	best_hit_here
cap6	GCA_030407195.1_ASM3040719v1	Ascomycota	Dipodascomycetes	Dipodascales		Candida tunisiensis	Ascomycota:MAT	JANJPH010000098.1	7586	32670	medium	partial_locus	MAT1-1	low	inside	24500	32670	2	APN2,SLA2	MAT1-1-3	0	False	MAT1-1-3:26878-27087:37.5:39.0:unpolished	APN2:24500-25138:49.3:None:polished_disagree;SLA2:29584-32670:58.33:None:polished_agree	MATA1,MTLA1,mata1	MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi	MATA1:50:43%:2e-08;MTLA1:48:43%:7e-07;mata1:45:45%:3e-06	best_hit_here
cap6	GCA_030407195.1_ASM3040719v1	Ascomycota	Dipodascomycetes	Dipodascales		Candida tunisiensis	Ascomycota:MATtub	JANJPH010000098.1	7586	32670	medium	mat_locus	MAT1-2	low	inside	24500	32415	2	APN2,SLA2	MAT1-2-1	0	False	MAT1-2-1:26560-27204:28.636:61.0:unpolished	APN2:24500-25108:45.05:None:polished_single;SLA2:29578-32415:54.26:None:polished_disagree	MATA1,MTLA1,mata1	MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi	MATA1:50:43%:2e-08;MTLA1:48:43%:7e-07;mata1:45:45%:3e-06	best_hit_here
cap6	GCA_030407195.1_ASM3040719v1	Ascomycota	Dipodascomycetes	Dipodascales		Candida tunisiensis	Ascomycota:MTL	JANJPH010000085.1	18359	33969	medium	partial_locus	A	low	inside	18359	33969	2	OBP1,PAP1	MTLA2	0	False	MTLA2:22953-23219:28.09:42.0:unpolished	OBP1:18359-19642:56.089999999999996:None:polished_single;PAP1:32203-33969:60.47:None:polished_single		MAT1-1-3,MAT1-2-1,MATA1,MATALPHA2,MTLA1,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi,mata1		best_hit_elsewhere
cap6	GCA_030412595.1_ASM3041259v1	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Pestalotiopsis neglecta	Ascomycota:MAT	JAQJCZ010000002.1	1784030	1805718	medium	mat_locus	MAT1-2	withheld	core_outside_span	1784033	1787401	2	APN2,COX13	MAT1-2-1	15150	False	MAT1-2-1:1805551-1805718:25.0:22.0:unpolished	COX13:1784033-1784759:69.64:None:polished_disagree;APN2:1785499-1787401:56.55:None:polished_agree		MAT1-1-3,MAT1-2-1		best_hit_elsewhere
cap6	GCA_030555625.1_ASM3055562v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys adeninivorans	Ascomycota:MAT	JANIWH010000001.1	578960	633908	medium	mat_locus	MAT1-1	low	inside	582919	587628	2	APN2,SLA2	MAT1-1-1	0	False	MAT1-1-1:586630-586743:36.842:5.0:unpolished	APN2:582919-583521:51.26:None:polished_disagree;SLA2:584884-587628:57.65:None:polished_disagree	MATALPHA1,MTLalpha1	MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi	MATALPHA1:54:39%:7e-09;MTLalpha1:55:32%:3e-09	best_hit_here
cap6	GCA_030555625.1_ASM3055562v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys adeninivorans	Ascomycota:MATtub	JANIWH010000001.1	578960	633908	medium	mat_locus	MAT1-1	low	inside	582907	587691	2	APN2,SLA2	MAT1-1-1	0	False	MAT1-1-1:584188-584379:29.688:36.0:unpolished	APN2:582907-583521:48.28:None:polished_disagree;SLA2:586159-587691:57.87:None:polished_disagree	MATALPHA1,MTLalpha1	MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi	MATALPHA1:54:39%:7e-09;MTLalpha1:55:32%:3e-09	best_hit_here
cap6	GCA_030556875.1_ASM3055687v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Zygoascus biomembranicola	Ascomycota:MATyl	JAKTUV010000016.1	146587	180263	medium	mat_locus	A	low	inside	174343	180260	2	apn2,sla2	mata1	0	False	mata1:176916-177014:30.303:19.0:unpolished	apn2:174343-174552:54.29:None:polished_disagree;sla2:177165-180260:58.07:None:polished_agree		MAT1-1-3,MAT1-2-1,Rsm22-like,mat1-Mc,matMc		best_hit_elsewhere
cap6	GCA_030556875.1_ASM3055687v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Zygoascus biomembranicola	Ascomycota:MAT	JAKTUV010000016.1	146587	180263	medium	mat_locus	MAT1-1	withheld	core_outside_span	173575	180263	2	APN2,SLA2	MAT1-1-3,MAT1-2-1	12798	False	MAT1-1-3:157514-157777:30.928:30.0:not_polish_candidate;MAT1-2-1:175660-175791:31.818:17.0:unpolished	APN2:173575-174543:42.07:None:polished_disagree;SLA2:178362-180263:57.78:None:polished_disagree		MAT1-1-3,MAT1-2-1,Rsm22-like,mat1-Mc,matMc		best_hit_elsewhere
cap6	GCA_030556875.1_ASM3055687v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Zygoascus biomembranicola	Ascomycota:MATtub	JAKTUV010000016.1	146587	180263	medium	mat_locus	MAT1-2	low	inside	173572	179969	2	APN2,SLA2	MAT1-2-1	0	False	MAT1-2-1:175681-175803:31.818:25.0:unpolished	APN2:173572-174213:42.92:None:polished_disagree;SLA2:178383-179969:54.73:None:polished_disagree		MAT1-1-3,MAT1-2-1,Rsm22-like,mat1-Mc,matMc		best_hit_elsewhere
cap6	GCA_030558825.1_ASM3055882v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys niveus	Ascomycota:MAT	JAKTQM010000007.1	4498	10793	medium	mat_locus	MAT1-2	low	inside	4498	10769	2	APN2,SLA2	MAT1-2-1	0	False	MAT1-2-1:6853-7035:27.143:23.0:unpolished	APN2:4498-5103:45.77:None:polished_disagree;SLA2:8871-10769:57.53:None:polished_disagree		MAT1-1-3,MAT1-2-1,MATALPHA2,MTLalpha2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
cap6	GCA_030558825.1_ASM3055882v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys niveus	Ascomycota:MATtub	JAKTQM010000007.1	4498	10793	medium	mat_locus	MAT1-2	low	inside	4498	10481	2	APN2,SLA2	MAT1-2-1	0	False	MAT1-2-1:6841-7035:22.222:22.0:unpolished	APN2:4498-5115:45.32:None:polished_single;SLA2:8871-10481:56.72:None:polished_disagree		MAT1-1-3,MAT1-2-1,MATALPHA2,MTLalpha2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
cap6	GCA_030560625.1_ASM3056062v1	Ascomycota	Dipodascomycetes	Dipodascales		Yarrowia yakushimensis	Ascomycota:MAT	JAKTVP010000079.1	15781	27922	medium	mat_locus	MAT1-1	low	inside	19974	27505	2	APN2,SLA2	MAT1-1-1	0	False	MAT1-1-1:23669-23884:29.333:19.0:unpolished	SLA2:19974-21761:55.14:None:polished_disagree;APN2:26912-27505:42.31:None:polished_disagree		MAT1-1-3,MAT1-2-1,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
cap6	GCA_030564325.1_ASM3056432v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys capitulatus	Ascomycota:MAT	JAJLUL010000195.1	4418	14859	medium	mat_locus	MAT1-1	low	inside	4418	14838	2	APN2,SLA2	MAT1-1-1	0	False	MAT1-1-1:10862-11173:26.316:31.0:unpolished	APN2:4418-5029:41.18:None:polished_disagree;SLA2:13024-14838:58.35:None:polished_disagree		MAT1-1-3,MAT1-2-1,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
cap6	GCA_030564385.1_ASM3056438v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys robertii	Ascomycota:MAT	JAJLUQ010000034.1	26340	36447	medium	mat_locus	MAT1-1	withheld	core_outside_span	29468	36405	2	APN2,SLA2	MAT1-1-1	0	False	MAT1-1-1:26340-26525:29.412:19.0:unpolished	APN2:29468-30469:42.09:None:polished_single;SLA2:33331-36405:58.26:None:polished_agree	MATALPHA1,MTLalpha1	MAT1-1-3,MAT1-2-1,MATA1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi	MATALPHA1:48:34%:1e-06;MTLalpha1:46:27%:3e-06	best_hit_here
cap6	GCA_030564385.1_ASM3056438v1	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys robertii	Ascomycota:MATtub	JAJLUQ010000034.1	26340	36447	medium	mat_locus	MAT1-1	low	inside	29426	36102	2	APN2,SLA2	MAT1-1-1	0	False	MAT1-1-1:32617-32769:27.451:15.0:unpolished	APN2:29426-30142:47.55:None:polished_single;SLA2:34720-36102:60.3:None:polished_disagree	MATALPHA1,MTLalpha1	MAT1-1-3,MAT1-2-1,MATA1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi	MATALPHA1:48:34%:1e-06;MTLalpha1:46:27%:3e-06	best_hit_here
