panel	genome	order	mat_family	call	ruleA	best_core_gene	best_core_evalue	best_core_dist_bp	B_3kb_noE	B_20kb_noE	B_20kb_E1e-5	B_3kb_E1e-5
cap6	GCA_030558825.1_ASM3055882v1	Dipodascales	Ascomycota:MATtub	JAKTQM010000007.1:4498-10793	low	MAT1-2-1	1.7	0	low	low	withheld	withheld
cap6	GCA_030560625.1_ASM3056062v1	Dipodascales	Ascomycota:MAT	JAKTVP010000079.1:15781-27922	low	MAT1-1-1	0.97	0	low	low	withheld	withheld
cap6	GCA_030564325.1_ASM3056432v1	Dipodascales	Ascomycota:MAT	JAJLUL010000195.1:4418-14859	low	MAT1-1-1	0.001	0	low	low	withheld	withheld
cap6	GCA_030564385.1_ASM3056438v1	Dipodascales	Ascomycota:MAT	JAJLUQ010000034.1:26340-36447	withheld	MAT1-1-1	0.024	2943	low	low	withheld	withheld
cap6	GCA_030564385.1_ASM3056438v1	Dipodascales	Ascomycota:MATtub	JAJLUQ010000034.1:26340-36447	low	MAT1-1-1	0.024	0	low	low	withheld	withheld
cap6	GCA_030568195.1_ASM3056819v1	Lipomycetales	Ascomycota:MAT	JAJLTO010000001.1:187875-245169	low	MAT1-2-1	8.18e-10	0	low	low	low	low
cap6	GCA_030568255.1_ASM3056825v1	Lipomycetales	Ascomycota:MATyl	JAJLTQ010000008.1:248464-277238	low	mata1	0.11	0	low	low	withheld	withheld
cap6	GCA_030568335.1_ASM3056833v1	Lipomycetales	Ascomycota:MATyl	JAJLTR010000025.1:53438-84440	low	mata1	0.11	0	low	low	withheld	withheld
cap6	GCA_030572735.1_ASM3057273v1	Dipodascales	Ascomycota:MAT	JAJMBN010000106.1:21004-46563	withheld	MAT1-1-1	0.16	0	low	low	withheld	withheld
cap6	GCA_030573575.1_ASM3057357v1	Saccharomycodales	Ascomycota:MTL	JAJMDL010000012.1:60204-103430	low	MTLA1	1.6	0	low	low	withheld	withheld
cap6	GCA_030574475.1_ASM3057447v1	Trigonopsidales	Ascomycota:MAT	JAJMFC010000045.1:4430-34412	low	MAT1-1-1	2.7e-05	0	low	low	withheld	withheld
cap6	GCA_030575175.1_ASM3057517v1	Dipodascales	Ascomycota:MAT	JAJMIH010000041.1:19452-80862	low	MAT1-2-1	0.068	0	low	low	withheld	withheld
cap6	GCA_030575175.1_ASM3057517v1	Dipodascales	Ascomycota:MATyl	JAJMIH010000041.1:19452-80862	low	mata2	0.16	0	low	low	withheld	withheld
cap6	GCA_030575195.1_ASM3057519v1	Dipodascales	Ascomycota:MATyl	JAJMIE010000008.1:135154-149841	withheld	mata1	5.7	4493	withheld	low	withheld	withheld
cap6	GCA_030583505.1_ASM3058350v1	Dipodascales	Ascomycota:MAT	JAJMIF010000016.1:96725-123125	withheld	MAT1-2-1	1.2	19034	withheld	low	withheld	withheld
cap6	GCA_030585005.1_ASM3058500v1	Dipodascales	Ascomycota:MAT	JAJMCE010000186.1:2943-10962	low	MAT1-1-1	2.7	0	low	low	withheld	withheld
cap6	GCA_031125595.1_ASM3112559v1	Ascoideales	Ascomycota:MAT	JASTUX010000026.1:70693-116290	low	MAT1-1-1	0.000755	0	low	low	withheld	withheld
cap6	GCA_031125765.1_ASM3112576v1	Ascoideales	Ascomycota:MAT	JASTVC010000035.1:10715-88744	withheld	MAT1-1-1	5.0	0	low	low	withheld	withheld
cap6	GCA_031142775.1_ASM3114277v1	Xylariales	Ascomycota:MAT	JAVBIV010000002.1:1313320-1323659	low	MAT1-2-1	1.73e-05	0	low	low	withheld	withheld
cap6	GCA_031310005.1_ASM3131000v1	Orbiliales	Ascomycota:MAT	CM062383.1:1296513-1304918	withheld	MAT1-2-1	0.066	5969	withheld	low	withheld	withheld
cap6	GCA_036872635.1_ASM3687263v1	Orbiliales	Ascomycota:MAT	JAVHNQ010000003.1:2110495-2121978	withheld	MAT1-2-1	0.026	8488	withheld	low	withheld	withheld
cap6	GCA_036872755.1_ASM3687275v1	Orbiliales	Ascomycota:MAT	JAVHNS010000010.1:358519-372013	withheld	MAT1-2-10	0.95	9249	withheld	low	withheld	withheld
cap6	GCA_036971245.1_ASM3697124v1	Orbiliales	Ascomycota:MAT	JAJTTW010000008.1:1380115-1401256	withheld	MAT1-1-2	0.75	17281	withheld	low	withheld	withheld
cap6	GCA_036971255.1_ASM3697125v1	Orbiliales	Ascomycota:MAT	JAJTTX010000027.1:9396-22700	withheld	MAT1-2-10	0.91	9228	withheld	low	withheld	withheld
cap6	GCA_036971285.1_ASM3697128v1	Orbiliales	Ascomycota:MAT	JAJTTZ010000015.1:1452914-1471653	withheld	MAT1-2-1	0.22	5957	withheld	low	withheld	withheld
cap6	GCA_036971295.1_ASM3697129v1	Orbiliales	Ascomycota:MAT	JAJTTY010000005.1:340799-358436	low	MAT1-2-1	0.011	0	low	low	withheld	withheld
cap6	GCA_036971325.1_ASM3697132v1	Orbiliales	Ascomycota:MAT	JAJTUA010000003.1:289601-300427	low	MAT1-1-1	2.2	0	low	low	withheld	withheld
cap6	GCA_036971385.1_ASM3697138v1	Orbiliales	Ascomycota:MAT	JAJTUD010000010.1:284030-293016	withheld	MAT1-1-1	6.3	6787	withheld	low	withheld	withheld
cap6	GCA_036971405.1_ASM3697140v1	Orbiliales	Ascomycota:MAT	JAJTUE010000010.1:321015-329618	withheld	MAT1-2-1	0.021	6212	withheld	low	withheld	withheld
cap6	GCA_036971435.1_ASM3697143v1	Orbiliales	Ascomycota:MAT	JAKDFA010000013.1:1228770-1280614	withheld	MAT1-2-1	0.008	6396	withheld	low	withheld	withheld
cap6	GCA_036971535.1_ASM3697153v1	Orbiliales	Ascomycota:MAT	JAJTUG010000022.1:341859-356785	withheld	MAT1-2-1	0.005	11991	withheld	low	withheld	withheld
cap6	GCA_036971555.1_ASM3697155v1	Orbiliales	Ascomycota:MAT	JAJTUH010000011.1:371954-398488	withheld	MAT1-1-2	4.2	15896	withheld	low	withheld	withheld
cap6	GCA_036971575.1_ASM3697157v1	Orbiliales	Ascomycota:MAT	JAJTUI010000009.1:278087-281577	low	MAT1-1-1	8.8	0	low	low	withheld	withheld
cap6	GCA_036971655.1_TWF281	Orbiliales	Ascomycota:MAT	JAVHJN010000012.1:300759-312358	withheld	MAT1-2-1	0.038	9217	withheld	low	withheld	withheld
cap6	GCA_037042115.1_ASM3704211v1	Dipodascales	Ascomycota:MAT	JAXQJU010000475.1:4361-6820	low	MAT1-1-1	0.000573	0	low	low	withheld	withheld
cap6	GCA_038497395.1_Lipokono1	Lipomycetales	Ascomycota:MATyl	MU971340.1:257291-350779	low	mata1	0.12	0	low	low	withheld	withheld
cap6	GCA_038497425.1_Liptetra1	Lipomycetales	Ascomycota:MATyl	MU968990.1:215332-244087	low	mata1	0.1	0	low	low	withheld	withheld
cap6	GCA_038497925.1_Lst7851_1	Lipomycetales	Ascomycota:MAT	MU971828.1:274502-299933	low	MAT1-1-3	3.64e-11	0	low	low	low	low
cap6	GCA_038497925.1_Lst7851_1	Lipomycetales	Ascomycota:MATyl	MU971828.1:274502-299933	low	mata1	0.7	0	low	low	withheld	withheld
cap6	GCA_047671915.1_ASM4767191v1	Orbiliales	Ascomycota:MAT	JBAMKL010000499.1:3799-16349	low	MAT1-1-1	0.22	0	low	low	withheld	withheld
cap6	GCA_047671935.1_ASM4767193v1	Orbiliales	Ascomycota:MAT	JBAMKM010000545.1:544-13554	low	MAT1-2-1	0.000249	0	low	low	withheld	withheld
cap6	GCA_047671935.1_ASM4767193v1	Orbiliales	Ascomycota:MATtub	JBAMKM010000545.1:990-13439	low	MAT1-2-1	0.000249	0	low	low	withheld	withheld
cap6	GCA_047716655.1_ASM4771665v1	Orbiliales	Ascomycota:MAT	JBAMJN010000737.1:13443-20268	withheld	MAT1-2-1	0.00025	4364	withheld	low	withheld	withheld
cap6	GCA_057557895.1_ASM5755789v1	Dipodascales	Ascomycota:MATyl	JBWXUM010000152.1:19788-26837	low	mata1	0.000629	0	low	low	withheld	withheld
cap6	GCA_060307455.1_ASM6030745v1	Xylariales	Ascomycota:MAT	JCBLTT010000052.1:10-12206	low	MAT1-2-1	0.004	0	low	low	withheld	withheld
cap6	GCA_900518985.1_YAAL0	Dipodascales	Ascomycota:MAT	ULGN01000006.1:292382-309793	withheld	MAT1-2-4	0.34	8898	withheld	low	withheld	withheld
cap6	GCA_900518985.1_YAAL0	Dipodascales	Ascomycota:MATtub	ULGN01000006.1:292382-309793	low	MAT1-2-1	5.8	0	low	low	withheld	withheld
cap6	GCA_900519055.1_YAGA0	Dipodascales	Ascomycota:MAT	ULGS01000006.1:145622-153691	low	MAT1-1-1	2.4	0	low	low	withheld	withheld
cap6	GCA_900519055.1_YAGA0	Dipodascales	Ascomycota:MATtub	ULGS01000006.1:145622-153691	low	MAT1-1-1	2.4	0	low	low	withheld	withheld
cap6	GCA_964254685.1_public_SRR1531517_concoct_bin.16	Pertusariales	Ascomycota:MAT	CAXUTT010000267.1:5504-18172	low	MAT1-1-1	3.12e-17	0	low	low	low	low
cap6	GCF_000441935.1_MHA_v2	Orbiliales	Ascomycota:MAT	NW_011644707.1:27407-35833	withheld	MAT1-2-1	0.073	5985	withheld	low	withheld	withheld
cap6	GCF_029532465.1_Liptet1	Lipomycetales	Ascomycota:MATyl	NW_026611597.1:1158352-1187108	low	mata1	0.11	0	low	low	withheld	withheld
Mucoromycota	GCA_000587855.1_B50	Mucorales	Mucoromycota:MAT	KK076501.1:473260-520603	withheld	sexM	1.48e-13	9947	withheld	low	low	withheld
Mucoromycota	GCA_000697415.1_UmbIsaB7317-1.0	Umbelopsidales	Mucoromycota:MAT	JNEQ01000056.1:749075-753439	low	sexP	6.76e-11	1353	low	low	low	low
Mucoromycota	GCA_000697435.1_RhiVarB7584-1.0	Mucorales	Mucoromycota:MAT	JNES01000944.1:209980-256000	withheld	sexM	1.43e-13	9468	withheld	low	low	withheld
Mucoromycota	GCA_016758895.1_ASM1675889v1	Umbelopsidales	Mucoromycota:MAT	JAEPRA010000016.1:141223-158571	low	sexM	1.47e-05	0	low	low	withheld	withheld
Mucoromycota	GCA_016758905.1_ASM1675890v1	Umbelopsidales	Mucoromycota:MAT	JAEPQZ010000017.1:104013-119940	low	sexP	7.2	1254	low	low	withheld	withheld
Mucoromycota	GCA_016758905.1_ASM1675890v1	Umbelopsidales	Mucoromycota:MAT	JAEPQZ010000017.1:412287-416732	low	sexP	8.9e-10	1334	low	low	low	low
Mucoromycota	GCA_027595865.1_Umbelopsis_isabellina_MPG-14A_reass_enz	Umbelopsidales	Mucoromycota:MAT	JANJFK010000028.1:163721-168087	low	sexP	6.74e-11	1354	low	low	low	low
Mucoromycota	GCA_037039815.1_ASM3703981v1	Umbelopsidales	Mucoromycota:MAT	JAXQGL010000038.1:212610-237840	withheld	sexP	3.7	12429	withheld	low	withheld	withheld
Mucoromycota	GCA_037039815.1_ASM3703981v1	Umbelopsidales	Mucoromycota:MAT	JAXQGL010000038.1:439445-444075	low	sexP	1.5e-09	1350	low	low	low	low
Mucoromycota	GCA_053572175.1_ASM5357217v1	Umbelopsidales	Mucoromycota:MAT	JAYKKX010000013.1:106814-110949	low	sexM	0.000183	1132	low	low	withheld	withheld
Mucoromycota	GCA_054906655.1_Umbelopsis_nana_v._1.0	Umbelopsidales	Mucoromycota:MAT	BAAHSD010000001.1:143205-160100	low	sexM	0.11	0	low	low	withheld	withheld
Mucoromycota	GCA_964291815.1_UMBE_WA70503	Umbelopsidales	Mucoromycota:MAT	CAXYTU010000169.1:106865-111000	low	sexM	0.00018	1132	low	low	withheld	withheld
Mucoromycota	GCA_977092135.1_gzAbsCyli1	Mucorales	Mucoromycota:MAT	CDRYNH010000012.1:717983-761620	low	sexP	0.015	0	low	low	withheld	withheld
Mucoromycota	GCA_977110905.1_gzMucHiem1	Mucorales	Mucoromycota:MAT	CDSBDF010000023.1:973776-1012464	low	sexM	1.02e-08	0	low	low	low	low
Mucoromycota	GCA_977110975.1_gzUmbVina2	Umbelopsidales	Mucoromycota:MAT	CDSBDG010000016.1:219389-223444	low	sexM	0.000593	1088	low	low	withheld	withheld
Mucoromycota	GCF_025399195.1_Umbra1	Umbelopsidales	Mucoromycota:MAT	NW_026252087.1:139483-157423	low	sexP	4.72e-06	0	low	low	low	low
Mortierellomycota	GCA_019788775.1_ASM1978877v1	Mortierellales	Mucoromycota:MAT	JAIFTL010000165.1:36645-50101	withheld	sexM	6.6	6179	withheld	low	withheld	withheld
Mortierellomycota	GCA_033807515.1_Morgam1	Mortierellales	Mucoromycota:MAT	JAWHKS010000011.1:208935-273008	withheld	sexP	9.0	57000	withheld	withheld	withheld	withheld
Kickxellomycota	GCA_027577175.1_UCR_CoemS146_1.0	Kickxellales	Mucoromycota:MAT	JANBQN010000031.1:57994-126852	low	sexM	0.52	0	low	low	withheld	withheld
