panel	genome	order	species	mat_family	outcome	why	max_core_dist_bp	call	gene	rank_here	n_loci_e1e-3	here_evalue	here_bits	here_pid	best_evalue	best_where
cap6	GCA_003705735.3_ASM370573v3	Dipodascales	Blastobotrys peoriensis	Ascomycota:MATtub	withheld	core_outside_span	13607	PPJJ03000115.1:9423-32941	MAT1-2-1	63	3	4.9	26.6	25.49	6.19e-18	PPJJ03000107.1:24211
cap6	GCA_003707065.3_ASM370706v3	Trigonopsidales	Trigonopsis variabilis	Ascomycota:MAT	withheld	core_outside_span	6	PPXM03000002.1:1171733-1206054	MAT1-1-3	1	3	3.59e-10	56.6	37.209	3.59e-10	PPXM03000002.1:1171883
cap6	GCA_003707065.3_ASM370706v3	Trigonopsidales	Trigonopsis variabilis	Ascomycota:MAT	withheld	core_outside_span	6	PPXM03000002.1:1171733-1206054	MAT1-2-1	2	3	1.18e-08	53.1	32.967	3.41e-13	PPXM03000001.1:227957
cap6	GCA_003707065.3_ASM370706v3	Trigonopsidales	Trigonopsis variabilis	Ascomycota:MATtub	low	inside	0	PPXM03000002.1:1171733-1206054	MAT1-2-1	2	3	1.18e-08	53.1	32.967	3.41e-13	PPXM03000001.1:227957
cap6	GCA_003707485.3_ASM370748v3	Dipodascales	Blastobotrys proliferans	Ascomycota:MAT	withheld	core_outside_span	5807	PPJI03000071.1:2066-18026	MAT1-1-1	1	0	0.006	37.0	24.691	0.006	PPJI03000071.1:14643
cap6	GCA_003707485.3_ASM370748v3	Dipodascales	Blastobotrys proliferans	Ascomycota:MAT	withheld	core_outside_span	5807	PPJI03000071.1:2066-18026	MAT1-1-2	10	0	7.3	28.1	34.043	0.19	PPJI03000004.1:291600
cap6	GCA_003707485.3_ASM370748v3	Dipodascales	Blastobotrys proliferans	Ascomycota:MAT	low	inside	0	PPJI03000006.1:258089-274844	MAT1-2-1	5	2	0.036	33.1	28.571	1.48e-18	PPJI03000069.1:3244
cap6	GCA_003708045.1_ASM370804v1	Dipodascales	Yarrowia divulgata	Ascomycota:MAT	low	inside	0	PPMY01000040.1:2767-10786	MAT1-1-1	15	0	2.8	29.6	25.926	0.2	PPMY01000007.1:160436
cap6	GCA_004919795.1_ASM491979v1	Saccharomycodales	Hanseniaspora sp. CRUB 1602	Ascomycota:MTL	low	inside	0	SRHF01000012.1:60204-103430	MTLA1	10	2	1.6	27.3	31.707	7.85e-06	SRHF01000004.1:174805
cap6	GCA_010015825.1_Lopnu1	Pleosporales	Lophiotrema nucula	Ascomycota:MAT	withheld	core_outside_span	13986	ML977371.1:108801-128984	MAT1-1-4	2	0	2.2	30.0	37.778	2.0	ML977327.1:858160
cap6	GCA_011067015.1_ASM1106701v1	Orbiliales	Orbilia oligospora	Ascomycota:MAT	withheld	core_outside_span	9622	JAABLO010000001.1:878630-893700	MAT1-1-2	17	0	8.3	29.3	27.523	0.23	JAABLO010000082.1:14633
cap6	GCA_011068445.1_ASM1106844v1	Orbiliales	Orbilia oligospora	Ascomycota:MAT	withheld	core_outside_span	13692	JAAGKP010000022.1:29726-50164	MAT1-2-1	35	2	4.5	29.6	31.915	1.22e-08	JAAGKP010000101.1:10016
cap6	GCA_012184295.1_ASM1218429v1	Orbiliales	Dactylella cylindrospora	Ascomycota:MAT	withheld	core_outside_span	6241	LDUD01000016.1:314157-343862	MAT1-2-1	10	2	1.4	31.6	40.541	4.25e-10	LDUD01000037.1:290824
cap6	GCA_012184355.1_ASM1218435v1	Orbiliales	Dactylellina cionopaga	Ascomycota:MAT	withheld	core_outside_span	2007	LDUC01000161.1:295392-311206	MAT1-1-1	1	0	0.002	40.8	32.184	0.002	LDUC01000161.1:304001
cap6	GCA_016162255.1_ASM1616225v1	Dipodascales	Blastobotrys adeninivorans	Ascomycota:MAT	withheld	core_outside_span	14993	JACADK010000001.1:2159529-2205085	MAT1-1-1	1	0	0.002	38.9	29.412	0.002	JACADK010000001.1:2179107
cap6	GCA_016162255.1_ASM1616225v1	Dipodascales	Blastobotrys adeninivorans	Ascomycota:MAT	withheld	core_outside_span	14993	JACADK010000001.1:2159529-2205085	MAT1-1-2	6	0	4.3	28.5	27.66	0.18	JACADK010000002.1:876093
cap6	GCA_016162255.1_ASM1616225v1	Dipodascales	Blastobotrys adeninivorans	Ascomycota:MAT	withheld	core_outside_span	14993	JACADK010000001.1:2159529-2205085	MAT1-1-3	10	2	2.6	26.9	29.63	1.17e-10	JACADK010000001.1:3106262
cap6	GCA_017635955.1_ASM1763595v1	Dipodascales	Yarrowia sp. B02	Ascomycota:MAT	low	inside	0	JAAQQV010000003.1:2172378-2180704	MAT1-1-1	38	0	7.7	28.1	34.783	0.02	JAAQQV010000004.1:589404
cap6	GCA_017635955.1_ASM1763595v1	Dipodascales	Yarrowia sp. B02	Ascomycota:MAT	low	inside	0	JAAQQV010000003.1:2172378-2180704	MAT1-2-1	11	2	0.32	31.6	25.641	3.9e-16	JAAQQV010000006.1:2095386
cap6	GCA_018804115.1_ASM1880411v1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	inside	0	JAGJTG010000006.1:412571-441228	MAT1-1-1	1	1	2.98e-07	53.5	31.959	2.98e-07	JAGJTG010000006.1:425519
cap6	GCA_018804115.1_ASM1880411v1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	inside	0	JAGJTG010000006.1:412571-441228	MAT1-1-3	1	3	1.09e-11	47.0	48.649	1.09e-11	JAGJTG010000006.1:415400
cap6	GCA_018804115.1_ASM1880411v1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	inside	0	JAGJTG010000006.1:412571-441228	MAT1-2-1	1	5	2.17e-10	61.2	28.889	2.17e-10	JAGJTG010000006.1:434115
cap6	GCA_018804115.1_ASM1880411v1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MATyl	low	inside	0	JAGJTG010000006.1:412571-441228	mata1	5	0	1.2	28.9	34.146	0.09	JAGJTG010000006.1:319448
cap6	GCA_020064725.1_ASM2006472v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	core_outside_span	8991	JAGTWJ010000007.1:1520388-1535314	MAT1-1-1	29	0	5.4	29.3	30.38	0.28	JAGTWJ010000006.1:844648
cap6	GCA_020064725.1_ASM2006472v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	core_outside_span	8991	JAGTWJ010000007.1:1520388-1535314	MAT1-2-1	5	3	0.02	37.4	26.027	1.13e-09	JAGTWJ010000003.1:2545533
cap6	GCA_022577695.1_ASM2257769v1	Dipodascales	Wickerhamiella spandovensis	Ascomycota:MAT	withheld	core_outside_span	54599	JAKIRT010000005.1:305568-481875	MAT1-1-1	22	0	3.2	28.5	38.71	0.11	JAKIRT010000011.1:143347
cap6	GCA_022577695.1_ASM2257769v1	Dipodascales	Wickerhamiella spandovensis	Ascomycota:MAT	withheld	core_outside_span	54599	JAKIRT010000005.1:305568-481875	MAT1-1-4	4	0	9.5	26.2	36.667	1.9	JAKIRT010000003.1:609702
cap6	GCA_022577695.1_ASM2257769v1	Dipodascales	Wickerhamiella spandovensis	Ascomycota:MAT	withheld	core_outside_span	54599	JAKIRT010000005.1:305568-481875	MAT1-1-5	13	0	5.7	27.3	39.13	0.21	JAKIRT010000026.1:11489
cap6	GCA_022813965.1_ASM2281396v1	Rhizocarpales	Toensbergia leucococca	Ascomycota:MAT	withheld	core_outside_span	9314	JALDZS010000198.1:2-14009	MAT1-1-3	11	2	9.5	27.7	30.769	7.74e-05	JALDZS010000002.1:349284
cap6	GCA_023628915.1_ASM2362891v1	Dipodascales	Trichomonascaceae sp. Y4102	Ascomycota:MAT	low	inside	0	JAMAJT010000002.1:199621-243754	MAT1-1-1	59	0	5.4	27.3	26.0	0.22	JAMAJT010000004.1:411560
cap6	GCA_023628915.1_ASM2362891v1	Dipodascales	Trichomonascaceae sp. Y4102	Ascomycota:MAT	low	inside	0	JAMAJT010000002.1:199621-243754	MAT1-2-1	30	2	2.3	28.9	33.962	2.82e-15	JAMAJT010000006.1:145448
cap6	GCA_028984885.1_ASM2898488v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	core_outside_span	8991	JAQGDS010000001.1:1320279-1335205	MAT1-1-1	33	0	5.6	29.3	30.38	0.26	JAQGDS010000011.1:932366
cap6	GCA_028984885.1_ASM2898488v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	core_outside_span	8991	JAQGDS010000001.1:1320279-1335205	MAT1-2-1	6	3	0.006	36.6	28.926	1.17e-09	JAQGDS010000006.1:111469
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Candida tunisiensis	Ascomycota:MATyl	low	inside	0	JANJPH010000098.1:7586-32670	mata1	1	1	3.5e-06	44.7	45.0	3.5e-06	JANJPH010000098.1:29209
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Candida tunisiensis	Ascomycota:MAT	low	inside	0	JANJPH010000098.1:7586-32670	MAT1-1-3	2	3	8.17e-07	46.2	29.592	2.56e-08	JANJPH010000390.1:3441
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Candida tunisiensis	Ascomycota:MATtub	low	inside	0	JANJPH010000098.1:7586-32670	MAT1-2-1	3	3	7.17e-07	49.3	28.636	2.57e-09	JANJPH010000023.1:21292
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Candida tunisiensis	Ascomycota:MTL	low	inside	0	JANJPH010000085.1:18359-33969	MTLA2	10	1	7.2	26.2	28.09	4.38e-05	JANJPH010000098.1:26884
cap6	GCA_030412595.1_ASM3041259v1	Amphisphaeriales	Pestalotiopsis neglecta	Ascomycota:MAT	withheld	core_outside_span	15150	JAQJCZ010000002.1:1784030-1805718	MAT1-2-1	19	3	1.0	31.2	25.0	1.07e-18	JAQJCZ010000007.1:4109391
cap6	GCA_030555625.1_ASM3055562v1	Dipodascales	Blastobotrys adeninivorans	Ascomycota:MAT	low	inside	0	JANIWH010000001.1:578960-633908	MAT1-1-1	1	0	0.003	38.5	29.412	0.003	JANIWH010000001.1:584212
cap6	GCA_030555625.1_ASM3055562v1	Dipodascales	Blastobotrys adeninivorans	Ascomycota:MATtub	low	inside	0	JANIWH010000001.1:578960-633908	MAT1-1-1	1	0	0.003	38.5	29.412	0.003	JANIWH010000001.1:584212
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Zygoascus biomembranicola	Ascomycota:MATyl	low	inside	0	JAKTUV010000016.1:146587-180263	mata1	6	0	5.3	26.2	30.303	0.043	JAKTUV010000001.1:1133720
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Zygoascus biomembranicola	Ascomycota:MAT	withheld	core_outside_span	12798	JAKTUV010000016.1:146587-180263	MAT1-1-3	4	2	2.5	28.5	30.928	3.51e-14	JAKTUV010000010.1:434997
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Zygoascus biomembranicola	Ascomycota:MAT	withheld	core_outside_span	12798	JAKTUV010000016.1:146587-180263	MAT1-2-1	35	2	3.7	27.3	31.818	2.79e-19	JAKTUV010000010.1:434958
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Zygoascus biomembranicola	Ascomycota:MATtub	low	inside	0	JAKTUV010000016.1:146587-180263	MAT1-2-1	35	2	3.7	27.3	31.818	2.79e-19	JAKTUV010000010.1:434958
cap6	GCA_030558825.1_ASM3055882v1	Dipodascales	Blastobotrys niveus	Ascomycota:MAT	low	inside	0	JAKTQM010000007.1:4498-10793	MAT1-2-1	14	2	1.7	29.3	27.143	7.33e-17	JAKTQM010000185.1:4139
cap6	GCA_030558825.1_ASM3055882v1	Dipodascales	Blastobotrys niveus	Ascomycota:MATtub	low	inside	0	JAKTQM010000007.1:4498-10793	MAT1-2-1	14	2	1.7	29.3	27.143	7.33e-17	JAKTQM010000185.1:4139
cap6	GCA_030560625.1_ASM3056062v1	Dipodascales	Yarrowia yakushimensis	Ascomycota:MAT	low	inside	0	JAKTVP010000079.1:15781-27922	MAT1-1-1	10	0	0.97	30.8	24.818	0.3	JAKTVP010000002.1:411843
cap6	GCA_030564325.1_ASM3056432v1	Dipodascales	Blastobotrys capitulatus	Ascomycota:MAT	low	inside	0	JAJLUL010000195.1:4418-14859	MAT1-1-1	1	1	0.001	40.8	26.316	0.001	JAJLUL010000195.1:10862
cap6	GCA_030564385.1_ASM3056438v1	Dipodascales	Blastobotrys robertii	Ascomycota:MAT	withheld	core_outside_span	0	JAJLUQ010000034.1:26340-36447	MAT1-1-1	1	0	0.024	35.0	25.974	0.024	JAJLUQ010000034.1:32557
cap6	GCA_030564385.1_ASM3056438v1	Dipodascales	Blastobotrys robertii	Ascomycota:MATtub	low	inside	0	JAJLUQ010000034.1:26340-36447	MAT1-1-1	1	0	0.024	35.0	25.974	0.024	JAJLUQ010000034.1:32557
cap6	GCA_030568195.1_ASM3056819v1	Lipomycetales	Dipodascopsis uninucleata	Ascomycota:MAT	low	inside	0	JAJLTO010000001.1:187875-245169	MAT1-1-1	1	1	1.7e-06	50.8	35.593	1.7e-06	JAJLTO010000001.1:238855
cap6	GCA_030568195.1_ASM3056819v1	Lipomycetales	Dipodascopsis uninucleata	Ascomycota:MAT	low	inside	0	JAJLTO010000001.1:187875-245169	MAT1-1-3	2	3	2.63e-08	51.6	29.897	6.28e-11	JAJLTO010000004.1:6831
cap6	GCA_030568195.1_ASM3056819v1	Lipomycetales	Dipodascopsis uninucleata	Ascomycota:MAT	low	inside	0	JAJLTO010000001.1:187875-245169	MAT1-2-1	2	3	8.18e-10	57.4	38.095	1.23e-15	JAJLTO010000004.1:6771
cap6	GCA_030568255.1_ASM3056825v1	Lipomycetales	Lipomyces spencermartinsiae	Ascomycota:MATyl	low	inside	0	JAJLTQ010000008.1:248464-277238	mata1	1	0	0.11	32.3	37.838	0.11	JAJLTQ010000008.1:272243
cap6	GCA_030568335.1_ASM3056833v1	Lipomycetales	Lipomyces tetrasporus	Ascomycota:MATyl	low	inside	0	JAJLTR010000025.1:53438-84440	mata1	1	0	0.11	32.3	37.838	0.11	JAJLTR010000025.1:79448
cap6	GCA_030572735.1_ASM3057273v1	Dipodascales	Sugiyamaella mastotermitis	Ascomycota:MAT	withheld	core_outside_span	16349	JAJMBN010000106.1:21004-46563	MAT1-1-1	2	0	0.16	33.1	26.866	0.27	JAJMBN010000011.1:103365
cap6	GCA_030572735.1_ASM3057273v1	Dipodascales	Sugiyamaella mastotermitis	Ascomycota:MAT	withheld	core_outside_span	16349	JAJMBN010000106.1:21004-46563	MAT1-1-3	16	2	9.3	26.2	33.333	4.3e-11	JAJMBN010000014.1:59576
cap6	GCA_030573575.1_ASM3057357v1	Saccharomycodales	Hanseniaspora sp. CRUB 1602	Ascomycota:MTL	low	inside	0	JAJMDL010000012.1:60204-103430	MTLA1	10	2	1.6	27.3	31.707	7.85e-06	JAJMDL010000004.1:174805
cap6	GCA_030574475.1_ASM3057447v1	Trigonopsidales	Trigonopsis californica	Ascomycota:MAT	low	inside	0	JAJMFC010000045.1:4430-34412	MAT1-1-1	1	1	2.7e-05	44.7	37.255	2.7e-05	JAJMFC010000045.1:9376
cap6	GCA_030575175.1_ASM3057517v1	Dipodascales	Sugiyamaella novakii	Ascomycota:MAT	low	inside	0	JAJMIH010000041.1:19452-80862	MAT1-2-1	6	4	0.068	33.9	26.168	7.88e-19	JAJMIH010000015.1:211311
cap6	GCA_030575175.1_ASM3057517v1	Dipodascales	Sugiyamaella novakii	Ascomycota:MATyl	low	inside	0	JAJMIH010000041.1:19452-80862	mata2	1	0	0.16	32.7	29.31	0.16	JAJMIH010000041.1:24259
cap6	GCA_030575195.1_ASM3057519v1	Dipodascales	Sugiyamaella boreocaroliniensis	Ascomycota:MATyl	withheld	core_outside_span	1493	JAJMIE010000008.1:135154-149841	mata1	9	1	5.7	26.2	29.73	1.43e-05	JAJMIE010000024.1:224320
cap6	GCA_030583505.1_ASM3058350v1	Dipodascales	Sugiyamaella castrensis	Ascomycota:MAT	withheld	core_outside_span	16034	JAJMIF010000016.1:96725-123125	MAT1-2-1	10	3	1.2	30.4	30.909	5.39e-17	JAJMIF010000054.1:38719
cap6	GCA_030585005.1_ASM3058500v1	Dipodascales	Yarrowia brassicae	Ascomycota:MAT	low	inside	0	JAJMCE010000186.1:2943-10962	MAT1-1-1	15	0	2.7	29.6	25.926	0.2	JAJMCE010000022.1:19335
cap6	GCA_031125595.1_ASM3112559v1	Ascoideales	Saccharomycopsis capsularis	Ascomycota:MAT	low	inside	0	JASTUX010000026.1:70693-116290	MAT1-1-1	1	1	0.000755	42.0	32.941	0.000755	JASTUX010000026.1:74456
cap6	GCA_031125765.1_ASM3112576v1	Ascoideales	Saccharomycopsis amapae	Ascomycota:MAT	withheld	core_outside_span	1658	JASTVC010000035.1:10715-88744	MAT1-1-1	40	0	5.0	28.1	25.806	0.22	JASTVC010000041.1:67765
cap6	GCA_031125765.1_ASM3112576v1	Ascoideales	Saccharomycopsis amapae	Ascomycota:MAT	withheld	core_outside_span	1658	JASTVC010000035.1:10715-88744	MAT1-1-2	10	0	6.0	28.1	31.25	0.6	JASTVC010000105.1:16192
cap6	GCA_031142775.1_ASM3114277v1	Xylariales	Microdochium paspali	Ascomycota:MAT	low	inside	0	JAVBIV010000002.1:1313320-1323659	MAT1-1-1	48	0	7.0	28.9	38.095	0.044	JAVBIV010000010.1:965030
cap6	GCA_031142775.1_ASM3114277v1	Xylariales	Microdochium paspali	Ascomycota:MAT	low	inside	0	JAVBIV010000002.1:1313320-1323659	MAT1-1-3	6	1	0.87	30.4	25.51	1.57e-09	JAVBIV010000008.1:1276679
cap6	GCA_031142775.1_ASM3114277v1	Xylariales	Microdochium paspali	Ascomycota:MAT	low	inside	0	JAVBIV010000002.1:1313320-1323659	MAT1-2-1	2	3	1.73e-05	46.6	24.427	9.68e-17	JAVBIV010000008.1:1276673
cap6	GCA_031310005.1_ASM3131000v1	Orbiliales	Dactylellina haptotyla	Ascomycota:MAT	withheld	core_outside_span	2969	CM062383.1:1296513-1304918	MAT1-2-1	4	3	0.066	35.8	58.621	9.45e-09	CM062386.1:2421022
cap6	GCA_036872635.1_ASM3687263v1	Orbiliales	Orbilia brochopaga	Ascomycota:MAT	withheld	core_outside_span	5488	JAVHNQ010000003.1:2110495-2121978	MAT1-2-1	4	3	0.026	37.0	33.333	5.31e-08	JAVHNQ010000006.1:2535270
cap6	GCA_036872755.1_ASM3687275v1	Orbiliales	Orbilia blumenaviensis	Ascomycota:MAT	withheld	core_outside_span	6249	JAVHNS010000010.1:358519-372013	MAT1-2-10	1	0	0.95	31.6	27.473	0.95	JAVHNS010000010.1:358519
cap6	GCA_036971245.1_ASM3697124v1	Orbiliales	Arthrobotrys sphaeroides	Ascomycota:MAT	withheld	core_outside_span	14281	JAJTTW010000008.1:1380115-1401256	MAT1-1-2	5	0	0.75	32.3	31.667	0.045	JAJTTW010000006.1:1179271
cap6	GCA_036971255.1_ASM3697125v1	Orbiliales	Orbilia blumenaviensis	Ascomycota:MAT	withheld	core_outside_span	6228	JAJTTX010000027.1:9396-22700	MAT1-2-10	1	0	0.91	31.6	27.473	0.91	JAJTTX010000027.1:22434
cap6	GCA_036971285.1_ASM3697128v1	Orbiliales	Dactylellina cionopaga	Ascomycota:MAT	withheld	core_outside_span	4826	JAJTTZ010000015.1:1452914-1471653	MAT1-1-1	3	0	0.79	32.3	26.364	0.13	JAJTTZ010000007.1:25567
cap6	GCA_036971285.1_ASM3697128v1	Orbiliales	Dactylellina cionopaga	Ascomycota:MAT	withheld	core_outside_span	4826	JAJTTZ010000015.1:1452914-1471653	MAT1-2-1	6	2	0.22	34.3	55.172	1.23e-09	JAJTTZ010000014.1:518655
cap6	GCA_036971295.1_ASM3697129v1	Orbiliales	Dactylellina cionopaga	Ascomycota:MAT	low	inside	0	JAJTTY010000005.1:340799-358436	MAT1-2-1	3	2	0.011	38.5	28.916	6.78e-09	JAJTTY010000009.1:521832
cap6	GCA_036971325.1_ASM3697132v1	Orbiliales	Dactylellina cionopaga	Ascomycota:MAT	low	inside	0	JAJTUA010000003.1:289601-300427	MAT1-1-1	7	0	2.2	31.2	32.203	0.1	JAJTUA010000056.1:52739
cap6	GCA_036971385.1_ASM3697138v1	Orbiliales	Dactylellina parvicollis	Ascomycota:MAT	withheld	core_outside_span	3787	JAJTUD010000010.1:284030-293016	MAT1-1-1	24	0	6.3	29.3	34.694	0.5	JAJTUD010000014.1:366151
cap6	GCA_036971405.1_ASM3697140v1	Orbiliales	Orbilia quercus	Ascomycota:MAT	withheld	core_outside_span	3212	JAJTUE010000010.1:321015-329618	MAT1-2-1	4	3	0.021	37.4	53.125	5.14e-09	JAJTUE010000011.1:979652
cap6	GCA_036971435.1_ASM3697143v1	Orbiliales	Dactylellina sp. tibetensis	Ascomycota:MAT	withheld	core_outside_span	3396	JAKDFA010000013.1:1228770-1280614	MAT1-2-1	4	3	0.008	38.5	27.35	1.38e-09	JAKDFA010000014.1:509365
cap6	GCA_036971535.1_ASM3697153v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	core_outside_span	8991	JAJTUG010000022.1:341859-356785	MAT1-1-1	27	0	5.3	29.3	30.38	0.25	JAJTUG010000014.1:928004
cap6	GCA_036971535.1_ASM3697153v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	core_outside_span	8991	JAJTUG010000022.1:341859-356785	MAT1-2-1	6	3	0.005	36.6	28.926	1.11e-09	JAJTUG010000003.1:2330088
cap6	GCA_036971555.1_ASM3697155v1	Orbiliales	Drechslerella coelobrocha	Ascomycota:MAT	withheld	core_outside_span	12896	JAJTUH010000011.1:371954-398488	MAT1-1-1	21	0	6.8	29.3	21.591	0.18	JAJTUH010000003.1:3936178
cap6	GCA_036971555.1_ASM3697155v1	Orbiliales	Drechslerella coelobrocha	Ascomycota:MAT	withheld	core_outside_span	12896	JAJTUH010000011.1:371954-398488	MAT1-1-2	12	0	4.2	29.6	25.275	0.086	JAJTUH010000003.1:962185
cap6	GCA_036971575.1_ASM3697157v1	Orbiliales	Arthrobotrys conoides	Ascomycota:MAT	low	inside	0	JAJTUI010000009.1:278087-281577	MAT1-1-1	27	0	8.8	28.9	41.463	0.49	JAJTUI010000010.1:613302
cap6	GCA_036971655.1_TWF281	Orbiliales	Arthrobotrys megalospora	Ascomycota:MAT	withheld	core_outside_span	6217	JAVHJN010000012.1:300759-312358	MAT1-2-1	7	2	0.038	35.4	42.5	3.42e-09	JAVHJN010000005.1:101003
cap6	GCA_037042115.1_ASM3704211v1	Dipodascales	Wickerhamiella sp. P97-06A	Ascomycota:MAT	low	inside	0	JAXQJU010000475.1:4361-6820	MAT1-1-1	1	1	0.000573	39.7	34.426	0.000573	JAXQJU010000475.1:6354
cap6	GCA_038497395.1_Lipokono1	Lipomycetales	Lipomyces kononenkoae	Ascomycota:MATyl	low	inside	0	MU971340.1:257291-350779	mata1	2	0	0.12	32.0	40.541	0.078	MU971375.1:33803
cap6	GCA_038497425.1_Liptetra1	Lipomycetales	Lipomyces tetrasporus	Ascomycota:MATyl	low	inside	0	MU968990.1:215332-244087	mata1	1	0	0.1	32.3	37.838	0.1	MU968990.1:239092
cap6	GCA_038497925.1_Lst7851_1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	inside	0	MU971828.1:274502-299933	MAT1-1-1	1	1	7.11e-07	52.4	31.959	7.11e-07	MU971828.1:287382
cap6	GCA_038497925.1_Lst7851_1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	inside	0	MU971828.1:274502-299933	MAT1-1-3	1	3	3.64e-11	47.0	48.649	3.64e-11	MU971828.1:297024
cap6	GCA_038497925.1_Lst7851_1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	inside	0	MU971828.1:274502-299933	MAT1-2-1	1	5	7.41e-11	62.8	28.889	7.41e-11	MU971828.1:279021
cap6	GCA_038497925.1_Lst7851_1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MATyl	low	inside	0	MU971828.1:274502-299933	mata1	2	0	0.7	29.6	37.838	0.097	MU971821.1:19643
cap6	GCA_047671915.1_ASM4767191v1	Orbiliales	Hyalorbilia sp. HsImV27	Ascomycota:MAT	low	inside	0	JBAMKL010000499.1:3799-16349	MAT1-1-1	1	0	0.22	34.3	29.73	0.22	JBAMKL010000499.1:10129
cap6	GCA_047671935.1_ASM4767193v1	Orbiliales	Hyalorbilia sp. HsImV25	Ascomycota:MAT	low	inside	0	JBAMKM010000545.1:544-13554	MAT1-2-1	4	4	0.000249	42.4	45.455	2.89e-10	JBAMKM010000567.1:13583
cap6	GCA_047671935.1_ASM4767193v1	Orbiliales	Hyalorbilia sp. HsImV25	Ascomycota:MATtub	low	inside	0	JBAMKM010000545.1:990-13439	MAT1-2-1	4	4	0.000249	42.4	45.455	2.89e-10	JBAMKM010000567.1:13583
