panel	genome	order	species	mat_family	outcome	call	gene	domain	rank_here	n_loci_genomewide	best_here_bits	best_here_pid	best_bits	best_where
cap6	GCA_003707485.3_ASM370748v3	Dipodascales	Blastobotrys proliferans	Ascomycota:MAT	low	PPJI03000006.1:258089-274844	MAT1-2-1	HMG	absent	2			85.5	PPJI03000069.1:3244
cap6	GCA_003708045.1_ASM370804v1	Dipodascales	Yarrowia divulgata	Ascomycota:MAT	low	PPMY01000040.1:2767-10786	MAT1-1-1	other	absent	0				
cap6	GCA_004919795.1_ASM491979v1	Saccharomycodales	Hanseniaspora sp. CRUB 1602	Ascomycota:MTL	low	SRHF01000012.1:60204-103430	MTLA1	other	absent	2			40.8	SRHF01000004.1:174805
cap6	GCA_010015825.1_Lopnu1	Pleosporales	Lophiotrema nucula	Ascomycota:MAT	withheld	ML977371.1:108801-128984	MAT1-1-4	other	absent	0				
cap6	GCA_011067015.1_ASM1106701v1	Orbiliales	Orbilia oligospora	Ascomycota:MAT	withheld	JAABLO010000001.1:878630-893700	MAT1-1-2	other	absent	0				
cap6	GCA_011068445.1_ASM1106844v1	Orbiliales	Orbilia oligospora	Ascomycota:MAT	withheld	JAAGKP010000022.1:29726-50164	MAT1-2-1	HMG	absent	2			56.6	JAAGKP010000101.1:10016
cap6	GCA_012184295.1_ASM1218429v1	Orbiliales	Dactylella cylindrospora	Ascomycota:MAT	withheld	LDUD01000016.1:314157-343862	MAT1-2-1	HMG	absent	2			60.8	LDUD01000037.1:290824
cap6	GCA_012184355.1_ASM1218435v1	Orbiliales	Dactylellina cionopaga	Ascomycota:MAT	withheld	LDUC01000161.1:295392-311206	MAT1-1-1	other	absent	0				
cap6	GCA_016162255.1_ASM1616225v1	Dipodascales	Blastobotrys adeninivorans	Ascomycota:MAT	withheld	JACADK010000001.1:2159529-2205085	MAT1-1-1	other	absent	0				
cap6	GCA_016162255.1_ASM1616225v1	Dipodascales	Blastobotrys adeninivorans	Ascomycota:MAT	withheld	JACADK010000001.1:2159529-2205085	MAT1-1-2	other	absent	0				
cap6	GCA_016162255.1_ASM1616225v1	Dipodascales	Blastobotrys adeninivorans	Ascomycota:MAT	withheld	JACADK010000001.1:2159529-2205085	MAT1-1-3	other	absent	2			58.2	JACADK010000001.1:3106262
cap6	GCA_017635955.1_ASM1763595v1	Dipodascales	Yarrowia sp. B02	Ascomycota:MAT	low	JAAQQV010000003.1:2172378-2180704	MAT1-1-1	other	absent	0				
cap6	GCA_017635955.1_ASM1763595v1	Dipodascales	Yarrowia sp. B02	Ascomycota:MAT	low	JAAQQV010000003.1:2172378-2180704	MAT1-2-1	HMG	absent	2			78.6	JAAQQV010000006.1:2095386
cap6	GCA_018804115.1_ASM1880411v1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	JAGJTG010000006.1:412571-441228	MAT1-1-1	other	1	1	53.1	31.959	53.1	JAGJTG010000006.1:425519
cap6	GCA_018804115.1_ASM1880411v1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	JAGJTG010000006.1:412571-441228	MAT1-1-3	other	1	3	47.0	48.649	47.0	JAGJTG010000006.1:415400
cap6	GCA_018804115.1_ASM1880411v1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	JAGJTG010000006.1:412571-441228	MAT1-2-1	HMG	1	4	61.2	28.889	61.2	JAGJTG010000006.1:434115
cap6	GCA_018804115.1_ASM1880411v1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MATyl	low	JAGJTG010000006.1:412571-441228	mata1	other	absent	0				
cap6	GCA_020064725.1_ASM2006472v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	JAGTWJ010000007.1:1520388-1535314	MAT1-1-1	other	absent	0				
cap6	GCA_020064725.1_ASM2006472v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	JAGTWJ010000007.1:1520388-1535314	MAT1-2-1	HMG	absent	3			60.1	JAGTWJ010000003.1:2545533
cap6	GCA_022577695.1_ASM2257769v1	Dipodascales	Wickerhamiella spandovensis	Ascomycota:MAT	withheld	JAKIRT010000005.1:305568-481875	MAT1-1-1	other	absent	0				
cap6	GCA_022577695.1_ASM2257769v1	Dipodascales	Wickerhamiella spandovensis	Ascomycota:MAT	withheld	JAKIRT010000005.1:305568-481875	MAT1-1-4	other	absent	0				
cap6	GCA_022577695.1_ASM2257769v1	Dipodascales	Wickerhamiella spandovensis	Ascomycota:MAT	withheld	JAKIRT010000005.1:305568-481875	MAT1-1-5	other	absent	0				
cap6	GCA_022813965.1_ASM2281396v1	Rhizocarpales	Toensbergia leucococca	Ascomycota:MAT	withheld	JALDZS010000198.1:2-14009	MAT1-1-3	other	absent	2			42.0	JALDZS010000002.1:349284
cap6	GCA_023628915.1_ASM2362891v1	Dipodascales	Trichomonascaceae sp. Y4102	Ascomycota:MAT	low	JAMAJT010000002.1:199621-243754	MAT1-1-1	other	absent	0				
cap6	GCA_023628915.1_ASM2362891v1	Dipodascales	Trichomonascaceae sp. Y4102	Ascomycota:MAT	low	JAMAJT010000002.1:199621-243754	MAT1-2-1	HMG	absent	2			74.7	JAMAJT010000006.1:145448
cap6	GCA_028984885.1_ASM2898488v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	JAQGDS010000001.1:1320279-1335205	MAT1-1-1	other	absent	0				
cap6	GCA_028984885.1_ASM2898488v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	JAQGDS010000001.1:1320279-1335205	MAT1-2-1	HMG	absent	3			60.1	JAQGDS010000006.1:111469
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Candida tunisiensis	Ascomycota:MATyl	low	JANJPH010000098.1:7586-32670	mata1	other	1	1	44.7	45.0	44.7	JANJPH010000098.1:29209
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Candida tunisiensis	Ascomycota:MAT	low	JANJPH010000098.1:7586-32670	MAT1-1-3	other	2	3	46.2	29.592	51.2	JANJPH010000390.1:3441
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Candida tunisiensis	Ascomycota:MATtub	low	JANJPH010000098.1:7586-32670	MAT1-2-1	HMG	3	3	45.8	34.091	56.6	JANJPH010000390.1:3417
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Candida tunisiensis	Ascomycota:MTL	low	JANJPH010000085.1:18359-33969	MTLA2	HMG	absent	1			43.1	JANJPH010000098.1:26884
cap6	GCA_030412595.1_ASM3041259v1	Amphisphaeriales	Pestalotiopsis neglecta	Ascomycota:MAT	withheld	JAQJCZ010000002.1:1784030-1805718	MAT1-2-1	HMG	absent	3			87.4	JAQJCZ010000007.1:4109391
cap6	GCA_030555625.1_ASM3055562v1	Dipodascales	Blastobotrys adeninivorans	Ascomycota:MAT	low	JANIWH010000001.1:578960-633908	MAT1-1-1	other	absent	0				
cap6	GCA_030555625.1_ASM3055562v1	Dipodascales	Blastobotrys adeninivorans	Ascomycota:MATtub	low	JANIWH010000001.1:578960-633908	MAT1-1-1	other	absent	0				
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Zygoascus biomembranicola	Ascomycota:MATyl	low	JAKTUV010000016.1:146587-180263	mata1	other	absent	0				
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Zygoascus biomembranicola	Ascomycota:MAT	withheld	JAKTUV010000016.1:146587-180263	MAT1-1-3	other	absent	2			67.8	JAKTUV010000010.1:434997
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Zygoascus biomembranicola	Ascomycota:MAT	withheld	JAKTUV010000016.1:146587-180263	MAT1-2-1	HMG	absent	2			87.4	JAKTUV010000010.1:434958
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Zygoascus biomembranicola	Ascomycota:MATtub	low	JAKTUV010000016.1:146587-180263	MAT1-2-1	HMG	absent	2			87.4	JAKTUV010000010.1:434958
cap6	GCA_030558825.1_ASM3055882v1	Dipodascales	Blastobotrys niveus	Ascomycota:MAT	low	JAKTQM010000007.1:4498-10793	MAT1-2-1	HMG	absent	2			80.5	JAKTQM010000185.1:4139
cap6	GCA_030558825.1_ASM3055882v1	Dipodascales	Blastobotrys niveus	Ascomycota:MATtub	low	JAKTQM010000007.1:4498-10793	MAT1-2-1	HMG	absent	2			80.5	JAKTQM010000185.1:4139
cap6	GCA_030560625.1_ASM3056062v1	Dipodascales	Yarrowia yakushimensis	Ascomycota:MAT	low	JAKTVP010000079.1:15781-27922	MAT1-1-1	other	absent	0				
cap6	GCA_030564325.1_ASM3056432v1	Dipodascales	Blastobotrys capitulatus	Ascomycota:MAT	low	JAJLUL010000195.1:4418-14859	MAT1-1-1	other	absent	0				
cap6	GCA_030564385.1_ASM3056438v1	Dipodascales	Blastobotrys robertii	Ascomycota:MAT	withheld	JAJLUQ010000034.1:26340-36447	MAT1-1-1	other	absent	0				
cap6	GCA_030564385.1_ASM3056438v1	Dipodascales	Blastobotrys robertii	Ascomycota:MATtub	low	JAJLUQ010000034.1:26340-36447	MAT1-1-1	other	absent	0				
cap6	GCA_030568195.1_ASM3056819v1	Lipomycetales	Dipodascopsis uninucleata	Ascomycota:MAT	low	JAJLTO010000001.1:187875-245169	MAT1-1-1	other	1	1	50.4	35.593	50.4	JAJLTO010000001.1:238855
cap6	GCA_030568195.1_ASM3056819v1	Lipomycetales	Dipodascopsis uninucleata	Ascomycota:MAT	low	JAJLTO010000001.1:187875-245169	MAT1-1-3	other	2	3	51.6	29.897	59.3	JAJLTO010000004.1:6831
cap6	GCA_030568195.1_ASM3056819v1	Lipomycetales	Dipodascopsis uninucleata	Ascomycota:MAT	low	JAJLTO010000001.1:187875-245169	MAT1-2-1	HMG	2	3	58.2	38.095	75.5	JAJLTO010000004.1:6771
cap6	GCA_030568255.1_ASM3056825v1	Lipomycetales	Lipomyces spencermartinsiae	Ascomycota:MATyl	low	JAJLTQ010000008.1:248464-277238	mata1	other	absent	0				
cap6	GCA_030568335.1_ASM3056833v1	Lipomycetales	Lipomyces tetrasporus	Ascomycota:MATyl	low	JAJLTR010000025.1:53438-84440	mata1	other	absent	0				
cap6	GCA_030572735.1_ASM3057273v1	Dipodascales	Sugiyamaella mastotermitis	Ascomycota:MAT	withheld	JAJMBN010000106.1:21004-46563	MAT1-1-1	other	absent	0				
cap6	GCA_030572735.1_ASM3057273v1	Dipodascales	Sugiyamaella mastotermitis	Ascomycota:MAT	withheld	JAJMBN010000106.1:21004-46563	MAT1-1-3	other	absent	2			59.3	JAJMBN010000014.1:59576
cap6	GCA_030573575.1_ASM3057357v1	Saccharomycodales	Hanseniaspora sp. CRUB 1602	Ascomycota:MTL	low	JAJMDL010000012.1:60204-103430	MTLA1	other	absent	2			40.8	JAJMDL010000004.1:174805
cap6	GCA_030574475.1_ASM3057447v1	Trigonopsidales	Trigonopsis californica	Ascomycota:MAT	low	JAJMFC010000045.1:4430-34412	MAT1-1-1	other	1	1	44.7	37.255	44.7	JAJMFC010000045.1:9376
cap6	GCA_030575175.1_ASM3057517v1	Dipodascales	Sugiyamaella novakii	Ascomycota:MAT	low	JAJMIH010000041.1:19452-80862	MAT1-2-1	HMG	absent	4			86.3	JAJMIH010000015.1:211311
cap6	GCA_030575175.1_ASM3057517v1	Dipodascales	Sugiyamaella novakii	Ascomycota:MATyl	low	JAJMIH010000041.1:19452-80862	mata2	HMG	absent	0				
cap6	GCA_030575195.1_ASM3057519v1	Dipodascales	Sugiyamaella boreocaroliniensis	Ascomycota:MATyl	withheld	JAJMIE010000008.1:135154-149841	mata1	other	absent	1			43.1	JAJMIE010000024.1:224320
cap6	GCA_030583505.1_ASM3058350v1	Dipodascales	Sugiyamaella castrensis	Ascomycota:MAT	withheld	JAJMIF010000016.1:96725-123125	MAT1-2-1	HMG	absent	3			81.3	JAJMIF010000054.1:38719
cap6	GCA_030585005.1_ASM3058500v1	Dipodascales	Yarrowia brassicae	Ascomycota:MAT	low	JAJMCE010000186.1:2943-10962	MAT1-1-1	other	absent	0				
cap6	GCA_031125595.1_ASM3112559v1	Ascoideales	Saccharomycopsis capsularis	Ascomycota:MAT	low	JASTUX010000026.1:70693-116290	MAT1-1-1	other	1	1	42.4	32.941	42.4	JASTUX010000026.1:74456
cap6	GCA_031125765.1_ASM3112576v1	Ascoideales	Saccharomycopsis amapae	Ascomycota:MAT	withheld	JASTVC010000035.1:10715-88744	MAT1-1-1	other	absent	0				
cap6	GCA_031125765.1_ASM3112576v1	Ascoideales	Saccharomycopsis amapae	Ascomycota:MAT	withheld	JASTVC010000035.1:10715-88744	MAT1-1-2	other	absent	0				
cap6	GCA_031142775.1_ASM3114277v1	Xylariales	Microdochium paspali	Ascomycota:MAT	low	JAVBIV010000002.1:1313320-1323659	MAT1-1-1	other	absent	0				
cap6	GCA_031142775.1_ASM3114277v1	Xylariales	Microdochium paspali	Ascomycota:MAT	low	JAVBIV010000002.1:1313320-1323659	MAT1-1-3	other	absent	1			55.8	JAVBIV010000008.1:1276679
cap6	GCA_031142775.1_ASM3114277v1	Xylariales	Microdochium paspali	Ascomycota:MAT	low	JAVBIV010000002.1:1313320-1323659	MAT1-2-1	HMG	2	3	46.6	24.427	81.3	JAVBIV010000008.1:1276673
cap6	GCA_031310005.1_ASM3131000v1	Orbiliales	Dactylellina haptotyla	Ascomycota:MAT	withheld	CM062383.1:1296513-1304918	MAT1-2-1	HMG	absent	2			57.0	CM062386.1:2421022
cap6	GCA_036872635.1_ASM3687263v1	Orbiliales	Orbilia brochopaga	Ascomycota:MAT	withheld	JAVHNQ010000003.1:2110495-2121978	MAT1-2-1	HMG	absent	3			54.3	JAVHNQ010000001.1:2231718
cap6	GCA_036872755.1_ASM3687275v1	Orbiliales	Orbilia blumenaviensis	Ascomycota:MAT	withheld	JAVHNS010000010.1:358519-372013	MAT1-2-10	HMG	absent	0				
cap6	GCA_036971245.1_ASM3697124v1	Orbiliales	Arthrobotrys sphaeroides	Ascomycota:MAT	withheld	JAJTTW010000008.1:1380115-1401256	MAT1-1-2	other	absent	0				
cap6	GCA_036971255.1_ASM3697125v1	Orbiliales	Orbilia blumenaviensis	Ascomycota:MAT	withheld	JAJTTX010000027.1:9396-22700	MAT1-2-10	HMG	absent	0				
cap6	GCA_036971285.1_ASM3697128v1	Orbiliales	Dactylellina cionopaga	Ascomycota:MAT	withheld	JAJTTZ010000015.1:1452914-1471653	MAT1-1-1	other	absent	0				
cap6	GCA_036971285.1_ASM3697128v1	Orbiliales	Dactylellina cionopaga	Ascomycota:MAT	withheld	JAJTTZ010000015.1:1452914-1471653	MAT1-2-1	HMG	absent	2			59.7	JAJTTZ010000014.1:518655
cap6	GCA_036971295.1_ASM3697129v1	Orbiliales	Dactylellina cionopaga	Ascomycota:MAT	low	JAJTTY010000005.1:340799-358436	MAT1-2-1	HMG	absent	2			57.8	JAJTTY010000021.1:162074
cap6	GCA_036971325.1_ASM3697132v1	Orbiliales	Dactylellina cionopaga	Ascomycota:MAT	low	JAJTUA010000003.1:289601-300427	MAT1-1-1	other	absent	0				
cap6	GCA_036971385.1_ASM3697138v1	Orbiliales	Dactylellina parvicollis	Ascomycota:MAT	withheld	JAJTUD010000010.1:284030-293016	MAT1-1-1	other	absent	0				
cap6	GCA_036971405.1_ASM3697140v1	Orbiliales	Orbilia quercus	Ascomycota:MAT	withheld	JAJTUE010000010.1:321015-329618	MAT1-2-1	HMG	absent	3			58.2	JAJTUE010000003.1:1374252
cap6	GCA_036971435.1_ASM3697143v1	Orbiliales	Dactylellina sp. tibetensis	Ascomycota:MAT	withheld	JAKDFA010000013.1:1228770-1280614	MAT1-2-1	HMG	absent	3			59.3	JAKDFA010000014.1:509365
cap6	GCA_036971535.1_ASM3697153v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	JAJTUG010000022.1:341859-356785	MAT1-1-1	other	absent	0				
cap6	GCA_036971535.1_ASM3697153v1	Orbiliales	Drechslerella dactyloides	Ascomycota:MAT	withheld	JAJTUG010000022.1:341859-356785	MAT1-2-1	HMG	absent	3			60.1	JAJTUG010000003.1:2330088
cap6	GCA_036971555.1_ASM3697155v1	Orbiliales	Drechslerella coelobrocha	Ascomycota:MAT	withheld	JAJTUH010000011.1:371954-398488	MAT1-1-1	other	absent	0				
cap6	GCA_036971555.1_ASM3697155v1	Orbiliales	Drechslerella coelobrocha	Ascomycota:MAT	withheld	JAJTUH010000011.1:371954-398488	MAT1-1-2	other	absent	0				
cap6	GCA_036971575.1_ASM3697157v1	Orbiliales	Arthrobotrys conoides	Ascomycota:MAT	low	JAJTUI010000009.1:278087-281577	MAT1-1-1	other	absent	0				
cap6	GCA_036971655.1_TWF281	Orbiliales	Arthrobotrys megalospora	Ascomycota:MAT	withheld	JAVHJN010000012.1:300759-312358	MAT1-2-1	HMG	absent	2			58.9	JAVHJN010000005.1:101003
cap6	GCA_037042115.1_ASM3704211v1	Dipodascales	Wickerhamiella sp. P97-06A	Ascomycota:MAT	low	JAXQJU010000475.1:4361-6820	MAT1-1-1	other	1	1	39.3	34.426	39.3	JAXQJU010000475.1:6354
cap6	GCA_038497395.1_Lipokono1	Lipomycetales	Lipomyces kononenkoae	Ascomycota:MATyl	low	MU971340.1:257291-350779	mata1	other	absent	0				
cap6	GCA_038497425.1_Liptetra1	Lipomycetales	Lipomyces tetrasporus	Ascomycota:MATyl	low	MU968990.1:215332-244087	mata1	other	absent	0				
cap6	GCA_038497925.1_Lst7851_1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	MU971828.1:274502-299933	MAT1-1-1	other	1	1	52.0	31.959	52.0	MU971828.1:287382
cap6	GCA_038497925.1_Lst7851_1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	MU971828.1:274502-299933	MAT1-1-3	other	1	3	47.0	48.649	47.0	MU971828.1:297024
cap6	GCA_038497925.1_Lst7851_1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MAT	low	MU971828.1:274502-299933	MAT1-2-1	HMG	1	4	62.8	28.889	62.8	MU971828.1:279021
cap6	GCA_038497925.1_Lst7851_1	Lipomycetales	Lipomyces starkeyi	Ascomycota:MATyl	low	MU971828.1:274502-299933	mata1	other	absent	0				
cap6	GCA_047671915.1_ASM4767191v1	Orbiliales	Hyalorbilia sp. HsImV27	Ascomycota:MAT	low	JBAMKL010000499.1:3799-16349	MAT1-1-1	other	absent	0				
cap6	GCA_047671935.1_ASM4767193v1	Orbiliales	Hyalorbilia sp. HsImV25	Ascomycota:MAT	low	JBAMKM010000545.1:544-13554	MAT1-2-1	HMG	absent	3			60.5	JBAMKM010000567.1:13595
cap6	GCA_047671935.1_ASM4767193v1	Orbiliales	Hyalorbilia sp. HsImV25	Ascomycota:MATtub	low	JBAMKM010000545.1:990-13439	MAT1-2-1	HMG	absent	3			60.5	JBAMKM010000567.1:13595
cap6	GCA_047716655.1_ASM4771665v1	Orbiliales	Hyalorbilia oviparasitica	Ascomycota:MAT	withheld	JBAMJN010000737.1:13443-20268	MAT1-2-1	HMG	absent	3			60.5	JBAMJN010000807.1:6592
cap6	GCA_057557895.1_ASM5755789v1	Dipodascales	Sugiyamaella sp. LJX2-8	Ascomycota:MATyl	low	JBWXUM010000152.1:19788-26837	mata1	other	1	1	38.5	39.024	38.5	JBWXUM010000152.1:23433
cap6	GCA_060307455.1_ASM6030745v1	Xylariales	Xylariales sp. XT01	Ascomycota:MAT	low	JCBLTT010000052.1:10-12206	MAT1-1-3	other	absent	3			55.5	JCBLTT010000025.1:18874
cap6	GCA_060307455.1_ASM6030745v1	Xylariales	Xylariales sp. XT01	Ascomycota:MAT	low	JCBLTT010000052.1:10-12206	MAT1-2-1	HMG	absent	3			79.0	JCBLTT010000025.1:18871
cap6	GCA_900518985.1_YAAL0	Dipodascales	Yarrowia alimentaria	Ascomycota:MAT	withheld	ULGN01000006.1:292382-309793	MAT1-1-1	other	absent	0				
cap6	GCA_900518985.1_YAAL0	Dipodascales	Yarrowia alimentaria	Ascomycota:MAT	withheld	ULGN01000006.1:292382-309793	MAT1-1-5	other	absent	0				
cap6	GCA_900518985.1_YAAL0	Dipodascales	Yarrowia alimentaria	Ascomycota:MAT	withheld	ULGN01000006.1:292382-309793	MAT1-2-4	HMG	absent	0				
cap6	GCA_900518985.1_YAAL0	Dipodascales	Yarrowia alimentaria	Ascomycota:MATtub	low	ULGN01000006.1:292382-309793	MAT1-2-1	HMG	absent	2			79.3	ULGN01000003.1:1092105
cap6	GCA_900519055.1_YAGA0	Dipodascales	Yarrowia galli	Ascomycota:MAT	low	ULGS01000006.1:145622-153691	MAT1-1-1	other	absent	0				
cap6	GCA_900519055.1_YAGA0	Dipodascales	Yarrowia galli	Ascomycota:MATtub	low	ULGS01000006.1:145622-153691	MAT1-1-1	other	absent	0				
cap6	GCA_964254685.1_public_SRR1531517_concoct_bin.16	Pertusariales	Dibaeis baeomyces	Ascomycota:MAT	low	CAXUTT010000267.1:5504-18172	MAT1-1-1	other	1	1	81.6	31.2	81.6	CAXUTT010000267.1:12436
cap6	GCF_000441935.1_MHA_v2	Orbiliales	Dactylellina haptotyla	Ascomycota:MAT	withheld	NW_011644707.1:27407-35833	MAT1-2-1	HMG	absent	3			57.4	NW_011644365.1:380921
cap6	GCF_029532465.1_Liptet1	Lipomycetales	Lipomyces tetrasporus	Ascomycota:MATyl	low	NW_026611597.1:1158352-1187108	mata1	other	absent	0				
Mucoromycota	GCA_000587855.1_B50	Mucorales	Mucor irregularis	Mucoromycota:MAT	withheld	KK076501.1:473260-520603	sexM	HMG	1	7	65.5	31.613	65.5	KK076501.1:494219
Mucoromycota	GCA_000587855.1_B50	Mucorales	Mucor irregularis	Mucoromycota:MAT	withheld	KK076501.1:473260-520603	sexP	HMG	5	10	44.3	26.087	56.6	KK076440.1:18559
Mucoromycota	GCA_000697415.1_UmbIsaB7317-1.0	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	JNEQ01000056.1:749075-753439	sexM	HMG	absent	3			55.5	JNEQ01000036.1:1320636
Mucoromycota	GCA_000697415.1_UmbIsaB7317-1.0	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	JNEQ01000056.1:749075-753439	sexP	HMG	1	11	62.4	26.154	62.4	JNEQ01000056.1:749174
Mucoromycota	GCA_000697435.1_RhiVarB7584-1.0	Mucorales	Mucor irregularis	Mucoromycota:MAT	withheld	JNES01000944.1:209980-256000	sexM	HMG	1	7	65.5	31.613	65.5	JNES01000944.1:230458
Mucoromycota	GCA_000697435.1_RhiVarB7584-1.0	Mucorales	Mucor irregularis	Mucoromycota:MAT	withheld	JNES01000944.1:209980-256000	sexP	HMG	5	9	44.3	26.087	56.6	JNES01000953.1:221518
Mucoromycota	GCA_016758895.1_ASM1675889v1	Umbelopsidales	Umbelopsis vinacea	Mucoromycota:MAT	low	JAEPRA010000016.1:141223-158571	sexM	HMG	4	5	44.7	36.232	60.1	JAEPRA010000006.1:1005003
Mucoromycota	GCA_016758895.1_ASM1675889v1	Umbelopsidales	Umbelopsis vinacea	Mucoromycota:MAT	low	JAEPRA010000016.1:141223-158571	sexP	HMG	absent	7			52.0	JAEPRA010000006.1:1005000
Mucoromycota	GCA_016758905.1_ASM1675890v1	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	JAEPQZ010000017.1:104013-119940	sexP	HMG	absent	10			58.9	JAEPQZ010000017.1:416184
Mucoromycota	GCA_016758905.1_ASM1675890v1	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	JAEPQZ010000017.1:412287-416732	sexM	HMG	absent	3			52.0	JAEPQZ010000010.1:891048
Mucoromycota	GCA_016758905.1_ASM1675890v1	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	JAEPQZ010000017.1:412287-416732	sexP	HMG	1	10	58.9	25.926	58.9	JAEPQZ010000017.1:416184
Mucoromycota	GCA_027595865.1_Umbelopsis_isabellina_MPG-14A_reass_enz	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	JANJFK010000028.1:163721-168087	sexM	HMG	absent	3			55.1	JANJFK010000029.1:127024
