asmid	method	bioproject	contigs	call
GCA_046253685.1_ASM4625368v1	SPAdes v. 3.15.4	PRJNA1164417	220	A
GCA_046253635.1_ASM4625363v1	SPAdes v. 3.15.4	PRJNA1164417	213	A
GCA_046253535.1_ASM4625353v1	SPAdes v. 3.15.4	PRJNA1164417	212	A
GCA_046253555.1_ASM4625355v1	SPAdes v. 3.15.4	PRJNA1164417	186	A
GCA_046253575.1_ASM4625357v1	SPAdes v. 3.15.4	PRJNA1164417	209	A
GCA_046253505.1_ASM4625350v1	SPAdes v. 3.15.4	PRJNA1164417	203	A
GCA_046253485.1_ASM4625348v1	SPAdes v. 3.15.4	PRJNA1164417	262	A
GCA_046253445.1_ASM4625344v1	SPAdes v. 3.15.4	PRJNA1164417	206	A
GCA_059629965.1_MRSN128594	Shovill v. 1.0.9	PRJNA1473289	66	A
GCA_046253425.1_ASM4625342v1	SPAdes v. 3.15.4	PRJNA1164417	209	A
GCA_046253375.1_ASM4625337v1	SPAdes v. 3.15.4	PRJNA1164417	155	A
GCA_046253335.1_ASM4625333v1	SPAdes v. 3.15.4	PRJNA1164417	217	A
GCA_046253355.1_ASM4625335v1	SPAdes v. 3.15.4	PRJNA1164417	213	A
GCA_059629975.1_MRSN131378	Shovill v. 1.0.9	PRJNA1473289	64	alpha
GCA_046253305.1_ASM4625330v1	SPAdes v. 3.15.4	PRJNA1164417	345	A
GCA_059629945.1_MRSN132716	Shovill v. 1.0.9	PRJNA1473289	71	alpha
GCA_046253275.1_ASM4625327v1	SPAdes v. 3.15.4	PRJNA1164417	210	A
GCA_046253235.1_ASM4625323v1	SPAdes v. 3.15.4	PRJNA1164417	196	A
GCA_059629915.1_MRSN134489	Shovill v. 1.0.9	PRJNA1473289	62	alpha
GCA_046253205.1_ASM4625320v1	SPAdes v. 3.15.4	PRJNA1164417	244	A
GCA_046253185.1_ASM4625318v1	SPAdes v. 3.15.4	PRJNA1164417	217	A
GCA_046253105.1_ASM4625310v1	SPAdes v. 3.15.4	PRJNA1164417	194	A
GCA_059629905.1_MRSN137110	Shovill v. 1.0.9	PRJNA1473289	45	A
GCA_046253035.1_ASM4625303v1	SPAdes v. 3.15.4	PRJNA1164417	214	A
GCA_046253075.1_ASM4625307v1	SPAdes v. 3.15.4	PRJNA1164417	220	A
GCA_059629885.1_MRSN139148	Shovill v. 1.0.9	PRJNA1473289	69	A
GCA_046253055.1_ASM4625305v1	SPAdes v. 3.15.4	PRJNA1164417	157	A
GCA_046253155.1_ASM4625315v1	SPAdes v. 3.15.4	PRJNA1164417	195	A
GCA_046252945.1_ASM4625294v1	SPAdes v. 3.15.4	PRJNA1164417	219	A
GCA_059629865.1_MRSN141549	Shovill v. 1.0.9	PRJNA1473289	50	alpha
GCA_046252965.1_ASM4625296v1	SPAdes v. 3.15.4	PRJNA1164417	212	A
GCA_059629845.1_MRSN142422	Shovill v. 1.0.9	PRJNA1473289	40	alpha
GCA_059629825.1_MRSN142423	Shovill v. 1.0.9	PRJNA1473289	39	alpha
GCA_046252925.1_ASM4625292v1	SPAdes v. 3.15.4	PRJNA1164417	225	A
GCA_059629805.1_MRSN143014	Shovill v. 1.0.9	PRJNA1473289	54	alpha
GCA_046252885.1_ASM4625288v1	SPAdes v. 3.15.4	PRJNA1164417	227	A
GCA_059629785.1_MRSN144967	Shovill v. 1.0.9	PRJNA1473289	38	alpha
GCA_046252905.1_ASM4625290v1	SPAdes v. 3.15.4	PRJNA1164417	212	A
GCA_059629765.1_MRSN145048	Shovill v. 1.0.9	PRJNA1473289	52	A
GCA_059629745.1_MRSN146233	Shovill v. 1.0.9	PRJNA1473289	59	alpha
GCA_059629725.1_MRSN146587	Shovill v. 1.0.9	PRJNA1473289	48	alpha
GCA_059629695.1_MRSN148495	Shovill v. 1.0.9	PRJNA1473289	60	alpha
GCA_059629685.1_MRSN148841	Shovill v. 1.0.9	PRJNA1473289	61	alpha
GCA_059629665.1_MRSN148918	Shovill v. 1.0.9	PRJNA1473289	62	alpha
GCA_027563775.1_ASM2756377v1	BWA-MEM v. 0.7.17	PRJNA865124	416	uncalled
GCA_046252855.1_ASM4625285v1	SPAdes v. 3.15.4	PRJNA1164417	182	A
GCA_059629645.1_MRSN150286	Shovill v. 1.0.9	PRJNA1473289	52	A
GCA_059629625.1_MRSN151845	Shovill v. 1.0.9	PRJNA1473289	58	alpha
GCA_059629605.1_MRSN151970	Shovill v. 1.0.9	PRJNA1473289	63	A
GCA_059629585.1_MRSN152418	Shovill v. 1.0.9	PRJNA1473289	57	alpha
GCA_059629565.1_MRSN152419	Shovill v. 1.0.9	PRJNA1473289	52	alpha
GCA_059629545.1_MRSN154513	Shovill v. 1.0.9	PRJNA1473289	68	alpha
GCA_059629525.1_MRSN154514	Shovill v. 1.0.9	PRJNA1473289	61	alpha
GCA_059629505.1_MRSN154705	Shovill v. 1.0.9	PRJNA1473289	39	alpha
GCA_059629485.1_MRSN158004	Shovill v. 1.0.9	PRJNA1473289	83	alpha
GCA_059629465.1_MRSN158005	Shovill v. 1.0.9	PRJNA1473289	64	alpha
GCA_059629445.1_MRSN158006	Shovill v. 1.0.9	PRJNA1473289	74	alpha
GCA_046252755.1_ASM4625275v1	SPAdes v. 3.15.4	PRJNA1164417	247	A
GCA_046252815.1_ASM4625281v1	SPAdes v. 3.15.4	PRJNA1164417	191	A
GCA_046252795.1_ASM4625279v1	SPAdes v. 3.15.4	PRJNA1164417	161	A
GCA_046252735.1_ASM4625273v1	SPAdes v. 3.15.4	PRJNA1164417	153	A
GCA_046252705.1_ASM4625270v1	SPAdes v. 3.15.4	PRJNA1164417	172	A
GCA_046252625.1_ASM4625262v1	SPAdes v. 3.15.4	PRJNA1164417	165	A
GCA_027563635.1_ASM2756363v1	BWA-MEM v. 0.7.17	PRJNA865124	96	A
GCA_034640365.1_ENCB_Caur	Velvet v. 1.2.10	PRJNA1013603	2547	A
GCA_025430785.1_ASM2543078v1	CLC Genomics Workbench v. 21.03	PRJNA640677	432	A
GCA_025430635.1_ASM2543063v1	CLC Genomics Workbench v. 21.03	PRJNA640677	451	A
GCA_025430405.1_ASM2543040v1	CLC Genomics Workbench v. 21.03	PRJNA640677	367	A
GCA_025430385.1_ASM2543038v1	CLC Genomics Workbench v. 21.03	PRJNA640677	364	A
GCA_025430355.1_ASM2543035v1	CLC Genomics Workbench v. 21.03	PRJNA640677	365	A
GCA_025430335.1_ASM2543033v1	CLC Genomics Workbench v. 21.03	PRJNA640677	342	A
GCA_025430195.1_ASM2543019v1	CLC Genomics Workbench v. 21.03	PRJNA640677	372	A
GCA_025429895.1_ASM2542989v1	CLC Genomics Workbench v. 21.03	PRJNA640677	334	A
GCA_025429885.1_ASM2542988v1	CLC Genomics Workbench v. 21.03	PRJNA640677	416	A
GCA_025429755.1_ASM2542975v1	CLC Genomics Workbench v. 21.03	PRJNA640677	353	A
GCA_025429745.1_ASM2542974v1	CLC Genomics Workbench v. 21.03	PRJNA640677	332	A
GCA_025429735.1_ASM2542973v1	CLC Genomics Workbench v. 21.03	PRJNA640677	293	A
GCA_025429595.1_ASM2542959v1	CLC Genomics Workbench v. 21.03	PRJNA640677	373	A
GCA_025429525.1_ASM2542952v1	CLC Genomics Workbench v. 21.03	PRJNA640677	249	A
GCA_046252645.1_ASM4625264v1	SPAdes v. 3.15.4	PRJNA1164417	154	A
GCA_046252585.1_ASM4625258v1	SPAdes v. 3.15.4	PRJNA1164417	153	A
GCA_027563725.1_ASM2756372v1	BWA-MEM v. 0.7.17	PRJNA865124	249	uncalled
GCA_027563715.1_ASM2756371v1	WA-MEM v. 0.7.17	PRJNA865124	83	A
GCA_027563645.1_ASM2756364v1	BWA-MEM v. 0.7.17	PRJNA865124	83	A
GCA_046252555.1_ASM4625255v1	SPAdes v. 3.15.4	PRJNA1164417	165	A
GCA_008729175.1_ASM872917v1	MaSuRCA v. 2018	PRJNA485145	1467	A
GCA_046252605.1_ASM4625260v1	SPAdes v. 3.15.4	PRJNA1164417	152	A
GCA_046252475.1_ASM4625247v1	SPAdes v. 3.15.4	PRJNA1164417	177	A
GCA_046252485.1_ASM4625248v1	SPAdes v. 3.15.4	PRJNA1164417	158	A
GCA_046252405.1_ASM4625240v1	SPAdes v. 3.15.4	PRJNA1164417	153	A
GCA_053339175.1_ASM5333917v1	Shovill v. 1.1.0	PRJNA1279258	809	alpha
GCA_046252425.1_ASM4625242v1	SPAdes v. 3.15.4	PRJNA1164417	179	A
GCA_046252445.1_ASM4625244v1	SPAdes v. 3.15.4	PRJNA1164417	9	uncalled
GCA_027563705.1_ASM2756370v1	BWA-MEM v. 0.7.17	PRJNA865124	116	A
GCA_046252375.1_ASM4625237v1	SPAdes v. 3.15.4	PRJNA1164417	165	A
GCA_008729165.1_ASM872916v1	MaSuRCA v. 2018	PRJNA485239	1599	A
GCA_046252325.1_ASM4625232v1	SPAdes v. 3.15.4	PRJNA1164417	166	A
GCA_046252305.1_ASM4625230v1	SPAdes v. 3.15.4	PRJNA1164417	165	A
GCA_046252285.1_ASM4625228v1	SPAdes v. 3.15.4	PRJNA1164417	162	A
GCA_046252225.1_ASM4625222v1	SPAdes v. 3.15.4	PRJNA1164417	158	A
GCA_046252255.1_ASM4625225v1	SPAdes v. 3.15.4	PRJNA1164417	193	A
GCA_046252165.1_ASM4625216v1	SPAdes v. 3.15.4	PRJNA1164417	175	A
GCA_046252185.1_ASM4625218v1	SPAdes v. 3.15.4	PRJNA1164417	157	A
GCA_046252135.1_ASM4625213v1	SPAdes v. 3.15.4	PRJNA1164417	170	A
GCA_046252075.1_ASM4625207v1	SPAdes v. 3.15.4	PRJNA1164417	163	A
GCA_008729205.1_ASM872920v1	MaSuRCA v. 2018	PRJNA485259	1233	A
GCA_046252095.1_ASM4625209v1	SPAdes v. 3.15.4	PRJNA1164417	167	A
GCA_046252035.1_ASM4625203v1	SPAdes v. 3.15.4	PRJNA1164417	228	A
GCA_046251975.1_ASM4625197v1	SPAdes v. 3.15.4	PRJNA1164417	177	A
GCA_046252015.1_ASM4625201v1	SPAdes v. 3.15.4	PRJNA1164417	173	A
GCA_008729195.1_ASM872919v1	MaSuRCA v. Jun-2018	PRJNA485409	1474	A
GCA_008729255.1_ASM872925v1	MaSuRCA v. August-2018	PRJNA485414	1517	A
GCA_008729275.1_ASM872927v1	MaSuRCA v. August-2018	PRJNA485415	1382	A
GCA_046251955.1_ASM4625195v1	SPAdes v. 3.15.4	PRJNA1164417	173	A
GCA_046251925.1_ASM4625192v1	SPAdes v. 3.15.4	PRJNA1164417	164	A
GCA_046251895.1_ASM4625189v1	SPAdes v. 3.15.4	PRJNA1164417	163	A
GCA_046251845.1_ASM4625184v1	SPAdes v. 3.15.4	PRJNA1164417	180	A
GCA_046251745.1_ASM4625174v1	SPAdes v. 3.15.4	PRJNA1164417	152	A
GCA_046251815.1_ASM4625181v1	SPAdes v. 3.15.4	PRJNA1164417	166	A
GCA_046251775.1_ASM4625177v1	SPAdes v. 3.15.4	PRJNA1164417	1244	A
GCA_046251795.1_ASM4625179v1	SPAdes v. 3.15.4	PRJNA1164417	158	A
GCA_059629425.1_MRSN455051	Shovill v. 1.0.9	PRJNA1473289	60	A
GCA_059629395.1_MRSN455060	Shovill v. 1.0.9	PRJNA1473289	50	A
GCA_059629385.1_MRSN455079	Shovill v. 1.0.9	PRJNA1473289	56	A
GCA_059629365.1_MRSN456999	Shovill v. 1.0.9	PRJNA1473289	62	A
GCA_046251635.1_ASM4625163v1	SPAdes v. 3.15.4	PRJNA1164417	160	A
GCA_046251675.1_ASM4625167v1	SPAdes v. 3.15.4	PRJNA1164417	167	A
GCA_031463115.1_ASM3146311v1	Raven v. 1.1.10	PRJNA1008858	7	A
GCA_046251615.1_ASM4625161v1	SPAdes v. 3.15.4	PRJNA1164417	164	A
GCA_046251595.1_ASM4625159v1	SPAdes v. 3.15.4	PRJNA1164417	166	A
GCA_046251655.1_ASM4625165v1	SPAdes v. 3.15.4	PRJNA1164417	168	A
GCA_046251535.1_ASM4625153v1	SPAdes v. 3.15.4	PRJNA1164417	214	A
GCA_046251555.1_ASM4625155v1	SPAdes v. 3.15.4	PRJNA1164417	183	A
GCA_046251465.1_ASM4625146v1	SPAdes v. 3.15.4	PRJNA1164417	255	A
GCA_046251485.1_ASM4625148v1	SPAdes v. 3.15.4	PRJNA1164417	228	A
GCA_046251445.1_ASM4625144v1	SPAdes v. 3.15.4	PRJNA1164417	248	A
GCA_046251355.1_ASM4625135v1	SPAdes v. 3.15.4	PRJNA1164417	204	A
GCA_046251415.1_ASM4625141v1	SPAdes v. 3.15.4	PRJNA1164417	221	A
GCA_046251385.1_ASM4625138v1	SPAdes v. 3.15.4	PRJNA1164417	223	A
GCA_046251315.1_ASM4625131v1	SPAdes v. 3.15.4	PRJNA1164417	174	A
GCA_046251295.1_ASM4625129v1	SPAdes v. 3.15.4	PRJNA1164417	263	A
GCA_046251255.1_ASM4625125v1	SPAdes v. 3.15.4	PRJNA1164417	270	A
GCA_046251195.1_ASM4625119v1	SPAdes v. 3.15.4	PRJNA1164417	269	A
GCA_046251185.1_ASM4625118v1	SPAdes v. 3.15.4	PRJNA1164417	532	A
GCA_046251155.1_ASM4625115v1	SPAdes v. 3.15.4	PRJNA1164417	201	A
GCA_046251145.1_ASM4625114v1	SPAdes v. 3.15.4	PRJNA1164417	814	A
GCA_046251105.1_ASM4625110v1	SPAdes v. 3.15.4	PRJNA1164417	274	A
GCF_001189475.1_ASM118947v1	Newbler v. 2.8; SSPACE-STANDARD v. 3.0	PRJNA267757	759	A
GCA_046251065.1_ASM4625106v1	SPAdes v. 3.15.4	PRJNA1164417	240	A
GCA_046251035.1_ASM4625103v1	SPAdes v. 3.15.4	PRJNA1164417	264	A
GCA_046251005.1_ASM4625100v1	SPAdes v. 3.15.4	PRJNA1164417	171	A
GCA_046250995.1_ASM4625099v1	SPAdes v. 3.15.4	PRJNA1164417	281	A
GCA_046250895.1_ASM4625089v1	SPAdes v. 3.15.4	PRJNA1164417	252	A
GCA_046250915.1_ASM4625091v1	SPAdes v. 3.15.4	PRJNA1164417	285	A
GCA_046250905.1_ASM4625090v1	SPAdes v. 3.15.4	PRJNA1164417	226	A
GCA_046250865.1_ASM4625086v1	SPAdes v. 3.15.4	PRJNA1164417	250	A
GCA_046250845.1_ASM4625084v1	SPAdes v. 3.15.4	PRJNA1164417	237	A
GCA_046250815.1_ASM4625081v1	SPAdes v. 3.15.4	PRJNA1164417	198	A
GCA_046250725.1_ASM4625072v1	SPAdes v. 3.15.4	PRJNA1164417	226	A
GCA_046250715.1_ASM4625071v1	SPAdes v. 3.15.4	PRJNA1164417	218	A
GCA_046250735.1_ASM4625073v1	SPAdes v. 3.15.4	PRJNA1164417	174	A
GCA_046250695.1_ASM4625069v1	SPAdes v. 3.15.4	PRJNA1164417	221	A
GCA_046250655.1_ASM4625065v1	SPAdes v. 3.15.4	PRJNA1164417	328	A
GCA_046250535.1_ASM4625053v1	SPAdes v. 3.15.4	PRJNA1164417	341	A
GCA_046250555.1_ASM4625055v1	SPAdes v. 3.15.4	PRJNA1164417	210	A
GCA_046250565.1_ASM4625056v1	SPAdes v. 3.15.4	PRJNA1164417	655	A
GCA_046250585.1_ASM4625058v1	SPAdes v. 3.15.4	PRJNA1164417	206	A
GCA_046250515.1_ASM4625051v1	SPAdes v. 3.15.4	PRJNA1164417	547	A
GCA_051020605.2_8H_UPCH	SPAdes v. 3.15.5	PRJNA1264495	99	A
GCA_046250395.1_ASM4625039v1	SPAdes v. 3.15.4	PRJNA1164417	166	A
GCA_046250425.1_ASM4625042v1	SPAdes v. 3.15.4	PRJNA1164417	266	A
GCA_046250385.1_ASM4625038v1	SPAdes v. 3.15.4	PRJNA1164417	572	A
GCA_046250415.1_ASM4625041v1	SPAdes v. 3.15.4	PRJNA1164417	187	A
GCA_046250365.1_ASM4625036v1	SPAdes v. 3.15.4	PRJNA1164417	197	A
GCA_046250265.1_ASM4625026v1	SPAdes v. 3.15.4	PRJNA1164417	273	A
GCA_046250215.1_ASM4625021v1	SPAdes v. 3.15.4	PRJNA1164417	287	A
GCA_046250245.1_ASM4625024v1	SPAdes v. 3.15.4	PRJNA1164417	366	A
GCA_046250235.1_ASM4625023v1	SPAdes v. 3.15.4	PRJNA1164417	393	A
GCA_046250225.1_ASM4625022v1	SPAdes v. 3.15.4	PRJNA1164417	225	A
GCA_014217455.1_ASM1421745v1	SMRT v. 2.3	PRJNA549344	7	alpha
GCA_049638695.1_ASM4963869v1	Geneious Prime v. 2024.0.1	PRJNA1231771	31	A
GCA_049636185.1_ASM4963618v1	Geneious Prime v. 2024.0.1	PRJNA1231771	154	A
GCA_049636085.1_ASM4963608v1	Geneious Prime v. 2024.0.1	PRJNA1231771	87	A
GCA_047655325.1_ASM4765532v1	Canu v. 2.2	PRJNA672955	7	A
GCA_053008025.1_ASM5300802v1	Flye v. 2.9.2	PRJNA1002224	7	alpha
GCA_053008035.1_ASM5300803v1	Flye v. 2.9.2	PRJNA1002224	7	A
GCA_049636765.1_ASM4963676v1	Geneious Prime v. 2024.0.1	PRJNA1231771	9	A
GCA_049636405.1_ASM4963640v1	Geneious Prime v. 2024.0.1	PRJNA1231771	58	alpha
GCA_049636745.1_ASM4963674v1	Geneious Prime v. 2024.0.1	PRJNA1231771	271	A
GCA_031359945.2_ASM3135994v2	Flye v. 2.9.2	PRJNA976115	7	A
GCA_016772135.1_ASM1677213v1	Canu v. 1.6	PRJNA328792	7	A
GCF_003013715.1_ASM301371v2	Flye v. 2.4.2	PRJNA328792	7	alpha
GCF_002775015.1_Cand_auris_B11221_V1	HGAP v. 3	PRJNA328792	23	alpha
GCA_003014415.1_Cand_auris_B11243	Spades v. 3.1.1	PRJNA328792	282	A
GCA_031357835.2_ASM3135783v2	Flye v. 2.9.2	PRJNA976506	7	A
GCA_008275145.1_ASM827514v1	Canu v. 1.5	PRJNA328792	7	A
GCA_016495685.1_ASM1649568v1	Canu v. 1.6	PRJNA328792	7	alpha
GCA_047655445.1_ASM4765544v1	Canu v. 2.2	PRJNA672955	7	A
GCA_016772215.1_ASM1677221v1	Canu v. 1.6	PRJNA328792	7	alpha
GCA_016495645.1_ASM1649564v1	Canu v. 1.6	PRJNA328792	7	alpha
GCA_016772155.1_ASM1677215v1	Canu v. 1.6	PRJNA328792	7	A
GCA_016772195.1_ASM1677219v1	Canu v. 1.6	PRJNA328792	7	alpha
GCA_016495665.1_ASM1649566v1	Canu v. 1.6	PRJNA328792	7	alpha
GCA_016772235.1_ASM1677223v1	Canu v. 1.6	PRJNA328792	7	A
GCA_016772175.1_ASM1677217v1	Canu v. 1.6	PRJNA328792	7	alpha
GCA_049638585.1_ASM4963858v1	Geneious Prime v. 2024.0.1	PRJNA1231771	35	A
GCA_049637985.1_ASM4963798v1	Geneious Prime v. 2024.0.1	PRJNA1231771	13	alpha
GCA_049635565.1_ASM4963556v1	Geneious Prime v. 2024.0.1	PRJNA1231771	183	A
GCF_002759435.1_Cand_auris_B8441_V3	HGAP v. 3	PRJNA328792	9	A
GCA_039852025.1_ASM3985202v1	Samtools v. 1.20	PRJNA1111796	87	A
GCA_018831645.1_ASM1883164v1	Canu v. V2	PRJNA691446	10	A
GCA_018902005.1_ASM1890200v1	Canu v. 2	PRJNA691446	8	alpha
GCA_024706545.1_ASM2470654v1	Unicycler v. 0.4.7	PRJNA867138	19	A
GCA_049638575.1_ASM4963857v1	Geneious Prime v. 2024.0.1	PRJNA1231771	63	A
GCA_049638545.1_ASM4963854v1	Geneious Prime v. 2024.0.1	PRJNA1231771	40	A
GCA_049637305.1_ASM4963730v1	Geneious Prime v. 2024.0.1	PRJNA1231771	42	A
GCA_049637235.1_ASM4963723v1	Geneious Prime v. 2024.0.1	PRJNA1231771	25	A
GCA_049636905.1_ASM4963690v1	Geneious Prime v. 2024.0.1	PRJNA1231771	13	A
GCA_049636175.1_ASM4963617v1	Geneious Prime v. 2024.0.1	PRJNA1231771	152	A
GCA_049636005.1_ASM4963600v1	Geneious Prime v. 2024.0.1	PRJNA1231771	139	A
GCA_049635465.1_ASM4963546v1	Geneious Prime v. 2024.0.1	PRJNA1231771	164	A
GCA_049635345.1_ASM4963534v1	Geneious Prime v. 2024.0.1	PRJNA1231771	160	A
GCA_014673535.1_ASM1467353v1	Flye v. 2.8; Medaka v. 1.0.3; Pilon v. 1.23	PRJNA655187	7	A
GCA_032888605.1_ASM3288860v1	SMRT Link v. v5.0.1	PRJNA972483	18	A
GCA_019039615.1_ASM1903961v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039575.1_ASM1903957v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039675.1_ASM1903967v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039475.1_ASM1903947v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039515.1_ASM1903951v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039395.1_ASM1903939v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039655.1_ASM1903965v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039535.1_ASM1903953v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039555.1_ASM1903955v1	HGAP v. 4	PRJNA736600	7	A
GCA_035772375.1_ASM3577237v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_019039375.1_ASM1903937v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039595.1_ASM1903959v1	HGAP v. 4	PRJNA736600	7	A
GCA_035772305.1_ASM3577230v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035772365.1_ASM3577236v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035772345.1_ASM3577234v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_019039295.1_ASM1903929v1	HGAP v. 4	PRJNA736600	7	A
GCA_035772265.1_ASM3577226v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035772125.1_ASM3577212v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035772165.1_ASM3577216v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035772105.1_ASM3577210v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035772185.1_ASM3577218v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035772215.1_ASM3577221v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035771935.1_ASM3577193v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_019039275.1_ASM1903927v1	HGAP v. 4	PRJNA736600	7	A
GCA_035771965.1_ASM3577196v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035771895.1_ASM3577189v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035771885.1_ASM3577188v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035771925.1_ASM3577192v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035771725.1_ASM3577172v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035771705.1_ASM3577170v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_019039435.1_ASM1903943v1	HGAP v. 4	PRJNA736600	7	A
GCA_035771765.1_ASM3577176v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035771735.1_ASM3577173v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_035771715.1_ASM3577171v1	SPAdes v. 3.6.0	PRJNA1049194	23	alpha
GCA_019039495.1_ASM1903949v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039455.1_ASM1903945v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039415.1_ASM1903941v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039355.1_ASM1903935v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039335.1_ASM1903933v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039315.1_ASM1903931v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039235.1_ASM1903923v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039775.1_ASM1903977v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039735.1_ASM1903973v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039755.1_ASM1903975v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039715.1_ASM1903971v1	HGAP v. 4	PRJNA736600	7	A
GCA_019332045.1_ASM1933204v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039635.1_ASM1903963v1	HGAP v. 4	PRJNA736600	7	A
GCA_019039695.1_ASM1903969v1	HGAP v. 4	PRJNA736600	7	A
GCA_009602605.1_ASM960260v1	SPAdes v. 3.12.0	PRJNA555326	380	A
GCA_902703435.1_CA1	SPAdes	PRJEB35633	265	uncalled
GCA_032694445.1_ASM3269444v1	flye v. 2.8.3	PRJNA987725	30	A
GCA_032694655.1_ASM3269465v1	flye v. 2.8.3	PRJNA987725	17	A
GCA_032694695.1_ASM3269469v1	flye v. 2.8.3	PRJNA987725	196	A
