asmid	accession	level	method	tech	bioproject	contigs
GCA_059629905.1_MRSN137110	GCA_059629905.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	45
GCA_046253035.1_ASM4625303v1	GCA_046253035.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	214
GCA_046253075.1_ASM4625307v1	GCA_046253075.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	220
GCA_059629885.1_MRSN139148	GCA_059629885.1	Contig	Shovill v. 1.0.9	Illumina NextSeq	PRJNA1473289	69
GCA_046253055.1_ASM4625305v1	GCA_046253055.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	157
GCA_046253155.1_ASM4625315v1	GCA_046253155.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	195
GCA_046252945.1_ASM4625294v1	GCA_046252945.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	219
GCA_059629865.1_MRSN141549	GCA_059629865.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	50
GCA_046252965.1_ASM4625296v1	GCA_046252965.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	212
GCA_059629845.1_MRSN142422	GCA_059629845.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	40
GCA_059629825.1_MRSN142423	GCA_059629825.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	39
GCA_046252925.1_ASM4625292v1	GCA_046252925.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	225
GCA_059629805.1_MRSN143014	GCA_059629805.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	54
GCA_046252885.1_ASM4625288v1	GCA_046252885.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	227
GCA_059629785.1_MRSN144967	GCA_059629785.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	38
GCA_046252905.1_ASM4625290v1	GCA_046252905.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	212
GCA_059629765.1_MRSN145048	GCA_059629765.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	52
GCA_059629745.1_MRSN146233	GCA_059629745.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	59
GCA_059629725.1_MRSN146587	GCA_059629725.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	48
GCA_059629695.1_MRSN148495	GCA_059629695.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	60
GCA_059629685.1_MRSN148841	GCA_059629685.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	61
GCA_059629665.1_MRSN148918	GCA_059629665.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	62
GCA_027563775.1_ASM2756377v1	GCA_027563775.1	Scaffold	BWA-MEM v. 0.7.17	Illumina MiSeq	PRJNA865124	416
GCA_046252855.1_ASM4625285v1	GCA_046252855.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	182
GCA_059629645.1_MRSN150286	GCA_059629645.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	52
GCA_059629625.1_MRSN151845	GCA_059629625.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	58
GCA_059629605.1_MRSN151970	GCA_059629605.1	Contig	Shovill v. 1.0.9	Illumina NextSeq	PRJNA1473289	63
GCA_059629585.1_MRSN152418	GCA_059629585.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	57
GCA_059629565.1_MRSN152419	GCA_059629565.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	52
GCA_059629545.1_MRSN154513	GCA_059629545.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	68
GCA_059629525.1_MRSN154514	GCA_059629525.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	61
GCA_059629505.1_MRSN154705	GCA_059629505.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	39
GCA_059629485.1_MRSN158004	GCA_059629485.1	Contig	Shovill v. 1.0.9	Illumina NextSeq	PRJNA1473289	83
GCA_059629465.1_MRSN158005	GCA_059629465.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	64
GCA_059629445.1_MRSN158006	GCA_059629445.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	74
GCA_046252755.1_ASM4625275v1	GCA_046252755.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	247
GCA_046252815.1_ASM4625281v1	GCA_046252815.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	191
GCA_046252795.1_ASM4625279v1	GCA_046252795.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	161
GCA_046252735.1_ASM4625273v1	GCA_046252735.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	153
GCA_046252705.1_ASM4625270v1	GCA_046252705.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	172
GCA_046252625.1_ASM4625262v1	GCA_046252625.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	165
GCA_027563635.1_ASM2756363v1	GCA_027563635.1	Scaffold	BWA-MEM v. 0.7.17	Illumina MiSeq	PRJNA865124	96
GCA_034640365.1_ENCB_Caur	GCA_034640365.1	Scaffold	Velvet v. 1.2.10	Illumina HiSeq	PRJNA1013603	2547
GCA_025430785.1_ASM2543078v1	GCA_025430785.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	432
GCA_025430635.1_ASM2543063v1	GCA_025430635.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	451
GCA_025430405.1_ASM2543040v1	GCA_025430405.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	367
GCA_025430385.1_ASM2543038v1	GCA_025430385.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	364
GCA_025430355.1_ASM2543035v1	GCA_025430355.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	365
GCA_025430335.1_ASM2543033v1	GCA_025430335.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	342
GCA_025430195.1_ASM2543019v1	GCA_025430195.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	372
GCA_025429895.1_ASM2542989v1	GCA_025429895.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	334
GCA_025429885.1_ASM2542988v1	GCA_025429885.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	416
GCA_025429755.1_ASM2542975v1	GCA_025429755.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	353
GCA_025429745.1_ASM2542974v1	GCA_025429745.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	332
GCA_025429735.1_ASM2542973v1	GCA_025429735.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	293
GCA_025429595.1_ASM2542959v1	GCA_025429595.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	373
GCA_025429525.1_ASM2542952v1	GCA_025429525.1	Scaffold	CLC Genomics Workbench v. 21.03	Illumina NextSeq	PRJNA640677	249
GCA_046252645.1_ASM4625264v1	GCA_046252645.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	154
GCA_046252585.1_ASM4625258v1	GCA_046252585.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	153
GCA_027563725.1_ASM2756372v1	GCA_027563725.1	Scaffold	BWA-MEM v. 0.7.17	Illumina MiSeq	PRJNA865124	249
GCA_027563715.1_ASM2756371v1	GCA_027563715.1	Scaffold	WA-MEM v. 0.7.17	Illumina MiSeq	PRJNA865124	83
GCA_027563645.1_ASM2756364v1	GCA_027563645.1	Scaffold	BWA-MEM v. 0.7.17	Illumina MiSeq	PRJNA865124	83
GCA_046252555.1_ASM4625255v1	GCA_046252555.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	165
GCA_008729175.1_ASM872917v1	GCA_008729175.1	Scaffold	MaSuRCA v. 2018	Illumina HiSeq	PRJNA485145	1467
GCA_046252605.1_ASM4625260v1	GCA_046252605.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	152
GCA_046252475.1_ASM4625247v1	GCA_046252475.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	177
GCA_046252485.1_ASM4625248v1	GCA_046252485.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	158
GCA_046252405.1_ASM4625240v1	GCA_046252405.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	153
GCA_053339175.1_ASM5333917v1	GCA_053339175.1	Contig	Shovill v. 1.1.0	Illumina MiSeq	PRJNA1279258	809
GCA_046252425.1_ASM4625242v1	GCA_046252425.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	179
GCA_046252445.1_ASM4625244v1	GCA_046252445.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	9
GCA_027563705.1_ASM2756370v1	GCA_027563705.1	Scaffold	BWA-MEM v. 0.7.17	Illumina MiSeq	PRJNA865124	116
GCA_046252375.1_ASM4625237v1	GCA_046252375.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	165
GCA_008729165.1_ASM872916v1	GCA_008729165.1	Scaffold	MaSuRCA v. 2018	Illumina HiSeq	PRJNA485239	1599
GCA_046252325.1_ASM4625232v1	GCA_046252325.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	166
GCA_046252305.1_ASM4625230v1	GCA_046252305.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	165
GCA_046252285.1_ASM4625228v1	GCA_046252285.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	162
GCA_046252225.1_ASM4625222v1	GCA_046252225.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	158
GCA_046252255.1_ASM4625225v1	GCA_046252255.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	193
GCA_046252165.1_ASM4625216v1	GCA_046252165.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	175
GCA_046252185.1_ASM4625218v1	GCA_046252185.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	157
GCA_046252135.1_ASM4625213v1	GCA_046252135.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	170
GCA_046252075.1_ASM4625207v1	GCA_046252075.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	163
GCA_008729205.1_ASM872920v1	GCA_008729205.1	Scaffold	MaSuRCA v. 2018	Illumina HiSeq	PRJNA485259	1233
GCA_046252095.1_ASM4625209v1	GCA_046252095.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	167
GCA_046252035.1_ASM4625203v1	GCA_046252035.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	228
GCA_046251975.1_ASM4625197v1	GCA_046251975.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	177
GCA_046252015.1_ASM4625201v1	GCA_046252015.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	173
GCA_008729195.1_ASM872919v1	GCA_008729195.1	Scaffold	MaSuRCA v. Jun-2018	Illumina HiSeq	PRJNA485409	1474
GCA_008729255.1_ASM872925v1	GCA_008729255.1	Scaffold	MaSuRCA v. August-2018	Illumina HiSeq	PRJNA485414	1517
GCA_008729275.1_ASM872927v1	GCA_008729275.1	Scaffold	MaSuRCA v. August-2018	Illumina HiSeq	PRJNA485415	1382
GCA_046251955.1_ASM4625195v1	GCA_046251955.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	173
GCA_046251925.1_ASM4625192v1	GCA_046251925.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	164
GCA_046251895.1_ASM4625189v1	GCA_046251895.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	163
GCA_046251845.1_ASM4625184v1	GCA_046251845.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	180
GCA_046251745.1_ASM4625174v1	GCA_046251745.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	152
GCA_046251815.1_ASM4625181v1	GCA_046251815.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	166
GCA_046251775.1_ASM4625177v1	GCA_046251775.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	1244
GCA_046251795.1_ASM4625179v1	GCA_046251795.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	158
GCA_059629425.1_MRSN455051	GCA_059629425.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	60
GCA_059629395.1_MRSN455060	GCA_059629395.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	50
GCA_059629385.1_MRSN455079	GCA_059629385.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	56
GCA_059629365.1_MRSN456999	GCA_059629365.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	62
GCA_046251635.1_ASM4625163v1	GCA_046251635.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	160
GCA_046251675.1_ASM4625167v1	GCA_046251675.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	167
GCA_031463115.1_ASM3146311v1	GCA_031463115.1	Complete Genome	Raven v. 1.1.10	Oxford Nanopore; Illumina NovaSeq	PRJNA1008858	7
GCA_046251615.1_ASM4625161v1	GCA_046251615.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	164
GCA_046251595.1_ASM4625159v1	GCA_046251595.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	166
GCA_046251655.1_ASM4625165v1	GCA_046251655.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	168
GCA_046251535.1_ASM4625153v1	GCA_046251535.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	214
GCA_046251555.1_ASM4625155v1	GCA_046251555.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	183
GCA_046251465.1_ASM4625146v1	GCA_046251465.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	255
GCA_046251485.1_ASM4625148v1	GCA_046251485.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	228
GCA_046251445.1_ASM4625144v1	GCA_046251445.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	248
GCA_046251355.1_ASM4625135v1	GCA_046251355.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	204
GCA_046251415.1_ASM4625141v1	GCA_046251415.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	221
GCA_046251385.1_ASM4625138v1	GCA_046251385.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	223
GCA_046251315.1_ASM4625131v1	GCA_046251315.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	174
GCA_046251295.1_ASM4625129v1	GCA_046251295.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	263
GCA_046251255.1_ASM4625125v1	GCA_046251255.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	270
GCA_046251195.1_ASM4625119v1	GCA_046251195.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	269
GCA_046251185.1_ASM4625118v1	GCA_046251185.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	532
GCA_046251155.1_ASM4625115v1	GCA_046251155.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	201
GCA_046251145.1_ASM4625114v1	GCA_046251145.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	814
GCA_046251105.1_ASM4625110v1	GCA_046251105.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	274
GCF_001189475.1_ASM118947v1	GCF_001189475.1	Scaffold	Newbler v. 2.8; SSPACE-STANDARD v. 3.0	Illumina HiSeq; Illumina MiSeq	PRJNA267757	759
GCA_046251065.1_ASM4625106v1	GCA_046251065.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	240
GCA_046251035.1_ASM4625103v1	GCA_046251035.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	264
GCA_046251005.1_ASM4625100v1	GCA_046251005.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	171
GCA_046250995.1_ASM4625099v1	GCA_046250995.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	281
GCA_046250895.1_ASM4625089v1	GCA_046250895.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	252
GCA_046250915.1_ASM4625091v1	GCA_046250915.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	285
GCA_046250905.1_ASM4625090v1	GCA_046250905.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	226
GCA_046250865.1_ASM4625086v1	GCA_046250865.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	250
GCA_046250845.1_ASM4625084v1	GCA_046250845.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	237
GCA_046250815.1_ASM4625081v1	GCA_046250815.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	198
GCA_046250725.1_ASM4625072v1	GCA_046250725.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	226
GCA_046250715.1_ASM4625071v1	GCA_046250715.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	218
GCA_046250735.1_ASM4625073v1	GCA_046250735.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	174
GCA_046250695.1_ASM4625069v1	GCA_046250695.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	221
GCA_046250655.1_ASM4625065v1	GCA_046250655.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	328
GCA_046250535.1_ASM4625053v1	GCA_046250535.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	341
GCA_046250555.1_ASM4625055v1	GCA_046250555.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	210
GCA_046250565.1_ASM4625056v1	GCA_046250565.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	655
GCA_046250585.1_ASM4625058v1	GCA_046250585.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	206
GCA_046250515.1_ASM4625051v1	GCA_046250515.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	547
GCA_051020605.2_8H_UPCH	GCA_051020605.2	Contig	SPAdes v. 3.15.5	Illumina NovaSeq	PRJNA1264495	99
GCA_046250395.1_ASM4625039v1	GCA_046250395.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	166
GCA_046250425.1_ASM4625042v1	GCA_046250425.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	266
GCA_046250385.1_ASM4625038v1	GCA_046250385.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	572
